effect	group	value	scope
#frontend_faction_effect_junctions_tables;1;db/frontend_faction_effect_junctions_tables/nagash			
nag_effect_climate_dummy	nag_nagash_faction	1	faction_to_faction_own_unseen
wh_main_effect_force_all_campaign_recruitment_cost_all	nag_nagash_faction	-100	faction_to_faction_own_unseen
wh_dlc03_faction_diplomacy_mod	nag_nagash_faction	-30	faction_to_faction_own_unseen
wh2_dlc11_effect_vlad_faction_diplomacy_bonus	nag_nagash_faction	80	faction_to_faction_own_unseen
wh_main_effect_character_stat_mod_miscast_chance	nag_nagash_leader	-25	faction_to_faction_own_unseen
nag_effect_morghast_archai_ward_save	nag_nagash_leader	15	character_to_force_own
nag_effect_agent_cap_increase_archai	nag_nagash_leader	1	faction_to_faction_own_unseen
wh_dlc08_effect_ability_enable_greater_arcane_conduit	nag_nagash_leader	1	faction_to_faction_own_unseen
nag_effect_husk_can_tunnel_dummy	nag_nagash_leader	1	faction_to_faction_own_unseen
