army_name	unit_name	script_name	number_of_unit
#battle_set_piece_armies_units_junctions_tables;3;db/battle_set_piece_armies_units_junctions_tables/nagash_quest_battles			
battle_blyramid_rising_army_player	nag_vanilla_tmb_inf_skeleton_archers_0	player	4
battle_blyramid_rising_army_player	nag_vanilla_tmb_inf_tomb_guard_0	player	5
battle_blyramid_rising_army_player	nag_vanilla_tmb_mon_tomb_scorpion_0	player	2
battle_blyramid_rising_army_player	nag_morghasts	player	2
battle_blyramid_rising_army_player	nag_bone_thrower	player	2
battle_blyramid_rising_army_player	nag_giant_spoop	player	1
battle_blyramid_rising_army_player	nag_spectre_swarm	player	1
battle_blyramid_rising_army_player	nag_revenants	player	1
battle_blyramid_army_grn	wh_dlc06_grn_inf_nasty_skulkers_0_tier_2	wh_dlc06_grn_inf_nasty_skulkers_0_tier_2	2
battle_blyramid_army_grn	wh_main_grn_inf_orc_big_uns_tier_3	wh_main_grn_inf_orc_big_uns_tier_3	2
battle_blyramid_army_grn	wh_main_grn_inf_orc_boyz_tier_1	wh_main_grn_inf_orc_boyz_tier_1	4
battle_blyramid_army_grn	wh_main_grn_inf_savage_orcs_tier_1	wh_main_grn_inf_savage_orcs_tier_1	3
battle_blyramid_army_grn	wh_main_grn_mon_arachnarok_spider_0_tier_4	wh_main_grn_mon_arachnarok_spider_0_tier_4	1
battle_blyramid_army_tmb	wh2_dlc09_tmb_inf_skeleton_archers_0	wh2_dlc09_tmb_inf_skeleton_archers_0	3
battle_blyramid_army_tmb	wh2_dlc09_tmb_inf_tomb_guard_0	wh2_dlc09_tmb_inf_tomb_guard_0	5
battle_blyramid_army_tmb	wh2_dlc09_tmb_mon_sepulchral_stalkers_0	wh2_dlc09_tmb_mon_sepulchral_stalkers_0	2
battle_blyramid_army_tmb	wh2_dlc09_tmb_mon_tomb_scorpion_0	wh2_dlc09_tmb_mon_tomb_scorpion_0	1
battle_blyramid_army_tmb	wh2_dlc09_tmb_mon_ushabti_0_tier_5	wh2_dlc09_tmb_mon_ushabti_0_tier_5	2
battle_blyramid_army_def	wh2_main_def_art_reaper_bolt_thrower	wh2_main_def_art_reaper_bolt_thrower	1
battle_blyramid_army_def	wh2_main_def_cav_cold_one_chariot	wh2_main_def_cav_cold_one_chariot	2
battle_blyramid_army_def	wh2_main_def_inf_shades_1	wh2_main_def_inf_shades_1	4
battle_blyramid_army_def	wh2_main_def_inf_darkshards_1	wh2_main_def_inf_darkshards_1	4
battle_blyramid_army_def	wh2_main_def_mon_war_hydra	wh2_main_def_mon_war_hydra	1
