from	to	automatic
#military_force_type_conversions_tables	0	db/military_force_type_conversions_tables/natasha_horde
nag_bp_horde	HORDE	false
nag_bp_horde	ARMY	true
HORDE	nag_bp_horde	false
ARMY	nag_bp_horde	false
nag_husk_horde	HORDE	false
nag_husk_horde	ARMY	true
HORDE	nag_husk_horde	false
ARMY	nag_husk_horde	false
nag_arkhan_horde	HORDE	false
nag_arkhan_horde	ARMY	true
HORDE	nag_arkhan_horde	false
ARMY	nag_arkhan_horde	false
nag_vlad_horde	HORDE	false
nag_vlad_horde	ARMY	true
HORDE	nag_vlad_horde	false
ARMY	nag_vlad_horde	false
nag_mannfred_horde	HORDE	false
nag_mannfred_horde	ARMY	true
HORDE	nag_mannfred_horde	false
ARMY	nag_mannfred_horde	false
nag_harkon_horde	HORDE	false
nag_harkon_horde	ARMY	true
HORDE	nag_harkon_horde	false
ARMY	nag_harkon_horde	false
nag_krell_horde	HORDE	false
nag_krell_horde	ARMY	true
HORDE	nag_krell_horde	false
ARMY	nag_krell_horde	false
nag_neferata_horde	HORDE	false
nag_neferata_horde	ARMY	true
HORDE	nag_neferata_horde	false
ARMY	nag_neferata_horde	false
nag_traitor_horde	HORDE	false
nag_traitor_horde	ARMY	true
HORDE	nag_traitor_horde	false
ARMY	nag_traitor_horde	false
