bonus_value_id	effect	force_ability
#effect_bonus_value_military_force_ability_junctions_tables;0;db/effect_bonus_value_military_force_ability_junctions_tables/nagash		
enable	nag_ability_enable_batocalypse	nag_army_abilities_batocalypse
enable	nag_ability_enable_endless_tomb	nag_army_abilities_endless_tomb
enable	nag_ability_enable_endless_tomb	nag_army_abilities_endless_tomb_hidden_dummy
enable	nag_ability_enable_blyramid_bombardment	nag_army_abilities_blyramid_bombardment_00
enable	nag_ability_enable_blyramid_bombardment	nag_army_abilities_blyramid_bombardment_01
enable	nag_ability_enable_blyramid_bombardment	nag_army_abilities_blyramid_bombardment_02
enable	nag_ability_enable_blyramid_bombardment	nag_army_abilities_blyramid_bombardment_03
enable	nag_ability_enable_blyramid_bombardment	nag_army_abilities_blyramid_bombardment_04
enable	nag_ability_enable_blyramid_itself	nag_blyramid_itself
enable	nag_ability_enable_blyramid_bombardment	nag_army_abilities_blyramid_bombardment_targeting
