key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/nagash_animation	
hu1_nagash_staff_and_sword	humanoid01
wm_mortisengine01_centered	mortisengine01
wm_mortisengine01_minus_5	mortisengine01
wm_mortisengine01_magnified	mortisengine01
wm_mortisengine01_magnified_reversed	mortisengine01
wm_mortisengine01_centered_dynamic	mortisengine01
wm_mortisengine01_minus_5_green	mortisengine01
wm_mortisengine01_magnified_green	mortisengine01
wm_mortisengine01_magnified_reversed_green	mortisengine01
