key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/rhox_nagash	
hu1_nagash_staff_and_sword	humanoid01
wm_corpsecart01_virion	corpsecart01
hu4e_nag_bone_colossus	humanoid04e
gh1_nag_revenants	ghost01
hu1_nag_boss_nagash	humanoid01
mortisengine01_nag_spirit_host	mortisengine01
mortisengine01_nag_fell_spectres	mortisengine01
mortisengine01_nag_fell_spectres_minus_5_green	mortisengine01
mortisengine01_nag_fell_spectres_magnified_green	mortisengine01
mortisengine01_nag_fell_spectres_magnified_reversed_green	mortisengine01
mortisengine01_nag_fell_spectres_minus_5	mortisengine01
mortisengine01_nag_fell_spectres_magnified	mortisengine01
mortisengine01_nag_fell_spectres_magnified_reversed	mortisengine01
mortisengine01_nag_shade_haunts	mortisengine01
hu12m_morghast_dual_axe	humanoid12m
hu12m_morghast_halberd	humanoid12m
gi1_endless_tomb	giant01
vigpro_orc_dual_swords	humanoid02
vigpro_hu4_giant_club	humanoid04
vigpro_hu5_goblin_bow	humanoid05
vigpro_hu5_goblin_dual_sword	humanoid05
hu4b_vmp_troll_h1	humanoid04b
hu4c_vmp_troll_h2	humanoid04c
