agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_nagash			
general	mixer_nag_nagash	nag_nagash_boss	false
general	mixer_nag_nagash	nag_nagash_husk	false
general	mixer_nag_nagash	nag_mortarch_neferata	false
general	mixer_nag_nagash	nag_mortarch_arkhan	false
general	mixer_nag_nagash	nag_mortarch_vlad	false
general	mixer_nag_nagash	nag_mortarch_mannfred	false
general	mixer_nag_nagash	nag_mortarch_luthor	false
general	mixer_nag_nagash	nag_mortarch_kalledria	false
general	mixer_nag_nagash	nag_mortarch_krell	false
general	mixer_nag_nagash	nag_traitor_king	false
general	mixer_nag_nagash	nag_vampire_lord	false
general	mixer_nag_nagash	nag_master_necromancer	false
champion	mixer_nag_nagash	nag_tomb_prince	false
wizard	mixer_nag_nagash	nag_liche_priest_death	false
wizard	mixer_nag_nagash	nag_liche_priest_light	false
wizard	mixer_nag_nagash	nag_liche_priest_nehekhara	false
wizard	mixer_nag_nagash	nag_liche_priest_shadow	false
wizard	mixer_nag_nagash	nag_liche_priest_undeath	false
engineer	mixer_nag_nagash	nag_gunnery_wight	false
dignitary	mixer_nag_nagash	nag_vampire	false
dignitary	mixer_nag_nagash	nag_vampire_shadow	false
runesmith	mixer_nag_nagash	nag_tomb_banshee	false
dignitary	mixer_nag_nagash	nag_mortarch_isabella	false
champion	mixer_nag_nagash	nag_wight_king	false
spy	mixer_nag_nagash	nag_morghasts_archai	false
general	mixer_nag_nagash	nag_mortarch_dieter	false
general	mixer_nag_nagash	nag_mortarch_azhag	false
general	wh3_main_vmp_lahmian_sisterhood	nag_lahmia_neferata	false
general	mixer_nag_nagash	nag_mortarch_dk	false
champion	mixer_nag_nagash	nag_mortarch_hand	false
colonel	mixer_nag_nagash	nag_traitor_king	false
dignitary	mixer_nag_nagash	nag_mortarch_drekla	false
