agent	faction	subtype	mod_disabled
#faction_agent_permitted_subtypes_tables;1;db/faction_agent_permitted_subtypes_tables/rhox_nagash_kalledria			
champion	mixer_vmp_wailing_conclave	wh2_dlc17_vmp_kevon_lloydstein	false
champion	mixer_vmp_wailing_conclave	wh_main_vmp_wight_king	false
colonel	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_blood_dragon	false
colonel	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_lahmian	false
colonel	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_necrarch	false
colonel	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_strigoi	false
colonel	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_von_carstein	false
colonel	mixer_vmp_wailing_conclave	wh_main_vmp_lord	false
dignitary	mixer_vmp_wailing_conclave	wh_dlc05_vmp_vampire_shadow	false
dignitary	mixer_vmp_wailing_conclave	wh_main_vmp_vampire_death	false
general	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_blood_dragon	false
general	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_lahmian	false
general	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_necrarch	false
general	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_strigoi	false
general	mixer_vmp_wailing_conclave	wh2_dlc11_vmp_bloodline_von_carstein	false
general	mixer_vmp_wailing_conclave	wh_dlc04_vmp_strigoi_ghoul_king	false
general	mixer_vmp_wailing_conclave	wh_main_vmp_heinrich_kemmler	false
general	mixer_vmp_wailing_conclave	wh_main_vmp_lord	false
general	mixer_vmp_wailing_conclave	wh_main_vmp_master_necromancer	false
minister	mixer_vmp_wailing_conclave	wh_main_vmp_lord	false
spy	mixer_vmp_wailing_conclave	wh_main_vmp_banshee	false
wizard	mixer_vmp_wailing_conclave	wh_main_vmp_necromancer	false
