cai_construction_system_unblocking_buildings_tables	0
building_end	building_start	category
nag_bpyramid_main_5	nag_bpyramid_main_1	basic_recruitment_unlocks
nag_arkhan_horde_special_5	nag_arkhan_horde_special_1	basic_recruitment_unlocks
nag_vlad_horde_special_5	nag_vlad_horde_special_1	basic_recruitment_unlocks
nag_neffy_horde_special_5	nag_neffy_horde_special_1	basic_recruitment_unlocks
nag_manny_horde_special_5	nag_manny_horde_special_1	basic_recruitment_unlocks
nag_krell_horde_special_5	nag_krell_horde_special_1	basic_recruitment_unlocks
nag_luthor_horde_special_5	nag_luthor_horde_special_1	basic_recruitment_unlocks
nag_nagash_horde_special_3	nag_nagash_horde_special_1	basic_recruitment_unlocks
nag_subhorde_main_3	nag_subhorde_main_1	basic_recruitment_unlocks
nag_outpost_primary_main_5	nag_outpost_primary_main_1	basic_recruitment_unlocks
nag_outpost_primary_main_coast_5	nag_outpost_primary_main_coast_1	basic_recruitment_unlocks
nag_outpostnorsca_primary_main_1	nag_outpostnorsca_primary_main_1	basic_recruitment_unlocks
nag_outpostnorsca_primary_main_coast_1	nag_outpostnorsca_primary_main_coast_1	basic_recruitment_unlocks
nag_outpost_secondary_main_1	nag_outpost_secondary_main_1	basic_recruitment_unlocks
nag_outpost_secondary_main_coast_1	nag_outpost_secondary_main_coast_1	basic_recruitment_unlocks
nag_outpostnorsca_secondary_main_1	nag_outpostnorsca_secondary_main_1	basic_recruitment_unlocks
nag_outpostnorsca_secondary_main_coast_1	nag_outpostnorsca_secondary_main_coast_1	basic_recruitment_unlocks
