key	chance_to_replenish	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
#mercenary_unit_groups_tables;2;db/mercenary_unit_groups_tables/rhox_nagash					
nag_thrall_handgunners	0.0000	1	nag_thrall_handgunners	false	0.0000
nag_thrall_crossbowmen	0.0000	3	nag_thrall_crossbowmen	false	0.0000
nag_blood_beasts	100.0000	1	nag_blood_beasts	true	0.1000
nag_doomed_legion	100.0000	1	nag_doomed_legion	true	0.1000
nag_bone_colossus	100.0000	1	nag_bone_colossus	true	0.1000
nag_virion_plaguecart	100.0000	1	nag_virion_plaguecart	true	0.1000
nag_revenants	100.0000	1	nag_revenants	true	0.1000
nag_shade_haunts	100.0000	1	nag_shade_haunts	true	0.1000
burning_dead_ror	100.0000	1	burning_dead_ror	true	0.1000
nag_throne_guard	100.0000	1	nag_throne_guard	true	0.1000
nag_doom_knights	100.0000	1	nag_doom_knights	true	0.1000
nag_druthor	100.0000	1	nag_druthor	true	0.1000
nag_vanilla_vmp_cav_blood_knights_0	0.0000	0	nag_vanilla_vmp_cav_blood_knights_0	false	1.0000
nag_vanilla_vmp_veh_corpse_cart_1	0.0000	0	nag_vanilla_vmp_veh_corpse_cart_1	false	1.0000
nag_vanilla_vmp_veh_corpse_cart_2	0.0000	0	nag_vanilla_vmp_veh_corpse_cart_2	false	1.0000
nag_vanilla_vmp_cav_black_knights_0	0.0000	0	nag_vanilla_vmp_cav_black_knights_0	false	1.0000
nag_vanilla_vmp_cav_black_knights_3	0.0000	0	nag_vanilla_vmp_cav_black_knights_3	false	1.0000
nag_vanilla_vmp_cav_hexwraiths	0.0000	0	nag_vanilla_vmp_cav_hexwraiths	false	1.0000
nag_vanilla_vmp_inf_cairn_wraiths	0.0000	0	nag_vanilla_vmp_inf_cairn_wraiths	false	1.0000
nag_vanilla_vmp_inf_crypt_ghouls	0.0000	0	nag_vanilla_vmp_inf_crypt_ghouls	false	1.0000
nag_vanilla_vmp_inf_grave_guard_0	0.0000	0	nag_vanilla_vmp_inf_grave_guard_0	false	1.0000
nag_vanilla_vmp_inf_grave_guard_1	0.0000	0	nag_vanilla_vmp_inf_grave_guard_1	false	1.0000
nag_vanilla_vmp_mon_crypt_horrors	0.0000	0	nag_vanilla_vmp_mon_crypt_horrors	false	1.0000
nag_vanilla_vmp_mon_dire_wolves	0.2000	2	nag_vanilla_vmp_mon_dire_wolves	false	1.0000
nag_vanilla_vmp_mon_fell_bats	0.2000	2	nag_vanilla_vmp_mon_fell_bats	false	1.0000
nag_vanilla_vmp_mon_vargheists	0.0000	0	nag_vanilla_vmp_mon_vargheists	false	1.0000
nag_vanilla_vmp_mon_varghulf	0.0000	0	nag_vanilla_vmp_mon_varghulf	false	1.0000
nag_vanilla_vmp_inf_skeleton_warriors_0	0.0000	0	nag_vanilla_vmp_inf_skeleton_warriors_0	false	1.0000
nag_vanilla_vmp_inf_skeleton_warriors_1	0.0000	0	nag_vanilla_vmp_inf_skeleton_warriors_1	false	1.0000
nag_vanilla_vmp_inf_zombie	0.3500	3	nag_vanilla_vmp_inf_zombie	false	3.0000
nag_vanilla_cst_inf_zombie_gunnery_mob_0	0.0000	0	nag_vanilla_cst_inf_zombie_gunnery_mob_0	false	1.0000
nag_vanilla_cst_inf_zombie_gunnery_mob_1	0.0000	0	nag_vanilla_cst_inf_zombie_gunnery_mob_1	false	1.0000
nag_vanilla_cst_inf_zombie_deckhands_mob_1	0.0000	0	nag_vanilla_cst_inf_zombie_deckhands_mob_1	false	1.0000
nag_vanilla_cst_inf_zombie_deckhands_mob_0	0.0000	0	nag_vanilla_cst_inf_zombie_deckhands_mob_0	false	1.0000
nag_vanilla_cst_mon_bloated_corpse_0	0.0000	0	nag_vanilla_cst_mon_bloated_corpse_0	false	1.0000
nag_vanilla_tmb_inf_skeleton_archers_0	0.2000	2	nag_vanilla_tmb_inf_skeleton_archers_0	false	1.0000
nag_vanilla_tmb_inf_skeleton_spearmen_0	0.2000	2	nag_vanilla_tmb_inf_skeleton_spearmen_0	false	1.0000
nag_vanilla_tmb_inf_skeleton_warriors_0	0.2000	2	nag_vanilla_tmb_inf_skeleton_warriors_0	false	1.0000
nag_vanilla_tmb_inf_nehekhara_warriors_0	0.1000	1	nag_vanilla_tmb_inf_nehekhara_warriors_0	false	1.0000
rhox_nagash_lahmia_emp_art_helstorm_rocket_battery	0.0000	0	rhox_nagash_lahmia_emp_art_helstorm_rocket_battery	false	0.0000
rhox_nagash_lahmia_emp_art_helblaster_volley_gun	0.0000	0	rhox_nagash_lahmia_emp_art_helblaster_volley_gun	false	0.0000
rhox_nagash_lahmia_brt_cav_questing_knights_0	0.0000	0	rhox_nagash_lahmia_brt_cav_questing_knights_0	false	0.0000
rhox_nagash_lahmia_brt_cav_knights_of_the_realm	0.0000	0	rhox_nagash_lahmia_brt_cav_knights_of_the_realm	false	0.0000
rhox_nagash_lahmia_cth_inf_dragon_guard_0	0.0000	0	rhox_nagash_lahmia_cth_inf_dragon_guard_0	false	0.0000
rhox_nagash_lahmia_cth_inf_dragon_guard_crossbowmen_0	0.0000	0	rhox_nagash_lahmia_cth_inf_dragon_guard_crossbowmen_0	false	0.0000
rhox_nagash_lahmia_ksl_veh_heavy_war_sled_0	0.0000	0	rhox_nagash_lahmia_ksl_veh_heavy_war_sled_0	false	0.0000
rhox_nagash_lahmia_ksl_cav_war_bear_riders_1	0.0000	0	rhox_nagash_lahmia_ksl_cav_war_bear_riders_1	false	0.0000
rhox_nagash_lahmia_nor_mon_war_mammoth_1	0.0000	0	rhox_nagash_lahmia_nor_mon_war_mammoth_1	false	0.0000
rhox_nagash_lahmia_nor_inf_marauder_berserkers_0	0.0000	0	rhox_nagash_lahmia_nor_inf_marauder_berserkers_0	false	0.0000
rhox_nagash_lahmia_hef_inf_swordmasters_of_hoeth_0	0.0000	0	rhox_nagash_lahmia_hef_inf_swordmasters_of_hoeth_0	false	0.0000
rhox_nagash_lahmia_hef_inf_white_lions_of_chrace_0	0.0000	0	rhox_nagash_lahmia_hef_inf_white_lions_of_chrace_0	false	0.0000
rhox_nagash_lahmia_def_inf_shades_2	0.0000	0	rhox_nagash_lahmia_def_inf_shades_2	false	0.0000
rhox_nagash_lahmia_def_cav_cold_one_knights_1	0.0000	0	rhox_nagash_lahmia_def_cav_cold_one_knights_1	false	0.0000
rhox_nagash_lahmia_wef_inf_waywatchers_0	0.0000	0	rhox_nagash_lahmia_wef_inf_waywatchers_0	false	0.0000
rhox_nagash_lahmia_wef_inf_wardancers_0	0.0000	0	rhox_nagash_lahmia_wef_inf_wardancers_0	false	0.0000
rhox_nagash_lahmia_dwf_inf_dwarf_warrior_0	0.0000	0	rhox_nagash_lahmia_dwf_inf_dwarf_warrior_0	false	0.0000
rhox_nagash_lahmia_dwf_art_flame_cannon	0.0000	0	rhox_nagash_lahmia_dwf_art_flame_cannon	false	0.0000
rhox_nagash_lahmia_chd_inf_chaos_dwarf_blunderbusses	0.0000	0	rhox_nagash_lahmia_chd_inf_chaos_dwarf_blunderbusses	false	0.0000
rhox_nagash_lahmia_chd_veh_dreadquake_mortar	0.0000	0	rhox_nagash_lahmia_chd_veh_dreadquake_mortar	false	0.0000
rhox_nagash_lahmia_ogr_cav_crushers_0	0.0000	0	rhox_nagash_lahmia_ogr_cav_crushers_0	false	0.0000
rhox_nagash_lahmia_ogr_inf_ironguts_0	0.0000	0	rhox_nagash_lahmia_ogr_inf_ironguts_0	false	0.0000
