key	accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	animal	num_animals	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strengths_&_weaknesses_text	supports_first_person	training_level	officers	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	can_brace
#land_units_tables;44;db/land_units_tables/nagash_units																																																											
nag_nagash_husk	10	bone_10	2100	inf_melee	5	com	20	33	wh_main_unit_long_text_vmp_master_necromancer	hu1_liche_priest_staff_and_sword	nag_nagash_husk	30	38	66	3680			0	0	wh_main_vmp_staff_hero		1	none	nag_nagash_husk	wh_main_infantry	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	small	0	0	-25	0	0	0	15	0	mage_highvalue	false	false	false	true
nag_nagash_revenant	10	bone_90	2100	inf_melee	12	com	0	20	wh2_dlc09_tmb_cha_arkhan	hu1_arkhan_staff_and_sword	wh2_dlc09_tmb_skeleton_infantry_hero	40	50	75	4832			0	0	wh2_dlc09_tmb_sword_hero_lord		1	none	nag_nagash_revenant	wh_main_infantry	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_terror_undead	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	10.0	small	0	0	0	0	0	0	15	0	melee_mage_highvalue	false	false	false	true
nag_nagash_boss	10	bone_100	2100	inf_melee	20	com	0	20	wh2_dlc09_tmb_cha_settra	hu1_nagash_staff_and_sword	wh2_pro06_tmb_mon_bone_giant	60	55	85	5188			0	0	wh2_dlc09_tmb_halberd_settra		1	none	nag_nagash_boss	wh_main_infantry	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_encourage_fear_terror_undead	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	10.0	large	0	0	0	0	0	20	15	0	melee_mage_highvalue	false	false	false	true
nag_mortarch_neferata	10	wh2_main_plate_90	2100	inf_melee	25	com	20	33	wh_pro02_unit_long_text_vmp_isabella_von_carstein	hu1b_def_lord_staff_and_sword	wh_dlc07_vmp_inf_isabella	60	60	80	4200			0	0	wh2_dlc11_cst_count_noctilus_halberd		1	none	nag_neferata	wh_main_infantry	placeholder	false	trained	A_blank_record			false	40.0	1500.0	0.0	wh_encourage_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	small	0	0	0	0	0	0	15	0	melee_mage_highvalue	false	false	false	true
nag_mortarch_neferata_warhorse	10	wh2_main_plate_110	2100	cavalry	50	com	20	33	wh_pro02_unit_long_text_vmp_isabella_von_carstein	hu1b_bretonnian_hr1_warhorse_staff_and_sword	wh_dlc07_vmp_inf_isabella	60	60	80	4844	wh_main_vmp_mnt_barded_nightmare_hero		0	1	wh2_dlc11_cst_count_noctilus_halberd		1	none	nag_neferata	wh_main_cavalry_chaotic	placeholder	false	trained	A_blank_record			false	40.0	1500.0	0.0	wh_encourage_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0	8.0	large	0	0	0	0	0	0	15	0	melee_cav_shock_highvalue	false	false	false	false
nag_mortarch_neferata_abyssal	10	plate_70	2100	war_beast	32	com	13	71	wh_pro02_unit_long_text_vmp_isabella_von_carstein	hu1b_bretonnian_hr1_warhorse_staff_and_sword	wh_dlc07_vmp_inf_isabella	48	48	80	7057	nag_abyssal_adevore		0	1	wh_main_emp_karl_franz_griffon_deathclaw		1	none	nag_neferata	wh_main_cavalry_chaotic	placeholder	false	trained	nag_neferata_abyssal			false	40.0	1500.0	0.0	wh_encourage_fear_terror_undead	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	8.0	large	0	0	-25	0	0	0	15	0	melee_mage_highvalue	false	false	false	false
nag_mortarch_krell	10	plate_100	2100	inf_melee	45	com	35	54	wh_pro03_unit_long_text_vmp_krell	hu1_krell_2handed_axe	wh_pro03_vmp_inf_krell	55	42	70	4992			0	0	wh_pro03_vamp_krell_axe_great		1	none	wh_pro03_unit_short_text_vmp_krell	wh_main_infantry_large	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_terror_undead	60	80	0	false	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0	10.0	small	0	0	0	20	0	0	15	0	melee_highvalue	false	false	false	true
nag_mortarch_vlad	10	wh2_main_plate_90	2100	inf_melee	35	com	20	33	wh_dlc04_unit_long_text_vmp_vlad_von_carstein	hu1_vlad_sword	wh_dlc04_infantry_very_fast_hero_blood	70	50	85	5488			0	0	wh_dlc04_vmp_vlad_sword		1	none	wh_dlc04_unit_short_text_vmp_vlad_von_carstein	wh_main_infantry	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_terror_undead	60	80	0	false	vo_sel_default	vo_sel_generic	vo_sel_default	1.0	10.0	small	0	0	0	0	0	0	15	0	mage	false	false	false	true
nag_mortarch_mannfred	10	wh2_main_plate_90	2100	inf_melee	25	com	20	33	wh_main_unit_long_text_vmp_manfred_von_carstein	hu1_mannfred_staff_and_sword	wh_main_infantry_standard_fast_hero_blood	70	50	80	4200			0	0	wh_main_vmp_sword_hero_lord		1	none	wh_main_unit_short_text_vmp_mannfred_von_carstein	wh_main_infantry	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0	10.0	small	0	0	0	0	0	0	15	0	melee_cav_shock_highvalue	false	false	false	true
nag_mortarch_mannfred_warhorse	10	wh2_main_plate_110	2100	cavalry	50	com	20	33	wh_main_unit_long_text_vmp_manfred_von_carstein	hu1_mannfred_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_hero_blood	70	50	80	4844	wh_main_vmp_mnt_barded_nightmare_hero		0	1	wh_main_vmp_sword_hero_lord		1	none	wh_main_unit_short_text_vmp_mannfred_von_carstein	wh_main_cavalry_chaotic	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh_encourage_fear_hideForest_undead	60	80	0	false	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0	8.0	large	0	0	0	0	0	0	15	0	melee_cav_shock_highvalue	false	false	false	false
nag_mortarch_mannfred_abyssal	10	plate_70	2100	war_beast	40	com	20	33	wh_main_unit_long_text_vmp_manfred_von_carstein	hu1_mannfred_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_hero_blood	46	46	80	7057	nag_abyssal_ashigaroth		0	1	wh_main_emp_karl_franz_griffon_deathclaw		1	none	wh_main_unit_short_text_vmp_mannfred_von_carstein	wh_main_monster	placeholder	false	trained	wh_main_vmp_cha_mannfred_von_carstein_3			true	40.0	1500.0	0.0	wh_encourage_fear_terror_undead	60	80	0	false	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0	0.0	large	0	0	0	0	0	0	25	0	melee_cav_shock_highvalue	false	false	false	false
nag_mortarch_luthor	10	wh2_main_plate_90	2100	inf_ranged	20	com	13	71	wh2_dlc11_unit_long_text_cst_cha_luthor_harkon	hu1_cst_luthor_cutlass_and_pistol	wh2_dlc11_infantry_luthor_harkon_hero_blood	70	50	80	4200			0	0	wh2_dlc11_cst_sword_luthor_harkon	wh2_dlc11_cst_luthor_harkon_pistol	1	none	wh2_dlc11_unit_short_text_cst_cha_luthor_harkon	wh_main_infantry	placeholder	false	trained	A_blank_record			true	40.0	1500.0	0.0	wh2_encourage_fear_hideForest_mountedFireMove_undead	60	80	10	false	vo_sel_default	vo_sel_generic	vo_sel_default	1.0	10.0	aquatic_small	0	30	0	0	0	0	15	0	mage	true	false	false	true
nag_mortarch_luthor_terrorgheist	10	wh2_main_bone_80	2100	war_beast	40	com	20	33	wh2_dlc11_unit_long_text_cst_cha_luthor_harkon	hu1_cst_luthor_bi2_terrorgheist_wb_cutlass_and_pistol	wh2_dlc11_infantry_luthor_harkon_hero_blood	44	42	80	7944	wh2_dlc11_cst_mnt_terrorgheist		0	1	wh2_dlc11_cst_terrorgheist	wh2_dlc11_cst_luthor_harkon_pistol	1	none	wh2_dlc11_unit_short_text_cst_cha_luthor_harkon	wh_main_monster	placeholder	false	trained	wh2_dlc11_cst_cha_luthor_harkon_1			true	40.0	1500.0	0.0	wh2_encourage_fear_mountedFireMove_terror_undead	60	80	10	false	vo_sel_default	vo_sel_generic	vo_sel_default	1.0	0.0	aquatic_large	0	30	0	0	0	0	15	0	flying_melee_highvalue	true	false	false	false
