key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour
#battlefield_engines_tables;22;db/battlefield_engines_tables/rhox_nagash																	
nag_mortis_engine	warmachines\chariot\vmp_mortis_engine\vmp_mortis_engine_destroyed_01.rigid_model_v2	vmp_mortis_engine_destruct	Generic_No_Crew_Rotate	wm_mortisengine01		vmp_mortis_engine	wh_dlc04_vehicle_vmp_mortis_engine_articulation			ap_draughtposition	warmachines\chariot\vmp_mortis_engine\tech	ap_crewposition					all_riders_shooting
nag_bone_thrower	warmachines/engines/nag_bone_thrower/nag_bone_thrower.rigid_model_v2	hef_eagle_claw_bolt_thrower_destruct	Generic_3_Crew	wm_bolt_thrower01b	nag_bone_thrower	nag_bone_thrower	wh2_main_hef_art_eagle_claw_bolt_thrower										all_riders_shooting
BAKnag_bone_thrower	warmachines/engines/nag_bone_thrower/nag_bone_thrower.rigid_model_v2	hef_eagle_claw_bolt_thrower_destruct	Generic_3_Crew	wm_bolt_thrower01b	wh2_main_hef_eagle_claw_bolt	nag_bone_thrower	wh2_main_hef_art_eagle_claw_bolt_thrower										all_riders_shooting
nag_fell_spectres			Generic_No_Crew_Rotate	mortisengine01_nag_fell_spectres		nag_empty	nag_spectre_shade_base			ap_draughtposition	warmachines\chariot\vmp_mortis_engine\tech	ap_crewposition					all_riders_shooting
nag_shade_haunts			Generic_No_Crew_Rotate	mortisengine01_nag_shade_haunts		nag_empty	nag_spectre_shade_base			ap_draughtposition	warmachines\chariot\vmp_mortis_engine\tech	ap_crewposition					all_riders_shooting
nag_spirit_hosts			Generic_No_Crew_Rotate	mortisengine01_nag_spirit_host		nag_empty	wh_main_monster_crypt_horrors			ap_draughtposition	warmachines\chariot\vmp_mortis_engine\tech	ap_crewposition					all_riders_shooting
nag_plaguecart	warmachines\chariot\vmp_corpse_cart\vmp_corpse_cart_01_destroyed.rigid_model_v2	vmp_corpse_cart_destruct	Generic_No_Crew_Rotate	wm_corpsecart01_virion		nag_plaguecart	nag_plaguecart_chariot			ap_draughtposition	warmachines\chariot\nag_plague_cart\tech	ap_crewposition					all_riders_shooting
gp_nag_virion_plague_cart_engine	warmachines\chariot\vmp_corpse_cart\vmp_corpse_cart_01_destroyed.rigid_model_v2	vmp_corpse_cart_destruct	Generic_No_Crew_Rotate	wm_corpsecart01		gp_nag_virion_plague_cart_engine	wh_dlc04_vehicle_vmp_corpse_cart_chariot			ap_draughtposition	warmachines\chariot\nag_plague_cart\tech	ap_crewposition					all_riders_shooting
nag_undead_chariot_engine	warmachines/chariot/nag_chariot/nagash_skeleton_chariot_destruct.rigid_model_v2	nag_undead_chariot_destruct	Generic_No_Crew_Rotate	wm_tomb_chariot01		nag_undead_chariot	wh2_dlc09_tmb_vehicle_chariot			ap_draughtposition	warmachines/chariot/nag_chariot/tech						all_riders_shooting
