character_name	character_level	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
#battle_set_piece_armies_characters_tables;7;db/battle_set_piece_armies_characters_tables/nagash												
nag_nagash_boss	3	1937224328	wh_main_lore_vampires	100	1777692413	nag_nagash_boss	general	nag_nagash_boss	ui/portraits/portholes/no_culture/nag_nagash_boss.png	90909090		true
nag_nagash_husk	3	1937224328	wh_main_lore_vampires	100	1777692414	nag_nagash_husk	general	nag_nagash_husk	ui/portraits/portholes/no_culture/nag_nagash_husk.png	90909091		true
nag_mortarch_vlad	3	1937224329		100	1777692415	nag_mortarch_vlad	general	nag_mortarch_vlad	ui/portraits/portholes/no_culture/nag_mortarch_vlad.png	5272		true
nag_mortarch_mannfred	1	1937224330		100	1777692416	nag_mortarch_mannfred	general	nag_mortarch_mannfred	ui/portraits/portholes/no_culture/nag_mortarch_mannfred.png	3382	wh_main_skill_node_set_vmp_mannfred	true
nag_mortarch_mannfred_warhorse	1	1937224330		100	1777692416	nag_mortarch_mannfred_warhorse	general	nag_mortarch_mannfred	ui/portraits/portholes/no_culture/nag_mortarch_mannfred.png	3382	wh_main_skill_node_set_vmp_mannfred	true
nag_mortarch_mannfred_abyssal	1	1937224330		100	1777692416	nag_mortarch_mannfred_abyssal	general	nag_mortarch_mannfred	ui/portraits/portholes/no_culture/nag_mortarch_mannfred.png	3382	wh_main_skill_node_set_vmp_mannfred	true
nag_mortarch_luthor	1	1937224331		100	1777692417	nag_mortarch_luthor	general	nag_mortarch_luthor	ui/portraits/portholes/no_culture/nag_mortarch_luthor.png	1165794969		true
nag_mortarch_arkhan	1	1937224332		100	1777692418	nag_mortarch_arkhan	general	nag_mortarch_arkhan	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_0.png	128243148		true
nag_mortarch_arkhan_warhorse	1	1937224332		100	1777692418	nag_mortarch_arkhan_warhorse	general	nag_mortarch_arkhan	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_1.png	128243148		true
nag_mortarch_arkhan_chariot	1	1937224332		100	1777692418	nag_mortarch_arkhan_chariot	general	nag_mortarch_arkhan	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_2.png	128243148		true
nag_mortarch_arkhan_abyssal	1	1937224332		100	1777692418	nag_mortarch_arkhan_abyssal	general	nag_mortarch_arkhan	ui/portraits/portholes/wh2_dlc09_tmb_tomb_kings/tmb_ch_arkhan_2.png	128243148		true
nag_mortarch_krell	1	1937224333		100	1777692419	nag_mortarch_krell	general	nag_mortarch_krell	ui/portraits/portholes/no_culture/nag_mortarch_krell.png	90909104		true
nag_mortarch_neferata	1	1937224334		100	1777692420	nag_mortarch_neferata	general	nag_mortarch_neferata	ui/portraits/portholes/no_culture/nag_mortarch_neferata.png	90909105		true
nag_mortarch_neferata_warhorse	1	1937224334		100	1777692420	nag_mortarch_neferata_warhorse	general	nag_mortarch_neferata	ui/portraits/portholes/no_culture/nag_mortarch_neferata.png	90909105		true
nag_mortarch_neferata_abyssal	1	1937224334		100	1777692420	nag_mortarch_neferata_abyssal	general	nag_mortarch_neferata	ui/portraits/portholes/no_culture/nag_mortarch_neferata.png	90909105		true
nag_mortarch_isabella	1	1937224336		100	1777692421	nag_mortarch_isabella	dignitary	nag_mortarch_isabella	ui/portraits/portholes/no_culture/nag_mortarch_isabella.png	90909106		false
nag_mortarch_isabella_warhorse	1	1937224336		100	1777692421	nag_mortarch_isabella_warhorse	dignitary	nag_mortarch_isabella	ui/portraits/portholes/no_culture/nag_mortarch_isabella.png	90909106		false
nag_mortarch_isabella_hellsteed	1	1937224336		100	1777692421	nag_mortarch_isabella_hellsteed	dignitary	nag_mortarch_isabella	ui/portraits/portholes/no_culture/nag_mortarch_isabella.png	90909106		false
