from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/jvj_nagash_buildings_secondary	
nag_outpost_landmark_dragon_isle_port_ruin	nag_outpost_landmark_dragon_isle_port_1
nag_outpost_landmark_lothern_port_ruin	nag_outpost_landmark_lothern_port_1
nag_outpost_landmark_erengrad_port_ruin	nag_outpost_landmark_erengrad_port_1
nag_outpost_landmark_marienburg_port_ruin	nag_outpost_landmark_marienburg_port_1
nag_outpost_landmark_albion_port_ruin	nag_outpost_landmark_albion_port_1
nag_outpost_landmark_copher_port_ruin	nag_outpost_landmark_copher_port_1
nag_outpost_landmark_bordeleaux_port_ruin	nag_outpost_landmark_bordeleaux_port_1
nag_settlement_cavalry_1	nag_settlement_cavalry_2
nag_settlement_cavalry_2	nag_settlement_cavalry_3
nag_settlement_cavalry_3	nag_settlement_cavalry_4
nag_settlement_chariots_1	nag_settlement_chariots_2
nag_settlement_chariots_2	nag_settlement_chariots_3
nag_settlement_defence_major_1	nag_settlement_defence_major_2
nag_settlement_defence_major_2	nag_settlement_defence_major_3
nag_settlement_growth_1	nag_settlement_growth_2
nag_settlement_growth_2	nag_settlement_growth_3
nag_settlement_income_1	nag_settlement_income_2
nag_settlement_income_2	nag_settlement_income_3
nag_settlement_infantry_1	nag_settlement_infantry_2
nag_settlement_infantry_2	nag_settlement_infantry_3
nag_settlement_ushabti_1	nag_settlement_ushabti_2
nag_outpost_special_nagashizzar_1	nag_outpost_special_nagashizzar_2
nag_outpost_special_nagashizzar_2	nag_outpost_special_nagashizzar_3
nag_outpost_special_nagashizzar_3	nag_outpost_special_nagashizzar_4
nag_outpost_special_nagashizzar_4	nag_outpost_special_nagashizzar_5
nag_outpost_special_mourkain_1	nag_outpost_special_mourkain_2
nag_outpost_special_mourkain_2	nag_outpost_special_mourkain_3
nag_outpost_special_mourkain_3	nag_outpost_special_mourkain_4
nag_outpost_special_mourkain_4	nag_outpost_special_mourkain_5
nag_outpost_special_lahmia_1	nag_outpost_special_lahmia_2
nag_outpost_special_lahmia_2	nag_outpost_special_lahmia_3
nag_outpost_special_lahmia_3	nag_outpost_special_lahmia_4
nag_outpost_special_lahmia_4	nag_outpost_special_lahmia_5
nag_outpost_special_khemri_1	nag_outpost_special_khemri_2
nag_outpost_special_khemri_2	nag_outpost_special_khemri_3
nag_outpost_special_khemri_3	nag_outpost_special_khemri_4
nag_outpost_special_khemri_4	nag_outpost_special_khemri_5
nag_outpost_special_awakening_1	nag_outpost_special_awakening_2
nag_outpost_special_awakening_2	nag_outpost_special_awakening_3
nag_outpost_special_awakening_3	nag_outpost_special_awakening_4
nag_outpost_special_awakening_4	nag_outpost_special_awakening_5
nag_outpost_special_drakenhof_1	nag_outpost_special_drakenhof_2
nag_outpost_special_drakenhof_2	nag_outpost_special_drakenhof_3
nag_outpost_special_drakenhof_3	nag_outpost_special_drakenhof_4
nag_outpost_special_drakenhof_4	nag_outpost_special_drakenhof_5
nag_outpost_special_quintex_1	nag_outpost_special_quintex_2
nag_outpost_special_quintex_2	nag_outpost_special_quintex_3
nag_outpost_special_quintex_3	nag_outpost_special_quintex_4
nag_outpost_special_quintex_4	nag_outpost_special_quintex_5
