building_upgrades_junction_tables	0
from	to
nag_settlement_cavalry_1	nag_settlement_cavalry_2
nag_settlement_cavalry_2	nag_settlement_cavalry_3
nag_settlement_cavalry_3	nag_settlement_cavalry_4
nag_settlement_chariots_1	nag_settlement_chariots_2
nag_settlement_chariots_2	nag_settlement_chariots_3
nag_settlement_defence_major_1	nag_settlement_defence_major_2
nag_settlement_defence_major_2	nag_settlement_defence_major_3
nag_settlement_growth_1	nag_settlement_growth_2
nag_settlement_growth_2	nag_settlement_growth_3
nag_settlement_income_1	nag_settlement_income_2
nag_settlement_income_2	nag_settlement_income_3
nag_settlement_infantry_1	nag_settlement_infantry_2
nag_settlement_infantry_2	nag_settlement_infantry_3
nag_settlement_ushabti_1	nag_settlement_ushabti_2
wh2_dlc09_special_settlement_altdorf_nag_ruin	wh2_dlc09_special_settlement_altdorf_nag_1
wh2_dlc09_special_settlement_athel_loren_nag_ruin	wh2_dlc09_special_settlement_athel_loren_nag_1
wh2_dlc09_special_settlement_black_crag_nag_ruin	wh2_dlc09_special_settlement_black_crag_nag_1
wh2_dlc09_special_settlement_castle_drakenhof_nag_ruin	wh2_dlc09_special_settlement_castle_drakenhof_nag_1
wh2_dlc09_special_settlement_couronne_nag_ruin	wh2_dlc09_special_settlement_couronne_nag_1
wh2_dlc09_special_settlement_eight_peaks_nag_ruin	wh2_dlc09_special_settlement_eight_peaks_nag_1
wh2_dlc09_special_settlement_gaean_vale_nag_ruin	wh2_dlc09_special_settlement_gaean_vale_nag_1
wh2_dlc09_special_settlement_hexoatl_nag_ruin	wh2_dlc09_special_settlement_hexoatl_nag_1
wh2_dlc09_special_settlement_itza_nag_ruin	wh2_dlc09_special_settlement_itza_nag_1
wh2_dlc09_special_settlement_karaz_a_karak_nag_ruin	wh2_dlc09_special_settlement_karaz_a_karak_nag_1
wh2_dlc09_special_settlement_khemri_nag_ruin	wh2_dlc09_special_settlement_khemri_nag_1
wh2_dlc09_special_settlement_kislev_nag_ruin	wh2_dlc09_special_settlement_kislev_nag_1
wh2_dlc09_special_settlement_konquata_nag_ruin	wh2_dlc09_special_settlement_konquata_nag_1
wh2_dlc09_special_settlement_lahmia_nag_ruin	wh2_dlc09_special_settlement_lahmia_nag_1
wh2_dlc09_special_settlement_lothern_nag_ruin	wh2_dlc09_special_settlement_lothern_nag_1
wh2_dlc09_special_settlement_miragliano_nag_ruin	wh2_dlc09_special_settlement_miragliano_nag_1
wh2_dlc09_special_settlement_naggarond_nag_ruin	wh2_dlc09_special_settlement_naggarond_nag_1
wh2_dlc09_special_settlement_pyramid_of_nagash_nag_ruin	wh2_dlc09_special_settlement_pyramid_of_nagash_nag_1
wh2_dlc15_special_settlement_massif_orcal_nag_ruin	wh2_dlc15_special_settlement_massif_orcal_nag_1
wh2_dlc15_special_settlement_tor_yvresse_nag_ruin	wh2_dlc15_special_settlement_tor_yvresse_nag_1
wh2_main_special_settlement_sartosa_nag_ruin	wh2_main_special_settlement_sartosa_nag_1
wh2_main_special_settlement_the_awakening_nag_ruin	wh2_main_special_settlement_the_awakening_nag_1
wh2_dlc11_special_settlement_galleons_graveyard_nag_ruin	wh2_dlc11_special_settlement_galleons_graveyard_nag_1
wh2_main_special_settlement_hellpit_nag_ruin	wh2_main_special_settlement_hellpit_nag_1
wh2_main_special_settlement_skavenblight_nag_ruin	wh2_main_special_settlement_skavenblight_nag_1
wh2_main_special_empire_fort_nag_ruins	wh2_main_special_empire_fort_nag_1
wh2_main_special_fortress_gate_eagle_nag_ruins	wh2_main_special_fortress_gate_eagle_nag_1
wh2_main_special_fortress_gate_griffon_nag_ruins	wh2_main_special_fortress_gate_griffon_nag_1
wh2_main_special_fortress_gate_phoenix_nag_ruins	wh2_main_special_fortress_gate_phoenix_nag_1
wh2_main_special_fortress_gate_unicorn_nag_ruins	wh2_main_special_fortress_gate_unicorn_nag_1
wh2_main_special_settlement_colony_major_nag_ruin	wh2_main_special_settlement_colony_major_nag_1
wh2_main_special_settlement_colony_minor_nag_ruin	wh2_main_special_settlement_colony_minor_nag_1
wh2_main_wef_oak_of_ages_nag_ruin	wh2_main_wef_oak_of_ages_nag_1
wh2_dlc14_special_dragon_isle_port_ruin_nag	wh2_dlc14_special_dragon_isle_port_nag_1
wh2_main_special_lothern_port_nag_ruin	wh2_main_special_lothern_port_nag_1
wh_main_special_erengrad_port_nag_ruin	wh_main_special_erengrad_port_nag_1
wh_main_special_marienburg_port_nag_ruin	wh_main_special_marienburg_port_nag_1
wh_twa03_special_albion_port_nag_ruin	wh_twa03_special_albion_port_nag_1
wh2_dlc14_special_copher_port_nag_ruin	wh2_dlc14_special_copher_port_nag_1
wh_main_brt_legendary_port_nag_ruin	wh_main_brt_legendary_port_nag_1
