from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/rhox_nagash_non_unique	
nag_non_unique_settlement_cavalry_1	nag_non_unique_settlement_cavalry_2
nag_non_unique_settlement_chariots_1	nag_non_unique_settlement_chariots_2
nag_non_unique_settlement_chariots_2	nag_non_unique_settlement_chariots_3
nag_non_unique_settlement_defence_major_1	nag_non_unique_settlement_defence_major_2
nag_non_unique_settlement_growth_1	nag_non_unique_settlement_growth_2
nag_non_unique_settlement_growth_2	nag_non_unique_settlement_growth_3
nag_non_unique_settlement_income_1	nag_non_unique_settlement_income_2
nag_non_unique_settlement_income_2	nag_non_unique_settlement_income_3
nag_non_unique_settlement_infantry_1	nag_non_unique_settlement_infantry_2
nag_non_unique_settlement_infantry_2	nag_non_unique_settlement_infantry_3
nag_non_unique_settlement_spirit_1	nag_non_unique_settlement_spirit_2
