from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/jvj_nagash	
nag_outpost_primary_main_ruin	nag_outpost_primary_main_1
nag_outpost_primary_main_1	nag_outpost_primary_main_2
nag_outpost_primary_main_2	nag_outpost_primary_main_3
nag_outpost_secondary_main_ruin	nag_outpost_secondary_main_1
nag_outpost_main_port_ruin	nag_outpost_main_port_1
nag_outpost_special_nagashizzar_ruin	nag_outpost_special_nagashizzar_1
nag_outpost_special_nagashizzar_1	nag_outpost_special_nagashizzar_2
nag_outpost_special_nagashizzar_2	nag_outpost_special_nagashizzar_3
nag_outpost_special_nagashizzar_3	nag_outpost_special_nagashizzar_4
nag_outpost_special_nagashizzar_4	nag_outpost_special_nagashizzar_5
nag_outpost_special_mourkain_ruin	nag_outpost_special_mourkain_1
nag_outpost_special_mourkain_1	nag_outpost_special_mourkain_2
nag_outpost_special_mourkain_2	nag_outpost_special_mourkain_3
nag_outpost_special_mourkain_3	nag_outpost_special_mourkain_4
nag_outpost_special_mourkain_4	nag_outpost_special_mourkain_5
nag_outpost_special_lahmia_ruin	nag_outpost_special_lahmia_1
nag_outpost_special_lahmia_1	nag_outpost_special_lahmia_2
nag_outpost_special_lahmia_2	nag_outpost_special_lahmia_3
nag_outpost_special_lahmia_3	nag_outpost_special_lahmia_4
nag_outpost_special_lahmia_4	nag_outpost_special_lahmia_5
nag_outpost_special_khemri_ruin	nag_outpost_special_khemri_1
nag_outpost_special_khemri_1	nag_outpost_special_khemri_2
nag_outpost_special_khemri_2	nag_outpost_special_khemri_3
nag_outpost_special_khemri_3	nag_outpost_special_khemri_4
nag_outpost_special_khemri_4	nag_outpost_special_khemri_5
nag_outpost_special_awakening_ruin	nag_outpost_special_awakening_1
nag_outpost_special_awakening_1	nag_outpost_special_awakening_2
nag_outpost_special_awakening_2	nag_outpost_special_awakening_3
nag_outpost_special_awakening_3	nag_outpost_special_awakening_4
nag_outpost_special_awakening_4	nag_outpost_special_awakening_5
nag_outpost_special_drakenhof_ruin	nag_outpost_special_drakenhof_1
nag_outpost_special_drakenhof_1	nag_outpost_special_drakenhof_2
nag_outpost_special_drakenhof_2	nag_outpost_special_drakenhof_3
nag_outpost_special_drakenhof_3	nag_outpost_special_drakenhof_4
nag_outpost_special_drakenhof_4	nag_outpost_special_drakenhof_5
nag_outpost_special_quintex_ruin	nag_outpost_special_quintex_1
nag_outpost_special_quintex_1	nag_outpost_special_quintex_2
nag_outpost_special_quintex_2	nag_outpost_special_quintex_3
nag_outpost_special_quintex_3	nag_outpost_special_quintex_4
nag_outpost_special_quintex_4	nag_outpost_special_quintex_5
nag_settlement_cavalry_1	nag_settlement_cavalry_2
nag_settlement_cavalry_2	nag_settlement_cavalry_3
nag_settlement_cavalry_3	nag_settlement_cavalry_4
nag_settlement_chariots_1	nag_settlement_chariots_2
nag_settlement_chariots_2	nag_settlement_chariots_3
nag_settlement_defence_major_1	nag_settlement_defence_major_2
nag_settlement_defence_major_2	nag_settlement_defence_major_3
nag_settlement_growth_1	nag_settlement_growth_2
nag_settlement_growth_2	nag_settlement_growth_3
nag_settlement_income_1	nag_settlement_income_2
nag_settlement_income_2	nag_settlement_income_3
nag_settlement_infantry_1	nag_settlement_infantry_2
nag_settlement_infantry_2	nag_settlement_infantry_3
nag_settlement_ushabti_1	nag_settlement_ushabti_2
nag_settlement_priest_1	nag_settlement_priest_2
nag_settlement_spirit_1	nag_settlement_spirit_2
nag_settlement_spirit_2	nag_settlement_spirit_3
nag_settlement_spirit_3	nag_settlement_spirit_4
nag_resource_gemstones_1	nag_resource_gemstones_2
nag_resource_gemstones_2	nag_resource_gemstones_3
nag_resource_obsidian_1	nag_resource_obsidian_2
nag_resource_obsidian_2	nag_resource_obsidian_3
nag_resource_dyes_1	nag_resource_dyes_2
nag_resource_dyes_2	nag_resource_dyes_3
nag_resource_furs_1	nag_resource_furs_2
nag_resource_furs_2	nag_resource_furs_3
nag_resource_gold_1	nag_resource_gold_2
nag_resource_gold_2	nag_resource_gold_3
nag_resource_iron_1	nag_resource_iron_2
nag_resource_iron_2	nag_resource_iron_3
nag_resource_marble_1	nag_resource_marble_2
nag_resource_marble_2	nag_resource_marble_3
nag_resource_pottery_1	nag_resource_pottery_2
nag_resource_pottery_2	nag_resource_pottery_3
nag_resource_salt_1	nag_resource_salt_2
nag_resource_salt_2	nag_resource_salt_3
nag_resource_timber_1	nag_resource_timber_2
nag_resource_timber_2	nag_resource_timber_3
nag_resource_wine_1	nag_resource_wine_2
nag_resource_wine_2	nag_resource_wine_3
nag_resource_animals_1	nag_resource_animals_2
nag_resource_animals_2	nag_resource_animals_3
nag_resource_medicine_1	nag_resource_medicine_2
nag_resource_medicine_2	nag_resource_medicine_3
nag_resource_pasture_1	nag_resource_pasture_2
nag_resource_pasture_2	nag_resource_pasture_3
nag_resource_spices_1	nag_resource_spices_2
nag_resource_spices_2	nag_resource_spices_3
nag_resource_ivory_1	nag_resource_ivory_2
nag_resource_ivory_2	nag_resource_ivory_3
nag_outpost_special_blackpyramid_ruin	nag_outpost_special_blackpyramid_1
nag_outpost_special_blackpyramid_1	nag_outpost_special_blackpyramid_2
nag_outpost_special_blackpyramid_2	nag_outpost_special_blackpyramid_3
nag_outpost_primary_research_1	nag_outpost_primary_research_2
nag_outpost_primary_arcane_1	nag_outpost_primary_arcane_2
nag_outpost_primary_support_1	nag_outpost_primary_support_2
nag_outpost_primary_nehek_1	nag_outpost_primary_nehek_2
nag_outpost_primary_nagashizzar_1	nag_outpost_primary_nagashizzar_2
nag_outpost_primary_coast_1	nag_outpost_primary_coast_2
nag_outpost_primary_count_1	nag_outpost_primary_count_2
nag_allied_outpost_1	nag_allied_outpost_2
nag_allied_outpost_2	nag_allied_outpost_3
