payload_key	effect_bundle_key
#cdir_events_payloads_tables;0;db/cdir_events_payloads_tables/nagash_generated	
nag_payload_improved_agent_champion	nag_payload_improved_agent_champion
nag_payload_improved_agent_engineer	nag_payload_improved_agent_engineer
nag_payload_improved_agent_wizard	nag_payload_improved_agent_wizard
nag_payload_improved_agent_spy	nag_payload_improved_agent_spy
nag_payload_improved_agent_dignitary	nag_payload_improved_agent_dignitary
nag_payload_training_artillery	nag_payload_training_artillery
nag_payload_training_cavalry	nag_payload_training_cavalry
nag_payload_training_infantry_melee	nag_payload_training_infantry_melee
nag_payload_training_infantry_ranged	nag_payload_training_infantry_ranged
nag_payload_training_war_beasts	nag_payload_training_war_beasts
nag_payload_training_war_machines	nag_payload_training_war_machines
nag_payload_attack_versus_bretonnia	nag_payload_attack_versus_bretonnia
nag_payload_attack_versus_beastmen	nag_payload_attack_versus_beastmen
nag_payload_attack_versus_chaos	nag_payload_attack_versus_chaos
nag_payload_attack_versus_dark_elves	nag_payload_attack_versus_dark_elves
nag_payload_attack_versus_dwarfs	nag_payload_attack_versus_dwarfs
nag_payload_attack_versus_empire	nag_payload_attack_versus_empire
nag_payload_attack_versus_greenskins	nag_payload_attack_versus_greenskins
nag_payload_attack_versus_high_elves	nag_payload_attack_versus_high_elves
nag_payload_attack_versus_lizardmen	nag_payload_attack_versus_lizardmen
nag_payload_attack_versus_skaven	nag_payload_attack_versus_skaven
nag_payload_attack_versus_tomb_kings	nag_payload_attack_versus_tomb_kings
nag_payload_attack_versus_vampires	nag_payload_attack_versus_vampires
nag_payload_attack_versus_wood_elves	nag_payload_attack_versus_wood_elves
