building_chain	level	active_slot_count
#campaign_building_chain_slot_unlocks_tables;1;db/campaign_building_chain_slot_unlocks_tables/jvj_nagash_buildings		
nag_outpost_primary_main	1	1
nag_outpost_primary_main	2	3
nag_outpost_primary_main	3	4
nag_outpost_primary_main	4	5
nag_outpost_primary_main	5	7
nag_outpost_norsca_primary_main	1	1
nag_outpost_norsca_primary_main	2	3
nag_outpost_norsca_primary_main	3	4
nag_outpost_norsca_primary_main	4	5
nag_outpost_norsca_primary_main	5	7
nag_outpost_primary_main_elven_colony	1	1
nag_outpost_secondary_main	1	1
nag_outpost_norsca_secondary_main	1	1
nag_outpost_primary_main_elven_minor_colony	1	1
nag_outpost_primary_main_coast	1	2
nag_outpost_norsca_primary_main_coast	1	2
nag_outpost_secondary_main_coast	1	2
nag_outpost_norsca_secondary_main_coast	1	2
nag_outpost_primary_main_altdorf	1	2
nag_outpost_primary_main_athel_loren	1	1
nag_outpost_primary_main_black_crag	1	2
nag_outpost_primary_main_castle_drakenhof	-1	2
nag_outpost_primary_main_couronne	1	2
nag_outpost_primary_main_eight_peaks	1	1
nag_outpost_primary_main_gaean_vale	1	1
nag_outpost_primary_main_hexoatl	1	2
nag_outpost_primary_main_itza	1	2
nag_outpost_primary_main_karaz_a_karak	1	2
nag_outpost_primary_main_khemri	-1	2
nag_outpost_primary_main_kislev	1	2
nag_outpost_primary_main_konquata	1	2
nag_outpost_primary_main_lahmia	-1	2
nag_outpost_primary_main_lothern	1	2
nag_outpost_primary_main_miragliano	1	2
nag_outpost_primary_main_naggarond	1	2
nag_outpost_primary_main_pyramid_of_nagash	1	2
nag_outpost_primary_main_massif_orcal	1	2
nag_outpost_primary_main_tor_yvresse	1	2
nag_outpost_primary_main_galleons_graveyard	1	2
nag_outpost_primary_main_sartosa	1	2
nag_outpost_primary_main_awakening	-1	2
nag_outpost_primary_main_hellpit	1	2
nag_outpost_primary_main_skavenblight	1	2
nag_outpost_primary_main_empire_fort	1	0
nag_outpost_primary_main_fortress_gate_eagle	1	0
nag_outpost_primary_main_fortress_gate_griffon	1	0
nag_outpost_primary_main_fortress_gate_phoenix	1	0
nag_outpost_primary_main_fortress_gate_unicorn	1	0
nag_outpost_primary_main_oak_of_ages	1	0
