id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
#campaign_character_arts_tables;7;db/campaign_character_arts_tables/nagash																	
90909090	nag_nagash_boss	0	0		none	nag_nagash_boss			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01		0	0	0
90909091	nag_nagash_husk	0	0		none	nag_nagash_husk			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01		0	0	0
90909092	nag_traitor_king_01	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_01			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909093	nag_traitor_king_02	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_02			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909094	nag_traitor_king_03	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_03			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909095	nag_traitor_king_04	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_04			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909096	nag_traitor_king_05	0	0		none	wh2_dlc09_uniform_tmb_tomb_king_05			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_hu1_empire_sword_and_shield	cam_transport_ship_06	cam_transport_ship_06		0	0	0
90909097	nag_mortarch_luthor_1	0	0		none	wh2_dlc11_uniform_cst_harkon			wh2_dlc11_campaign_cst_ship_harkon_01	wh2_dlc11_campaign_cst_ship_harkon_01	cam_lord_hu1_cst_luthor_cutlass_and_pistol	cam_cst_luthor_harkon_ship_01	cam_cst_luthor_harkon_ship_01		0	0	0
90909098	nag_mortarch_luthor_2	0	0		none	wh2_dlc11_uniform_cst_harkon			wh2_dlc11_campaign_cst_ship_harkon_02	wh2_dlc11_campaign_cst_ship_harkon_02	cam_lord_hu1_cst_luthor_cutlass_and_pistol	cam_cst_luthor_harkon_ship_01	cam_cst_luthor_harkon_ship_01		0	0	0
90909099	nag_mortarch_luthor_3	0	0		none	wh2_dlc11_uniform_cst_harkon			wh2_dlc11_campaign_cst_ship_harkon_03	wh2_dlc11_campaign_cst_ship_harkon_03	cam_lord_hu1_cst_luthor_cutlass_and_pistol	cam_cst_luthor_harkon_ship_01	cam_cst_luthor_harkon_ship_01		0	0	0
90909100	nag_mortarch_luthor_4	0	0		none	wh2_dlc11_uniform_cst_harkon			wh2_dlc11_campaign_cst_ship_harkon_04	wh2_dlc11_campaign_cst_ship_harkon_04	cam_lord_hu1_cst_luthor_cutlass_and_pistol	cam_cst_luthor_harkon_ship_01	cam_cst_luthor_harkon_ship_01		0	0	0
90909101	nag_mortarch_vlad	0	0		none	wh_dlc04_uniform_vmp_vlad_von_carstein			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_hu1_vlad_sword	cam_heavy_ship_01	cam_heavy_ship_01		0	0	0
90909102	nag_mortarch_mannfred	0	0		none	wh_main_uniform_vmp_mannfred_von_carstein			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01		0	0	0
