level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/jvj_nagash_buildings_horde																						
nag_bpyramid_main_1	nag_bpyramid_main	0	1	1000	0		false	false		true	nag_bpyramid_main	false	0.0000	0	false	0		true	0	0		0
nag_bpyramid_main_2	nag_bpyramid_main	1	1	1750	0		false	false		true	nag_bpyramid_main	false	0.0000	1	false	1		true	0	0		0
nag_bpyramid_main_3	nag_bpyramid_main	2	1	3250	0		false	false		true	nag_bpyramid_main	false	0.0000	2	false	2		true	0	0		0
nag_bpyramid_main_4	nag_bpyramid_main	3	1	6250	0		false	false		true	nag_bpyramid_main	false	0.0000	4	false	3		true	0	0		0
nag_bpyramid_main_5	nag_bpyramid_main	4	1	12500	0		false	false		true	nag_bpyramid_main	false	0.0000	5	false	4		true	0	0		0
nag_bpyramid_main_obelisk_1	nag_bpyramid_main_obelisk	0	1	1000	0		false	false		true	nag_bpyramid_main_obelisk	false	0.0000	0	true	0		true	0	0		0
nag_bpyramid_main_obelisk_2	nag_bpyramid_main_obelisk	1	1	2000	0		false	false		true	nag_bpyramid_main_obelisk	false	0.0000	1	true	1		true	0	0		0
nag_bpyramid_main_obelisk_3	nag_bpyramid_main_obelisk	2	1	3000	0		false	false		true	nag_bpyramid_main_obelisk	false	0.0000	2	true	2		true	0	0		0
nag_bpyramid_main_obelisk_4	nag_bpyramid_main_obelisk	3	1	4000	0		false	false		true	nag_bpyramid_main_obelisk	false	0.0000	4	true	3		true	0	0		0
nag_bpyramid_ew1_barracks_1	nag_bpyramid_ew1_barracks	0	1	1000	0		false	false		true	nag_bpyramid_ew1_barracks	false	0.0000	0	true	0		true	0	0		0
nag_bpyramid_ew1_barracks_2	nag_bpyramid_ew1_barracks	1	1	2000	0		false	false		true	nag_bpyramid_ew1_barracks	false	0.0000	0	true	1		true	0	0	nag_building_1	0
nag_bpyramid_ew1_barracks_3	nag_bpyramid_ew1_barracks	2	1	3000	0		false	false		true	nag_bpyramid_ew1_barracks	false	0.0000	0	true	2		true	0	0	nag_building_2	0
nag_bpyramid_ew1_barracks_4	nag_bpyramid_ew1_barracks	3	1	4000	0		false	false		true	nag_bpyramid_ew1_barracks	false	0.0000	0	true	3		true	0	0	nag_building_4	0
nag_bpyramid_ww1_stables_1	nag_bpyramid_ww1_stables	0	1	1000	0		false	false		true	nag_bpyramid_ww1_stables	false	0.0000	0	true	0		true	0	0		0
nag_bpyramid_ww1_stables_2	nag_bpyramid_ww1_stables	1	1	2000	0		false	false		true	nag_bpyramid_ww1_stables	false	0.0000	0	true	1		true	0	0	nag_building_1	0
nag_bpyramid_ww1_stables_3	nag_bpyramid_ww1_stables	2	1	3000	0		false	false		true	nag_bpyramid_ww1_stables	false	0.0000	0	true	2		true	0	0	nag_building_2	0
nag_bpyramid_ww1_stables_4	nag_bpyramid_ww1_stables	3	1	4000	0		false	false		true	nag_bpyramid_ww1_stables	false	0.0000	0	true	3		true	0	0	nag_building_4	0
nag_bpyramid_ew2_mortuary_1	nag_bpyramid_ew2_mortuary	0	1	2500	0		false	false		true	nag_bpyramid_ew2_mortuary	false	0.0000	0	true	0		true	0	0	nag_building_1	0
nag_bpyramid_ew2_mortuary_2	nag_bpyramid_ew2_mortuary	1	1	5000	0		false	false		true	nag_bpyramid_ew2_mortuary	false	0.0000	0	true	1		true	0	0	nag_building_2	0
nag_bpyramid_ew2_mortuary_3	nag_bpyramid_ew2_mortuary	2	1	7500	0		false	false		true	nag_bpyramid_ew2_mortuary	false	0.0000	0	true	2		true	0	0	nag_building_3	0
nag_bpyramid_ww2_warmachines_1	nag_bpyramid_ww2_warmachines	0	1	1500	0		false	false		true	nag_bpyramid_ww2_warmachines	false	0.0000	0	true	0		true	0	0		0
nag_bpyramid_ww2_warmachines_2	nag_bpyramid_ww2_warmachines	1	1	3000	0		false	false		true	nag_bpyramid_ww2_warmachines	false	0.0000	0	true	1		true	0	0	nag_building_1	0
nag_bpyramid_ww2_warmachines_3	nag_bpyramid_ww2_warmachines	2	1	4500	0		false	false		true	nag_bpyramid_ww2_warmachines	false	0.0000	0	true	2		true	0	0	nag_building_2	0
nag_bpyramid_ew3_growth_1	nag_bpyramid_ew3_growth	0	1	750	0		false	false		true	nag_bpyramid_ew3_growth	false	0.0000	0	true	0		true	0	0		0
