level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution
#building_levels_tables	16	db/building_levels_tables/jvj_nagash_buildings_special
nag_settlement_cavalry_1	nag_settlement_cavalry	0	3	2500	0		false	0	0	0	0	false				true	nag_settlement_cavalry	false	0.0	0	true	2		true	0	0
nag_settlement_cavalry_2	nag_settlement_cavalry	1	4	5000	0		false	0	0	0	0	false				true	nag_settlement_cavalry	false	0.0	0	true	3		true	0	0
nag_settlement_cavalry_3	nag_settlement_cavalry	2	5	7500	0		false	0	0	0	0	false				true	nag_settlement_cavalry	false	0.0	0	true	4		true	0	0
nag_settlement_cavalry_4	nag_settlement_cavalry	3	6	10000	0		false	0	0	0	0	false				true	nag_settlement_cavalry	false	0.0	0	true	5		true	0	0
nag_settlement_chariots_1	nag_settlement_chariots	0	2	1000	0		false	0	0	0	0	false				true	nag_settlement_chariots	false	0.0	0	true	1		true	0	0
nag_settlement_chariots_2	nag_settlement_chariots	1	3	2000	0		false	0	0	0	0	false				true	nag_settlement_chariots	false	0.0	0	true	2		true	0	0
nag_settlement_chariots_3	nag_settlement_chariots	2	4	4000	0		false	0	0	0	0	false				true	nag_settlement_chariots	false	0.0	0	true	3		true	0	0
nag_settlement_citadel_1	nag_settlement_citadel	0	4	6000	0		false	0	0	0	0	false				true	nag_settlement_citadel	false	0.0	0	true	4		true	0	0
nag_settlement_defence_major_1	nag_settlement_defence_major	0	3	2500	0		false	0	0	0	0	false				true	nag_settlement_walls	false	0.0	0	true	2		true	0	0
nag_settlement_defence_major_2	nag_settlement_defence_major	1	4	5000	0		false	0	0	0	0	false				true	nag_settlement_walls	false	0.0	0	true	3		true	0	0
nag_settlement_defence_major_3	nag_settlement_defence_major	2	5	7500	0		false	0	0	0	0	false				true	nag_settlement_walls	false	0.0	0	true	4		true	0	0
nag_settlement_estate_1	nag_settlement_estate	0	4	7500	0		false	0	0	0	0	false				true	nag_settlement_estate	false	0.0	0	true	4		true	0	0
nag_settlement_growth_1	nag_settlement_growth	0	2	1000	0		false	0	0	0	0	false				true	nag_settlement_growth	false	0.0	0	true	1		true	0	0
nag_settlement_growth_2	nag_settlement_growth	1	3	2000	0		false	0	0	0	0	false				true	nag_settlement_growth	false	0.0	0	true	2		true	0	0
nag_settlement_growth_3	nag_settlement_growth	2	4	4000	0		false	0	0	0	0	false				true	nag_settlement_growth	false	0.0	0	true	3		true	0	0
nag_settlement_hierotitan_1	nag_settlement_hierotitan	0	5	10000	0		false	0	0	0	0	false				true	nag_settlement_hierotitan	false	0.0	0	true	5		true	0	0
nag_settlement_income_1	nag_settlement_income	0	2	400	0		false	0	0	0	0	false				true	nag_settlement_income	false	0.0	0	true	1		true	0	0
nag_settlement_income_2	nag_settlement_income	1	3	800	0		false	0	0	0	0	false				true	nag_settlement_income	false	0.0	0	true	2		true	0	0
nag_settlement_income_3	nag_settlement_income	2	4	1200	0		false	0	0	0	0	false				true	nag_settlement_income	false	0.0	0	true	3		true	0	0
nag_settlement_infantry_1	nag_settlement_infantry	0	2	2000	0		false	0	0	0	0	false				true	nag_settlement_infantry	false	0.0	0	true	1		true	0	0
nag_settlement_infantry_2	nag_settlement_infantry	1	3	4000	0		false	0	0	0	0	false				true	nag_settlement_infantry	false	0.0	0	true	2		true	0	0
nag_settlement_infantry_3	nag_settlement_infantry	2	4	6000	0		false	0	0	0	0	false				true	nag_settlement_infantry	false	0.0	0	true	3		true	0	0
nag_settlement_necrosphinx_1	nag_settlement_necrosphinx	0	5	10000	0		false	0	0	0	0	false				true	nag_settlement_necrosphinx	false	0.0	0	true	5		true	0	0
nag_settlement_scorpions_1	nag_settlement_scorpions	0	6	7500	0		false	0	0	0	0	false				true	nag_settlement_scorpions	false	0.0	0	true	4		true	0	0
nag_settlement_ushabti_1	nag_settlement_ushabti	0	3	3000	0		false	0	0	0	0	false				true	nag_settlement_ushabti	false	0.0	0	true	3		true	0	0
nag_settlement_ushabti_2	nag_settlement_ushabti	1	4	6000	0		false	0	0	0	0	false				true	nag_settlement_ushabti	false	0.0	0	true	4		true	0	0
nag_settlement_warsphinx_1	nag_settlement_warsphinx	0	5	10000	0		false	0	0	0	0	false				true	nag_settlement_warsphinx	false	0.0	0	true	5		true	0	0
wh2_dlc09_special_settlement_altdorf_nag_1	wh2_dlc09_special_settlement_altdorf_nag	1	2	800	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	true	0	wh2_cam_settlement_capital_tombkings	true	0	2000
wh2_dlc09_special_settlement_altdorf_nag_ruin	wh2_dlc09_special_settlement_altdorf_nag	0	1	0	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
wh2_dlc09_special_settlement_athel_loren_nag_1	wh2_dlc09_special_settlement_athel_loren_nag	1	2	800	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	true	0	wh2_cam_settlement_capital_tombkings	true	0	2000
wh2_dlc09_special_settlement_athel_loren_nag_ruin	wh2_dlc09_special_settlement_athel_loren_nag	0	1	0	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
wh2_dlc09_special_settlement_black_crag_nag_1	wh2_dlc09_special_settlement_black_crag_nag	1	2	800	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	true	0	wh2_cam_settlement_capital_tombkings	true	0	2000
wh2_dlc09_special_settlement_black_crag_nag_ruin	wh2_dlc09_special_settlement_black_crag_nag	0	1	0	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
wh2_dlc09_special_settlement_castle_drakenhof_nag_1	wh2_dlc09_special_settlement_castle_drakenhof_nag	1	2	800	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	true	0	wh2_cam_settlement_capital_tombkings	true	0	2000
wh2_dlc09_special_settlement_castle_drakenhof_nag_ruin	wh2_dlc09_special_settlement_castle_drakenhof_nag	0	1	0	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
wh2_dlc09_special_settlement_couronne_nag_1	wh2_dlc09_special_settlement_couronne_nag	1	2	800	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	true	0	wh2_cam_settlement_capital_tombkings	true	0	2000
wh2_dlc09_special_settlement_couronne_nag_ruin	wh2_dlc09_special_settlement_couronne_nag	0	1	0	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
wh2_dlc09_special_settlement_eight_peaks_nag_1	wh2_dlc09_special_settlement_eight_peaks_nag	1	2	800	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	true	0	wh2_cam_settlement_capital_tombkings	true	0	2000
wh2_dlc09_special_settlement_eight_peaks_nag_ruin	wh2_dlc09_special_settlement_eight_peaks_nag	0	1	0	0		false	0	0	0	0	false				true	nag_outpost_primary_main_coast	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
