level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution
#building_levels_tables;16;db/building_levels_tables/jvj_nagash_buildings_outpost																										
nag_outpost_primary_main_ruin	nag_outpost_primary_main	0	1	0	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
nag_outpost_primary_main_1	nag_outpost_primary_main	1	2	800	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	0	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_primary_main_2	nag_outpost_primary_main	2	3	1600	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	1	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_primary_main_3	nag_outpost_primary_main	3	4	3200	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	2	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_primary_main_4	nag_outpost_primary_main	4	5	4800	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	4	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_primary_main_5	nag_outpost_primary_main	5	6	7200	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	5	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_primary_main_coast_ruin	nag_outpost_primary_main_coast	0	1	0	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
nag_outpost_primary_main_coast_1	nag_outpost_primary_main_coast	1	2	800	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	0	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_primary_main_coast_2	nag_outpost_primary_main_coast	2	3	1600	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	1	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_primary_main_coast_3	nag_outpost_primary_main_coast	3	4	3200	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	2	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_primary_main_coast_4	nag_outpost_primary_main_coast	4	5	4800	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	4	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_primary_main_coast_5	nag_outpost_primary_main_coast	5	6	7200	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	5	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_norsca_primary_main_ruin	nag_outpost_norsca_primary_main	0	1	0	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_minor	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
nag_outpost_norsca_primary_main_1	nag_outpost_norsca_primary_main	1	2	800	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	0	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_norsca_primary_main_2	nag_outpost_norsca_primary_main	2	3	1600	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	1	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_norsca_primary_main_3	nag_outpost_norsca_primary_main	3	4	3200	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	2	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_norsca_primary_main_4	nag_outpost_norsca_primary_main	4	5	4800	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	4	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_norsca_primary_main_5	nag_outpost_norsca_primary_main	5	6	7200	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major	false	0.0	5	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_norsca_primary_main_coast_ruin	nag_outpost_norsca_primary_main_coast	0	1	0	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	0	false	0	wh_cam_settlement_generic_ruin	true	0	0
nag_outpost_norsca_primary_main_coast_1	nag_outpost_norsca_primary_main_coast	1	2	800	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	0	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_norsca_primary_main_coast_2	nag_outpost_norsca_primary_main_coast	2	3	1600	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	1	true	0	wh2_cam_settlement_major_tombkings	true	0	0
nag_outpost_norsca_primary_main_coast_3	nag_outpost_norsca_primary_main_coast	3	4	3200	0		false	0	0	0	0	false				true	wh_main_HUMAN_settlement_major_coast	false	0.0	2	true	0	wh2_cam_settlement_major_tombkings	true	0	0
