character_item	character_name
#battle_set_piece_armies_characters_items_tables;0;db/battle_set_piece_armies_characters_items_tables/rhox_nagash	
nag_anc_armour_morikhane_the_black_armour	nag_nagash_boss
nag_anc_weapon_the_mortis_blade	nag_nagash_boss
nag_anc_arcane_item_alakanash_staff_of_power	nag_nagash_boss
nag_anc_enchanted_item_crown_of_nagash_customs_only	nag_nagash_boss
nag_anc_arcane_item_alakanash_staff_of_power	nag_nagash_husk
nag_anc_talisman_the_carstein_ring	nag_mortarch_vlad
nag_anc_weapon_blood_drinker	nag_mortarch_vlad
nag_anc_armour_armour_of_templehof	nag_mortarch_mannfred
nag_anc_weapon_sword_of_unholy_power	nag_mortarch_mannfred
nag_anc_armour_armour_of_templehof	nag_mortarch_mannfred_warhorse
nag_anc_weapon_sword_of_unholy_power	nag_mortarch_mannfred_warhorse
nag_anc_armour_armour_of_templehof	nag_mortarch_mannfred_abyssal
nag_anc_weapon_sword_of_unholy_power	nag_mortarch_mannfred_abyssal
nag_anc_enchanted_item_slann_gold	nag_mortarch_luthor
nag_anc_arcane_item_staff_of_nagash	nag_mortarch_arkhan
nag_anc_weapon_the_tomb_blade_of_arkhan	nag_mortarch_arkhan
nag_anc_arcane_item_staff_of_nagash	nag_mortarch_arkhan_warhorse
nag_anc_weapon_the_tomb_blade_of_arkhan	nag_mortarch_arkhan_warhorse
nag_anc_arcane_item_staff_of_nagash	nag_mortarch_arkhan_chariot
nag_anc_weapon_the_tomb_blade_of_arkhan	nag_mortarch_arkhan_chariot
nag_anc_arcane_item_staff_of_nagash	nag_mortarch_arkhan_abyssal
nag_anc_weapon_the_tomb_blade_of_arkhan	nag_mortarch_arkhan_abyssal
nag_anc_weapon_chaos_tomb_blade	nag_mortarch_krell
nag_anc_armour_armour_of_the_barrows	nag_mortarch_krell
nag_anc_weapon_dagger_of_jet	nag_mortarch_neferata
nag_anc_arcane_item_staff_of_pain_custom_only	nag_mortarch_neferata
nag_anc_weapon_dagger_of_jet	nag_mortarch_neferata_warhorse
nag_anc_arcane_item_staff_of_pain	nag_mortarch_neferata_warhorse
nag_anc_weapon_dagger_of_jet	nag_mortarch_neferata_abyssal
nag_anc_arcane_item_staff_of_pain	nag_mortarch_neferata_abyssal
nag_anc_enchanted_item_blood_chalice_of_bathori	nag_mortarch_isabella
nag_anc_enchanted_item_blood_chalice_of_bathori	nag_mortarch_isabella_warhorse
nag_anc_enchanted_item_blood_chalice_of_bathori	nag_mortarch_isabella_hellsteed
