building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip	building_frame_override
#building_culture_variants_tables;5;db/building_culture_variants_tables/rhox_nagash_copied_landmark									
rhox_nagash_special_black_tower_of_arkhan				wh_main_PLACEHOLDER	tmb_black_tower_of_arkhan	false	wh2_dlc09_special_black_tower_of_arkhan	true	
rhox_nagash_special_pyramid_alcadizaar				wh_main_PLACEHOLDER	tmb_ pyramid_of_king_alcadizaar	false	wh2_dlc09_special_pyramid_alcadizaar	true	
rhox_nagash_special_pyramid_amenemhetum				wh_main_PLACEHOLDER	tmb_pyramid_of_king_amenemhetum	false	wh2_dlc09_special_pyramid_amenemhetum	true	
rhox_nagash_special_pyramid_khatep				wh_main_PLACEHOLDER	tmb_ pyramid_of_king_khatep	false	wh2_dlc09_special_pyramid_khatep	true	
rhox_nagash_special_pyramid_phar				wh_main_PLACEHOLDER	tmb_pyramid_of_king_phar	false	wh2_dlc09_special_pyramid_phar	true	
rhox_nagash_special_pyramid_settra				wh_main_PLACEHOLDER	tmb_ great_pyramid_of_settra	false	wh2_dlc09_special_pyramid_settra	true	
rhox_nagash_special_pyramid_tutankhanut				wh_main_PLACEHOLDER	tmb_pyramid_of_prince_tutankhanut	false	wh2_dlc09_special_pyramid_tutankhanut	true	
rhox_nagash_special_college_of_magic_vampires				wh_main_PLACEHOLDER	empire_altdorf_college	false	wh_main_special_college_of_magic	true	
rhox_nagash_special_blood_keep				wh_main_PLACEHOLDER	vampire_blood_keep	false	wh2_main_special_blood_keep	true	
rhox_nagash_special_castle_drachenfels				wh_main_PLACEHOLDER	wh2_main_special_castle_drachenfels	false	wh2_main_special_castle_drachenfels_2	true	
rhox_nagash_special_mousillon_merovech				wh_main_PLACEHOLDER	special_merovech	false	wh2_main_special_mousillon_merovech	true	
rhox_nagash_special_ghrond_convent_of_sorcery_vmp				wh_main_PLACEHOLDER	special_ghrond_convent_of_sorcery	false	wh2_main_special_ghrond_convent_of_sorcery_2	true	
rhox_nagash_special_ogham_stones_1				wh_main_PLACEHOLDER	wh2_twa03_special_albion_ogham_stones	false	wh2_twa03_special_ogham_stones_2	true	
rhox_nagash_special_ogham_stones_2				wh_main_PLACEHOLDER	wh2_twa03_special_albion_ogham_stones	false	wh2_twa03_special_ogham_stones_3	true	
rhox_nagash_special_standing_stones_others				wh_main_PLACEHOLDER	wh3_main_special_standing_stones_others	false	wh3_main_special_standing_stones_others	true	
wh_pro02_VAMPIRES_isabella_unique			mixer_nag_nagash	wh_main_PLACEHOLDER	vampire_mausoleum_of_the_mad_count	false	wh_pro02_vmp_isabella_unique	true	
wh3_main_special_desecrated_grove_2			mixer_nag_nagash	wh_main_PLACEHOLDER	wh3_main_special_desecrated_grove	false	wh3_main_special_desecrated_grove_2	true	
wh3_main_special_desecrated_grove			mixer_nag_nagash	wh_main_PLACEHOLDER	wh3_main_special_desecrated_grove	false	wh3_main_special_desecrated_grove	true	
wh2_dlc15_special_morgheim_necropolis_vmp			mixer_nag_nagash	wh_main_PLACEHOLDER	vmp_tmb_mourkain	false	wh2_main_special_galbaraz_mourkain_vmp_1	true	
wh2_dlc11_special_ancient_vault_1			mixer_nag_nagash	wh_main_PLACEHOLDER	special_ancient_vault	false	wh2_dlc11_special_ancient_vault_1	true	
wh2_dlc11_special_ancient_vault_2			mixer_nag_nagash	wh_main_PLACEHOLDER	special_ancient_vault	false	wh2_dlc11_special_ancient_vault_2	true	
wh2_dlc14_special_nagashizzar_vmp			mixer_nag_nagash	wh_main_PLACEHOLDER	nag_skull_throne_landmark	false	wh2_dlc14_special_nagashizzar_vmp	true	
