deactivate_flag	special_ability
#special_ability_to_auto_deactivate_flags_tables;0;db/special_ability_to_auto_deactivate_flags_tables/nagash	
morale_is_broken_or_lower	wh_main_lore_nagash_raise_the_dead
other_abilities_none_on_wind_up	wh_main_lore_nagash_raise_the_dead
morale_is_broken_or_lower	nag_neferata_passive_blood_queen
other_abilities_none_on_wind_up	nag_neferata_item_passive_staff_of_pain
no_enemies_in_intercept_range_commander_class	nag_neferata_item_passive_dagger_of_jet
out_of_melee	nag_nagash_abilities_mortis_blade
engaged_in_melee	nag_nagash_passive_eternal_danse_macabre
out_of_melee	nag_nagash_passive_malediction_of_nagash
health_below_25%	nag_unit_abilities_refuse_to_die
out_of_melee	nag_unit_abilities_feaster_of_souls
out_of_melee	nag_unit_passive_shade_haunt_vortex
out_of_melee	nag_unit_passive_shade_haunt_vortex_visual_dummy
out_of_melee	nag_unit_passive_spirit_host_vortex
out_of_melee	nag_unit_passive_spirit_host_vortex_visual_dummy
out_of_melee	nag_unit_passive_spectre_swarm_vortex
out_of_melee	nag_unit_passive_spectre_swarm_vortex_visual_dummy
health_above_20%	nag_unit_passive_torment
unit_is_not_in_forest	nag_unit_passive_heavy_with_death
