units_to_groupings_military_permissions_tables	0
unit	military_group
nag_bone_golems	nag_nagash
nag_bone_thrower	nag_nagash
nag_carrion_riders	nag_nagash
nag_morghasts	nag_nagash
nag_morghasts_archai	nag_nagash
nag_mortis_engine	nag_nagash
nag_nagash_boss	nag_nagash
nag_nagash_husk	nag_nagash
nag_nagash_revenant	nag_nagash
nag_nagashi_guard	nag_nagash
nag_nagashi_guard_halb	nag_nagash
nag_sand_crawlies	nag_nagash
nag_mortarch_neferata	nag_nagash
nag_mortarch_neferata_abyssal	nag_nagash
nag_mortarch_krell	nag_nagash
nag_mortarch_vlad	nag_nagash
nag_mortarch_mannfred	nag_nagash
nag_mortarch_mannfred_warhorse	nag_nagash
nag_mortarch_mannfred_abyssal	nag_nagash
nag_mortarch_luthor	nag_nagash
nag_mortarch_luthor_terrorgheist	nag_nagash
nag_mortarch_arkhan	nag_nagash
nag_mortarch_arkhan_warhorse	nag_nagash
nag_mortarch_arkhan_chariot	nag_nagash
nag_mortarch_arkhan_abyssal	nag_nagash
wh2_dlc09_tmb_cha_tomb_king_0	nag_nagash
wh2_dlc09_tmb_cha_tomb_king_1	nag_nagash
wh2_dlc09_tmb_cha_tomb_king_2	nag_nagash
wh2_dlc09_tmb_cha_tomb_king_3	nag_nagash
wh2_dlc09_tmb_cha_tomb_prince_0	nag_nagash
wh2_dlc09_tmb_cha_tomb_prince_1	nag_nagash
wh2_dlc09_tmb_cha_tomb_prince_2	nag_nagash
wh_main_vmp_cha_wight_king_0	nag_nagash
wh_main_vmp_cha_wight_king_1	nag_nagash
wh_main_vmp_cha_wight_king_2	nag_nagash
wh_main_vmp_cha_vampire_0	nag_nagash
wh_main_vmp_cha_vampire_1	nag_nagash
wh_main_vmp_cha_vampire_2	nag_nagash
wh2_dlc11_cst_cha_gunnery_wight_0	nag_nagash
wh2_dlc11_cst_cha_gunnery_wight_1	nag_nagash
wh2_dlc09_tmb_cha_liche_priest_death_0	nag_nagash
wh2_dlc09_tmb_cha_liche_priest_death_1	nag_nagash
wh2_dlc09_tmb_cha_liche_priest_light_0	nag_nagash
wh2_dlc09_tmb_cha_liche_priest_light_1	nag_nagash
wh2_dlc09_tmb_cha_liche_priest_nehekhara_0	nag_nagash
wh2_dlc09_tmb_cha_liche_priest_nehekhara_1	nag_nagash
wh2_dlc09_tmb_cha_liche_priest_shadow_0	nag_nagash
wh2_dlc09_tmb_cha_liche_priest_shadow_1	nag_nagash
nag_vanilla_tmb_inf_skeleton_archers_0	nag_nagash
nag_vanilla_tmb_inf_skeleton_spearmen_0	nag_nagash
nag_vanilla_tmb_inf_skeleton_warriors_0	nag_nagash
nag_vanilla_tmb_inf_nehekhara_warriors_0	nag_nagash
nag_vanilla_tmb_inf_tomb_guard_0	nag_nagash
nag_vanilla_tmb_inf_tomb_guard_1	nag_nagash
nag_vanilla_tmb_cav_skeleton_horsemen_0	nag_nagash
nag_vanilla_tmb_cav_skeleton_horsemen_archers_0	nag_nagash
nag_vanilla_tmb_cav_nehekhara_horsemen_0	nag_nagash
nag_vanilla_tmb_cav_necropolis_knights_0	nag_nagash
nag_vanilla_tmb_cav_necropolis_knights_1	nag_nagash
nag_vanilla_tmb_veh_skeleton_archer_chariot_0	nag_nagash
nag_vanilla_tmb_veh_skeleton_chariot_0	nag_nagash
nag_vanilla_tmb_mon_ushabti_0	nag_nagash
nag_vanilla_tmb_mon_ushabti_1	nag_nagash
nag_vanilla_tmb_mon_sepulchral_stalkers_0	nag_nagash
nag_vanilla_tmb_mon_tomb_scorpion_0	nag_nagash
nag_vanilla_tmb_mon_khemrian_warsphinx_0	nag_nagash
nag_vanilla_tmb_mon_necrosphinx_0	nag_nagash
nag_vanilla_tmb_mon_bone_giant_0	nag_nagash
nag_vanilla_tmb_art_screaming_skull_catapult_0	nag_nagash
nag_vanilla_tmb_art_casket_of_souls_0	nag_nagash
nag_vanilla_vmp_inf_zombie	nag_nagash
nag_vanilla_vmp_inf_skeleton_warriors_0	nag_nagash
nag_vanilla_vmp_inf_skeleton_warriors_1	nag_nagash
nag_vanilla_vmp_inf_crypt_ghouls	nag_nagash
nag_vanilla_vmp_inf_cairn_wraiths	nag_nagash
nag_vanilla_vmp_inf_grave_guard_0	nag_nagash
nag_vanilla_vmp_inf_grave_guard_1	nag_nagash
nag_vanilla_vmp_cav_black_knights_0	nag_nagash
nag_vanilla_vmp_cav_black_knights_3	nag_nagash
nag_vanilla_vmp_cav_hexwraiths	nag_nagash
nag_vanilla_vmp_cav_blood_knights_0	nag_nagash
nag_vanilla_vmp_veh_corpse_cart_1	nag_nagash
nag_vanilla_vmp_veh_corpse_cart_2	nag_nagash
nag_vanilla_vmp_mon_dire_wolves	nag_nagash
nag_vanilla_vmp_mon_fell_bats	nag_nagash
nag_vanilla_vmp_mon_vargheists	nag_nagash
nag_vanilla_cst_inf_zombie_deckhands_mob_0	nag_nagash
nag_vanilla_cst_inf_zombie_deckhands_mob_1	nag_nagash
nag_vanilla_cst_inf_zombie_gunnery_mob_0	nag_nagash
nag_vanilla_cst_inf_zombie_gunnery_mob_1	nag_nagash
nag_vanilla_cst_mon_bloated_corpse_0	nag_nagash
nag_vanilla_cst_mon_terrorgheist	nag_nagash
