key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander	can_be_dismantled	is_foreign_slot_chain
#building_chains_tables;10;db/building_chains_tables/rhox_nagash_copied_landmark										
rhox_nagash_special_black_tower_of_arkhan			money	false	wh2_dlc09_sch_special_black_tower_of_arkhan		0		true	false
rhox_nagash_special_pyramid_alcadizaar			money	false	wh2_dlc09_sch_special_pyramid_alcadizaar		0		true	false
rhox_nagash_special_pyramid_amenemhetum			money	false	wh2_dlc09_sch_special_pyramid_amenemhetum		0		true	false
rhox_nagash_special_pyramid_khatep			money	false	wh2_dlc09_sch_special_pyramid_khatep		0		true	false
rhox_nagash_special_pyramid_phar			money	false	wh2_dlc09_sch_special_pyramid_phar		0		true	false
rhox_nagash_special_pyramid_settra			money	false	wh2_dlc09_sch_special_pyramid_settra		0		true	false
rhox_nagash_special_pyramid_tutankhanut			money	false	wh2_dlc09_sch_special_pyramid_tutankhanut		0		true	false
rhox_nagash_special_college_of_magic_vampires			military	true	wh_main_sch_special_college_of_magic		1		true	false
rhox_nagash_special_blood_keep			military	false	wh2_main_sch_special_blood_keep		1		true	false
rhox_nagash_special_castle_drachenfels			money	false	wh2_main_sch_special_castle_drachenfels		0		true	false
rhox_nagash_special_mousillon_merovech			money	false	wh2_main_sch_special_mousillon_merovech		0		true	false
rhox_nagash_special_ghrond_convent_of_sorcery_vmp			military	false	wh2_main_sch_special_ghrond_convent_of_sorcery		0		true	false
rhox_nagash_special_ogham_stones			happiness	false	wh2_twa03_ogham_stones		0		true	false
rhox_nagash_special_standing_stones_others			money	false	wh3_main_special_standing_stones		0		true	false
