key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier
#battle_entities_tables;34;db/battle_entities_tables/nagash																																																				
urg_nagash	man	1.5	3.4	2.0	4.0	4.1	35.0	30.0	30.0	0.7	circle	1.0	600.0	7.0	60.0	120.0	8	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_human_male	2.0	infantry_light_effects	70	70	0.0	true	1.0	0.9	1	wh_main_generic_character_aura		0.5	1.6	1	false		true	true	wh_main_unit_combat	-1.0	-1.0	70	1.0	1.0	1.0	1.0
nag_nagash_husk	man	1.5	3.4	2.0	4.0	4.1	35.0	30.0	30.0	1.0	circle	1.0	400.0	5.0	60.0	120.0	8	true	true	0.0	0.0	0.0	small	1.0	ignore	none	2.0	infantry_light_effects	70	60	0.0	true	1.0	0.9	2	wh_main_generic_character_aura		0.5	1.45	1	false		false	false	wh_main_unit_combat	-1.0	-1.0	70	1.0	1.0	1.0	1.0
nag_hero_melee_summon	man	1.5	3.3	2.0	4.0	4.2	35.0	30.0	30.0	0.6	circle	1.0	500.0	1.8	60.0	120.0	1000	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_skeleton	0.0	infantry_light_effects	65	65	0.0	true	1.0	0.9	1			0.5	1.6	1	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0	1.0
nag_hero_mage_summon	man	1.5	3.3	2.0	4.0	4.2	35.0	30.0	30.0	0.6	circle	1.0	500.0	1.8	60.0	120.0	1000	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_skeleton	0.0	infantry_light_effects	65	65	0.0	true	1.0	0.9	1			0.5	1.6	1	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	1.0	1.0	1.0	1.0
cr_lon_mon_mortis_sphinx	giant	3.3	6.8	3.0	3.0	10.0	40.0	35.0	35.0	4.0	capsule	0.6	5500.0	6.75	60.0	120.0	8	true	true	0.0	0.0	0.0	very_large	1.0	rotation_x	wh2_tmb_warsphinx	6.0	giant_effects	70	70	0.0	false	0.8	0.75	5			0.5	1.45	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	5	1.0	1.0	1.0	1.0
nag_morghasts	giant	4.0	5.6	4.0	4.0	7.8	40.0	35.0	35.0	1.0	circle	1.0	2500.0	3.2	60.0	80.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	5.0	monstrous_infantry_effects	70	60	0.0	false	0.8	0.75	3			0.5	1.45	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	30	1.0	1.0	1.0	1.0
nag_morghasts_archai	giant	4.0	6.0	4.0	4.0	7.8	40.0	35.0	35.0	1.0	circle	1.0	3000.0	3.6	60.0	80.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	5.0	monstrous_infantry_effects	80	70	0.0	false	1.0	0.8	3	wh_main_generic_character_aura		0.5	1.45	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	30	1.0	1.0	1.0	1.0
nag_bone_golems	giant	2.6	3.2	2.0	3.0	3.8	35.0	30.0	30.0	1.0	circle	1.0	2500.0	3.2	60.0	80.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	5.0	monstrous_infantry_effects	50	50	0.0	false	0.8	0.75	3			0.5	1.45	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	30	1.0	1.0	1.0	1.0
nag_endless_tomb	chariot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	circle	1.0	100000.0	5.0	360.0	1.0	8	true	true	0.0	0.0	0.0	very_large	0.0	ignore	wh_dlc_mortis_engine	6.0	artillery_effects	100	100	0.0	false	1.0	0.8	6			0.5	1.45	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	0	0.0	0.0	0.0	1.0
