id	duration	effect_type	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	heal_amount_duplicate	damage_chance	damage_amount	max_damaged_entities	heal_amount	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	recharge_time	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group
#special_ability_phases_tables;35;db/special_ability_phases_tables/nagash																													
wh_main_spell_nagash_breath_of_darkness	15.0	positive		false	false	false	0.0	0.0	0.0	0.5	50	0.0	0	0	50	true	0.0	0.0	false	0		wh_main_spell_vampires_invocation_of_nehek		-1.0	false	true	true	0.0	
wh_main_spell_nagash_breath_of_darkness_upgraded	15.0	positive		false	false	false	-1.0	0.0	0.0	0.5	50	0.0	0	0	50	false	0.0	0.0	false	0		wh_main_spell_vampires_invocation_of_nehek		-1.0	false	true	true	0.0	
wh_main_spell_nagash_become_construct	3.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0				-1.0	false	true	true	0.0	
wh_main_spell_nagash_soul_stealer	18.0	positive		false	false	false	0.0	0.0	0.0	0.5	24	0.0	0	0	24	true	0.0	0.0	false	0		wh_main_spell_vampires_invocation_of_nehek		-1.0	false	true	true	0.0	
wh_main_spell_nagash_blyramid_pet	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		belisarians_nagash_pet_blyramid		-1.0	false	true	true	0.0	
wh_main_spell_nagash_abyssal_swarm_upgrade	30.0	negative		false	true	false	0.0	0.0	0.0	1.0	0	1.0	40	-1	0	false	0.0	0.0	false	0				-1.0	false	false	true	0.0	
wh_main_spell_nagash_floating_vandus_catus	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		belisarians_nagash_floating_vandus_catus		-1.0	false	true	true	0.0	
nag_unit_passive_mortal_realm_of_souls	-1.0	positive		false	false	false	0.0	0.0	0.0	0.5	1	0.0	0	0	1	false	0.0	0.0	false	0				-1.0	false	true	true	0.0	
nag_krell_mortarch_of_despair_miscast_heal	26.0	positive		false	false	false	-0.36	0.0	0.0	0.5	48	0.0	0	0	48	false	0.0	0.0	false	0		wh_main_generic_hp_regen	wh_main_item_abilities_potion_of_healing	-1.0	false	true	false	0.0	
nag_krell_armour_passive_armour_of_barrow	15.0	negative		false	false	false	0.0	0.0	10.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_debuff_attack_passive		45.0	false	true	true	0.0	
wh2_dlc17_lord_passive_aura_of_dark_majesty_upgrade	-1.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_debuff_morale_passive		-1.0	false	true	true	0.0	
wh_dlc04_lord_passive_aura_of_dark_majesty	-1.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0		wh_main_generic_debuff_morale_passive		-1.0	false	true	true	0.0	
nag_neferata_abilities_mortarch_of_blood_death	25.0	negative		false	true	false	0.0	0.0	0.0	1.0	0	0.0	40	1	0	false	0.0	0.0	false	0		wh2_dlc15_abilities_wardens_cage	wh2_dlc15_ability_wardens_cage	-1.0	false	true	true	0.0	
nag_neferata_passive_blood_queen	-1.0	positive		false	false	false	0.0	0.0	0.0	0.5	4	0.0	0	0	4	false	0.0	0.0	false	0				-1.0	false	true	true	0.0	
nag_neferata_item_passive_staff_of_pain	10.0	negative		false	false	false	0.0	0.0	0.0	1.0	0	1.0	4	2	0	false	0.0	0.0	false	0		wh_main_generic_hp_damage_passive		-1.0	false	true	true	0.0	
nag_unit_contact_screaming_blade	10.0	negative		false	false	false	0.0	0.0	0.0	0.5	0	1.0	8	1	0	false	0.0	0.0	false	0		wh2_dlc14_spell_stealth_brittle_bone		-1.0	false	true	true	0.0	
nag_neferata_item_passive_dagger_of_jet	-1.0	positive		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0	nag_unit_contact_screaming_blade			-1.0	false	true	true	0.0	
nag_army_abilities_batocalypse_01	10.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0			wh_ability_negative_one_shot	-1.0	false	false	true	0.0	
nag_army_abilities_batocalypse_02	-1.0	negative		false	false	false	0.0	0.0	0.0	0.0	0	0.0	0	-1	0	false	0.0	0.0	false	0			wh_ability_negative_one_shot	-1.0	false	false	true	0.0	
