id	duration	effect_type	requested_stance	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	damage_amount	max_damaged_entities	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group	spreading	freeze_recharge	heal_amount	barrier_heal_amount	remove_magical	execute_ratio
#special_ability_phases_tables;44;db/special_ability_phases_tables/rhox_nagash																														
wh_main_lore_nagash_raise_the_dead	9.0000	positive		false	false	-0.0500	0.0000	0.0000	0.5000	0	-1	true	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0013	0.0000	false	0.0000
wh_main_spell_nagash_breath_of_darkness	12.0000	positive		false	false	0.0000	0.0000	0.0000	0.5000	0	0	true	0.0000	0.0000	false	0		wh_main_spell_vampires_invocation_of_nehek		false	true	true	0.0000			false	0.0290	0.0000	false	0.0000
wh_main_spell_nagash_breath_of_darkness_upgraded	12.0000	positive		false	false	-1.0000	0.0000	0.0000	0.5000	0	0	true	0.0000	0.0000	false	0		wh_main_spell_vampires_invocation_of_nehek		false	true	true	0.0000			false	0.0290	0.0000	false	0.0000
wh_main_spell_nagash_become_construct	3.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_nagash_soul_stealer	18.0000	positive		false	false	0.0000	0.0000	0.0000	0.5000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_vampires_invocation_of_nehek		false	true	false	0.0000			false	0.0080	0.0000	false	0.0000
wh_main_spell_nagash_abyssal_swarm_upgrade	30.0000	negative		true	false	0.0000	0.0000	0.0000	0.1000	4	1	false	0.0000	0.0000	false	0				false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_spell_nagash_floating_vandus_catus	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		belisarians_nagash_floating_vandus_catus		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_mortal_realm_of_souls	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.5000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0003	0.0000	false	0.0000
nag_krell_mortarch_of_despair_miscast_heal	26.0000	positive		false	false	-0.3600	0.0000	0.0000	0.5000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_hp_regen	wh_main_item_abilities_potion_of_healing	false	true	false	0.0000			false	0.0160	0.0000	false	0.0000
nag_krell_armour_passive_armour_of_barrow	15.0000	negative		false	false	0.0000	0.0000	10.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_debuff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	true	0.0000
wh2_dlc17_lord_passive_aura_of_dark_majesty_upgrade	-1.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_debuff_morale_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_dlc04_lord_passive_aura_of_dark_majesty	-1.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_debuff_morale_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_nagash_hand_of_dust_01	5.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		belisarians_nagash_hand_of_dust_basic		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_nagash_hand_of_dust_02	1.0000	negative		false	false	0.0000	0.0000	0.0000	1.0000	1000	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_neferata_abilities_mortarch_of_blood_death_01	24.0000	negative		true	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		belisarians_nagash_nefferata_heart_dagger		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_neferata_abilities_mortarch_of_blood_death_02	1.0000	negative		true	false	0.0000	0.0000	0.0000	1.0000	1000	1	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.2000
nag_neferata_passive_blood_queen	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.5000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0013	0.0000	false	0.0000
nag_neferata_item_passive_staff_of_pain	10.0000	negative		false	false	0.0000	0.0000	0.0000	1.0000	4	2	false	0.0000	0.0000	false	0		wh_main_generic_hp_damage_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_contact_screaming_blade	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.5000	8	1	false	0.0000	0.0000	false	0		wh2_dlc14_spell_stealth_brittle_bone		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_neferata_item_passive_dagger_of_jet	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0	nag_unit_contact_screaming_blade			false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_army_abilities_batocalypse_01	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0			wh_ability_negative_one_shot	false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_army_abilities_batocalypse_02	90.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0			wh_ability_negative_one_shot	false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_endless_tomb_visuals	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		belisarians_nagash_endless_tomb		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_nagash_abilities_master_arcane_conduit	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	1.2000	0.1000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_nagash_abilities_mortis_blade	-1.0000	positive		false	true	0.0000	0.0000	0.0000	0.5000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0018	0.0000	false	0.0000
nag_nagash_abilities_staff_of_power	-1.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	-0.8000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_nagash_abilities_crown_of_sorcery	29.0000	positive		false	false	0.0000	0.0000	-120.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_banner	wh2_dlc10_ability_abyssal_howl	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_nagash_abilities_morikhane_black_armour	30.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_all	wh_main_item_abilities_potion_of_healing	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_nagash_passive_eternal_danse_macabre	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_vampires_vanhels_danse_macabre	wh_main_spell_vampires_vanhels_danse_macabre	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
nag_nagash_passive_malediction_of_nagash	18.0000	negative		false	false	0.2000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh2_main_spell_dark_magic_soul_stealer	wh_main_spell_dark_magic_soul_stealer	false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_nagash_passive_death_magic_incarnate	15.0000	positive		false	false	-0.1000	0.0000	0.0000	0.5000	0	0	true	0.0000	0.0000	false	0		wh_main_spell_death_aspect_of_the_dreadknight	wh_main_spell_death_aspect_of_the_dreadknight	false	true	false	0.0000			false	0.0027	0.0000	false	0.0000
nag_unit_abilities_refuse_to_die	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_abilities_heralds_of_the_accursed_one	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_shade_haunt_dummy_vortex	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_spirit_host_small_aoe_visual_dummy	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		belisarians_nagash_spirit_host_attack_small		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_spectre_swarm_dummy_vortex	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_grim_aura_damage	10.0000	negative		false	false	0.0000	0.0000	0.0000	1.0000	2660	100	false	0.0000	0.0000	false	0		wh_dlc03_spell_beast_flock_of_doom		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_marshlight_aura_1	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_debuff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_marshlight_aura_2	30.0000	negative		false	false	0.0300	0.0000	0.0000	0.5000	2	10	false	0.0000	0.0000	false	0		wh_main_unit_contact_souls	wh_main_spell_dark_magic_soul_stealer	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_torment	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_warp_ghouls_poison	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_warp_ghouls_aura	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_warp_ghouls_aura_skaven	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_grasping_hands	-1.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_debuff_attack_passive		false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_abilities_malevolent_assault	30.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_abilities_beyond_the_veil	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh2_dlc15_ability_envelop_in_mist		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_heavy_with_death	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_contact_slownado	10.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	false	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_luthor_harkon_carcinization	10.0000	negative		false	false	0.0000	0.0000	0.0000	1.0000	500	100	false	0.0000	0.0000	false	0		wh_dlc03_spell_beast_flock_of_doom		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_zombie_battery	-1.0000	positive		false	false	-0.0500	0.0000	0.0000	0.5000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0013	0.0000	false	0.0000
nag_endless_tomb_skeleton_unbinding	165.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_bound_entity_energy_small	wh2_dlc13_ability_summon_unbinding_generic_small_phase_01	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_magical_attacks	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	true	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_azhag_abilities_reckless_whispers_i	45.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh3_main_unit_passive_chaotic_surge	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_azhag_abilities_reckless_whispers_ii	45.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh3_main_unit_passive_chaotic_surge	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_azhag_abilities_reckless_whispers_iii	45.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh3_main_unit_passive_chaotic_surge	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_azhag_abilities_reckless_whispers_iv	45.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh3_main_unit_passive_chaotic_surge	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_azhag_abilities_reckless_whispers_v	45.0000	positive		false	false	-0.2000	0.0000	0.0000	0.5000	0	-1	false	0.0000	0.0000	false	0		wh3_main_unit_passive_chaotic_surge	wh_ability_positive	false	true	true	0.0000			false	0.0013	0.0000	false	0.0000
nag_unit_passive_fresh_hunger	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.7500	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0005	0.0000	false	0.0000
wh_pro04_unit_passive_wildfire_aura	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0	wh2_dlc12_unit_contact_flammable	wh_main_generic_ward_save_all		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_dread_prowess	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_doom_of_nagashizzar	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
nag_unit_passive_doom_of_nagashizzar_hidden	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
