id	dilemma_key	option_key	value
#cdir_events_dilemma_option_junctions_tables;2;db/cdir_events_dilemma_option_junctions_tables/nagash			
21265496	nag_winds	GEN_TARGET_NONE	
21265497	nag_winds	VAR_CHANCE	100
21265498	nag_man	GEN_TARGET_NONE	
21265499	nag_man	VAR_CHANCE	100
21265500	nag_luthor_madness_1	GEN_TARGET_NONE	
21265501	nag_luthor_madness_1	VAR_CHANCE	100
21265502	nag_luthor_madness_2	GEN_TARGET_NONE	
21265503	nag_luthor_madness_2	VAR_CHANCE	100
21265504	nag_luthor_madness_3	GEN_TARGET_NONE	
21265505	nag_luthor_madness_3	VAR_CHANCE	100
