projectiles_tables	46
key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_cavalry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	is_grapple	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	scaling_damage	vegetation_ignore_time
wh_main_spell_nagash_hand_of_dust	misc	artillery_explosive	wh2_main_spell_dark_magic_doombolt	shell_spin	1	low	50	10	50	20.0	30.0	0.0	0	3000	false	false	1.0	1.0	40.0	0.1	0	0	0	wh_main_spell_nagash_hand_of_dust		wh_magic_dark_magic_doombolt	3.0	true		false	0.85	1	0.0	250.0	wh_main_spell_nagash_fist_homing		0.0	true	true	45	very_low_magic	-1	false	true	false	true	1	false	false	true	true		0.0
wh_main_nagash_mage_hero	misc	small_arm_flaming	wh_main_spell_light_shems_burning_gaze	shell_spin	1	low	250	10	88	60.0	30.0	5.0	20	50	false	false	0.25	1.0	200.0	0.5	0	0	33	wh_main_spell_light_shems_burning_gaze		wh_magic_burning_gaze	0.25	false		false	5.0	1	1.0	50.0	wh_main_magic_missile		1.0	true	true	25	medium_magic	-1	false	false	false	true	1	false	false	false	false		0.0
nag_bone_thrower	artillery	artillery_default		none	1	low	340	8	40	70.0	20.0	0.0	28	116	false	false	0.1	13.0	212.0	4.0	0	0	30	nag_bone_thrower		wh2_ushabti_bolt	-1.0	true		false	-1.0	1	0.0	50.0			0.0	false	true	45	large_3	700	false	false	false	false	1	false	false	false	true		0.0
REFERENCEwh_dwf_bolt_thrower_bolt	artillery	artillery_default		none	1	low	340	8	40	70.0	30.0	0.0	28	116	false	false	0.1	13.0	265.0	2.9	0	0	30	wh_dwf_bolt_thrower_bolt		wh_bolt_thrower	-1.0	true		false	-1.0	1	0.0	50.0			0.0	false	true	45	large_3	700	false	false	false	false	1	false	false	false	true		0.0
nag_bone_thrower_cluster	artillery	artillery_canister	wh2_main_unit_abilities_drop_rocks	axe_spin	3	low	340	8	45	68.0	10.0	5.0	36	18	false	false	0.1	13.0	200.0	15.0	0	0	0	nag_bone_thrower_cluster		wh2_ushabti_bolt	1.5	true	wh2_dlc12_unit_contact_suppressive_fire	false	-1.0	1	0.0	25.0			0.0	false	true	45	very_low_magic	700	false	false	false	false	1	false	false	false	true		0.0
REFERENCEwh2_dlc09_unit_abilities_death_from_above	misc	artillery_default	wh2_dlc09_unit_abilities_death_from_above	grenade_spin	1	low	20	0	88	15.0	0.0	3.0	96	36	false	false	0.5	1.0	250.0	10.0	0	0	0	wh2_dlc09_tmb_skull_projectile_dropped		wh2_Terradon_Bomb	1.5	false		false	10.0	1	0.0	25.0			0.0	false	false	45	very_low_magic	-1	false	true	false	true	1	false	false	false	false		2.8
REFERENCEwh2_dlc09_tmb_skull_projectile	artillery	artillery_default	wh2_dlc09_screaming_skull_explosion	none	1	low	380	35	50	67.0	10.0	0.0	30	120	false	false	0.4	16.0	320.0	80.0	0	0	0	wh2_dlc09_tmb_skull_projectile		wh2_catapult_screamingskull	0.6	true	wh_main_unit_contact_overhead_morale	false	-1.0	1	0.0	120.0			0.0	true	true	45	large_2	700	false	true	false	true	1	false	false	true	true		0.0
REFERENCEwh2_main_hef_eagle_claw_bolt	artillery	artillery_default		none	1	low	380	8	45	80.0	40.0	0.0	30	120	false	false	0.1	12.0	275.0	4.0	0	0	50	wh2_main_eagleclaw_bolt		wh2_bolt_thrower_eagle_claw	-1.0	true		false	-1.0	1	0.0	50.0			0.0	false	true	45	large_2	700	false	false	false	false	1	false	false	false	true		0.0
REFERENCEwh2_main_hef_eagle_claw_bolt_spread	artillery	artillery_canister		none	16	low	380	8	45	68.0	10.0	3.5	3	8	false	false	0.1	12.0	275.0	15.0	11	0	0	wh2_main_eagleclaw_bolt_spread		wh2_bolt_thrower_eagle_claw_spread	0.3	true		false	-1.0	1	0.0	13.0			0.0	false	true	45	medium	700	false	false	false	false	1	false	false	false	true		0.0
nag_double_spell_vampires_gaze_of_nagash	misc	small_arm_default	wh_main_spell_vampires_gaze_of_nagash	shell_spin	5	low	500	10	88	60.0	30.0	5.0	30	75	false	false	0.25	1.0	400.0	0.5	0	0	50	wh_main_spell_vampires_gaze_of_nagash		wh_main_spell_vampires_gaze_of_nagash	0.25	false		false	5.0	1	1.0	50.0	wh_main_magic_missile		0.0	true	true	25	medium_magic	-1	false	false	false	true	1	false	false	false	false		0.7
nag_double_spell_vampires_gaze_of_nagash_upgraded	misc	small_arm_default	wh_main_spell_vampires_gaze_of_nagash_upgraded	shell_spin	10	low	500	10	88	60.0	30.0	5.0	30	75	false	false	0.25	1.0	400.0	0.5	0	0	50	wh_main_spell_vampires_gaze_of_nagash		wh_main_spell_vampires_gaze_of_nagash	0.25	false		false	5.0	1	1.0	50.0	wh_main_magic_missile		0.0	true	true	25	medium_magic	-1	false	false	false	true	1	false	false	false	false		0.7
