member	context	culture
#campaign_group_member_criteria_cultures_tables;1;db/campaign_group_member_criteria_cultures_tables/rhox_nagash		
wh_main_event_feed_cult_all_nagash	ACTOR	mixer_nag_nagash
nag_scripted_intro	ACTOR	mixer_nag_nagash
nag_battle_victory	ACTOR	mixer_nag_nagash
nag_battle_draw	ACTOR	mixer_nag_nagash
nag_battle_defeat	ACTOR	mixer_nag_nagash
nag_attrition	ACTOR	mixer_nag_nagash
nag_event_feed	ACTOR	mixer_nag_nagash
nag_character_dies	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_army_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_character_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_province_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_hinder_army_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_hinder_character_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_hinder_province_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_all_hinder_character_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_champion_hinder_army_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_plague_priest_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_dignitary_hinder_army_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_dignitary_hinder_settlement_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_engineer_hinder_settlement_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_hinder_settlement_gain_influence_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_spy_hinder_army_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_spy_hinder_settlement_nagash	ACTOR	mixer_nag_nagash
wh2_dlc09_event_feed_agent_action_wizard_hinder_army_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_1-10_mixer_nag_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_11-20_mixer_nag_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_21-30_mixer_nag_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_31-40_mixer_nag_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_41-50_mixer_nag_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_51-60_mixer_nag_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_61-70_mixer_nag_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_71-80_mixer_nag_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_81-90_mixer_nag_nagash	ACTOR	mixer_nag_nagash
wh3_main_corruption_vampiric_91-100_mixer_nag_nagash	ACTOR	mixer_nag_nagash
rhox_nagash_captive	ORIGINATOR	mixer_nag_nagash
diplomacy_Subcult_Nagash_&_Negative	ACTOR	mixer_nag_nagash
diplomacy_Subcult_Nagash_&_Positive	ACTOR	mixer_nag_nagash
diplomacy_Subcult_Nagash	ACTOR	mixer_nag_nagash
