member	culture
#campaign_group_member_criteria_cultures_tables;0;db/campaign_group_member_criteria_cultures_tables/nagash_culture	
nagash_feature	nag_nagash
wh_event_feed_cult_all_nagash	nag_nagash
nag_ritual_succeeded	nag_nagash
nag_ritual_started	nag_nagash
nag_ritual_failed	nag_nagash
nag_scripted_intro	nag_nagash
nag_battle_victory	nag_nagash
nag_battle_draw	nag_nagash
nag_battle_defeat	nag_nagash
nag_attrition	nag_nagash
nag_event_feed	nag_nagash
nag_character_dies	nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_army_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_character_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_critical_hinder_province_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_hinder_army_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_hinder_character_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_all_failure_hinder_province_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_all_hinder_character_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_all_success_critical_hinder_character_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_champion_hinder_army_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_plague_priest_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_dignitary_hinder_army_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_dignitary_hinder_settlement_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_engineer_hinder_settlement_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_hinder_settlement_gain_influence_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_spy_hinder_army_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_spy_hinder_settlement_nagash	nag_nagash
wh2_dlc09_event_feed_agent_action_wizard_hinder_army_nagash	nag_nagash
