trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/rhox_nagash			
rhox_nagash_uber_husk	nag_ability_enable_blyramid_itself	general_to_force_own	1.0000
rhox_nagash_uber_husk	nag_effect_grand_spell_01_recharge	character_to_faction	4.0000
rhox_nagash_uber_husk	nag_effect_grand_spell_02_recharge	character_to_faction	4.0000
rhox_nagash_uber_husk	nag_effect_grand_spell_03_recharge	character_to_faction	2.0000
rhox_nagash_nagash_defeat_trait	wh3_main_effect_winds_of_magic_pool_cap	faction_to_force_own	10.0000
rhox_nagash_neferata_defeat_trait	wh_main_effect_technology_research_points	character_to_faction	10.0000
rhox_nagash_krell_defeat_trait	wh_main_effect_character_stat_weapon_strength	character_to_character_own	15.0000
rhox_nagash_nagash_defeat_trait	wh2_main_effect_attribute_enable_causes_fear_vs_vmp	character_to_character_own	1.0000
rhox_nagash_nagash_defeat_trait	wh2_dlc12_effect_attribute_enable_causes_fear_vs_cst	character_to_character_own	1.0000
rhox_nagash_nagash_defeat_trait	wh2_dlc12_effect_attribute_enable_causes_fear_vs_tmb	character_to_character_own	1.0000
rhox_nagash_lahmia_kissed_by_neferata	wh2_dlc14_effect_attrition_immunity_undead	character_to_force_own	1.0000
rhox_nagash_lahmia_kissed_by_neferata	wh2_dlc16_effect_unit_enable_attribute_undead	character_to_character_own	1.0000
rhox_nagash_lahmia_kissed_by_neferata	wh_main_effect_ability_enable_the_hunger	character_to_character_own	1.0000
