ancillary	required_skill	required_skill_level
#ancillaries_required_skills_tables;1;db/ancillaries_required_skills_tables/nagash		
nag_anc_mount_mannfred_barded_nightmare	nag_skill_mount_mannfred_barded_nightmare	1
nag_anc_mount_mannfred_abyssal	nag_skill_mount_mannfred_abyssal	1
nag_anc_mount_luthor_harkon_terrorgheist	nag_skill_mount_luthor_harkon_terrorgheist	1
nag_anc_mount_arkhan_skeletal_steed	nag_skill_mount_arkhan_skeletal_steed	1
nag_anc_mount_arkhan_skeleton_chariot	nag_skill_mount_arkhan_skeleton_chariot	1
nag_anc_mount_arkhan_abyssal	nag_skill_mount_arkhan_abyssal	1
nag_anc_mount_neferata_warhorse	nag_skill_mount_neferata_warhorse	1
nag_anc_mount_neferata_abyssal	nag_skill_mount_neferata_abyssal	1
nag_anc_armour_morikhane_the_black_armour	nag_skill_unique_nagash_morikhane	1
nag_anc_weapon_the_mortis_blade	nag_skill_unique_nagash_mortis	1
nag_anc_arcane_item_alakanash_staff_of_power	nag_skill_unique_nagash_alakanash	1
nag_anc_enchanted_item_crown_of_nagash	nag_skill_unique_nagash_crown	1
nag_anc_talisman_books_of_nagash_book_one	nag_skill_unique_nagash_book_one	1
nag_anc_talisman_books_of_nagash_book_two	nag_skill_unique_nagash_book_two	1
nag_anc_talisman_books_of_nagash_book_three	nag_skill_unique_nagash_book_three	1
nag_anc_talisman_books_of_nagash_book_four	nag_skill_unique_nagash_book_four	1
nag_anc_talisman_books_of_nagash_book_five	nag_skill_unique_nagash_book_five	1
nag_anc_talisman_books_of_nagash_book_six	nag_skill_unique_nagash_book_six	1
nag_anc_talisman_books_of_nagash_book_seven	nag_skill_unique_nagash_book_seven	1
nag_anc_talisman_books_of_nagash_book_eight	nag_skill_unique_nagash_book_eight	1
nag_anc_talisman_books_of_nagash_book_nine	nag_skill_unique_nagash_book_nine	1
nag_anc_weapon_dagger_of_jet	nag_skill_unique_neferatal_dagger_of_jet	1
nag_anc_arcane_item_staff_of_pain	nag_skill_unique_neferatal_staff_of_pain	1
nag_anc_armour_armour_of_the_barrows	nag_skill_unique_krell_armour_of_the_barrows	1
nag_anc_weapon_black_axe_of_krell	nag_skill_unique_krell_black_axe_of_krell	1
nag_anc_armour_armour_of_templehof	nag_skill_unique_mannfred_armour_of_templehof	1
nag_anc_weapon_sword_of_unholy_power	nag_skill_unique_mannfred_sword_of_unholy_power	1
nag_anc_weapon_the_tomb_blade_of_arkhan	nag_skill_unique_arkhan_the_tomb_blade_of_arkhan	1
nag_anc_arcane_item_staff_of_nagash	nag_skill_unique_arkhan_staff_of_nagash	1
nag_anc_enchanted_item_slann_gold	nag_skill_unique_luthor_slann_gold	1
nag_anc_talisman_the_carstein_ring	nag_skill_unique_vlad_the_carstein_ring	1
nag_anc_weapon_blood_drinker	nag_skill_unique_vlad_blood_drinker	1
nag_anc_enchanted_item_blood_chalice_of_bathori	nag_skill_unique_isabella_blood_chalice_of_bathori	1
nag_anc_mount_isabella_barded_nightmare	nag_skill_mount_isabella_barded_nightmare	1
nag_anc_mount_isabella_hellsteed	nag_skill_mount_isabella_hellsteed	1
nag_anc_weapon_chaos_tomb_blade	nag_skill_unique_krell_chaos_tomb_blade	1
nag_anc_mount_tomb_king_skeletal_steed	nag_lord_unique_tomb_king_skeletal_steed	1
nag_anc_mount_tomb_king_skeleton_chariot	nag_lord_unique_tomb_king_skeleton_chariot	1
nag_anc_mount_tomb_king_khemrian_warsphinx	nag_lord_unique_tomb_king_khemrian_warsphinx	1
nag_anc_mount_tomb_prince_skeletal_steed	nag_champion_unique_tomb_prince_skeletal_steed	1
nag_anc_mount_tomb_prince_skeleton_chariot	nag_champion_unique_tomb_prince_skeleton_chariot	1
nag_anc_mount_liche_priest_death_skeletal_steed	nag_wizard_unique_liche_priest_death_skeletal_steed	1
nag_anc_mount_liche_priest_light_skeletal_steed	nag_wizard_unique_liche_priest_light_skeletal_steed	1
nag_anc_mount_liche_priest_nehekhara_skeletal_steed	nag_wizard_unique_liche_priest_nehekhara_skeletal_steed	1
nag_anc_mount_liche_priest_shadow_skeletal_steed	nag_wizard_unique_liche_priest_shadow_skeletal_steed	1
nag_anc_mount_liche_priest_undeath_skeletal_steed	nag_wizard_unique_liche_priest_undeath_skeletal_steed	1
nag_anc_mount_vmp_vampire_shadow_barded_nightmare	nag_dignitary_shadow_unique_vampire_barded_nightmare	1
nag_anc_mount_vmp_vampire_shadow_hellsteed	nag_dignitary_shadow_unique_vampire_hellsteed	1
nag_anc_mount_vmp_vampire_barded_nightmare	nag_dignitary_unique_vampire_barded_nightmare	1
nag_anc_mount_vmp_vampire_hellsteed	nag_dignitary_unique_vampire_hellsteed	1
nag_anc_mount_vmp_wight_king_barded_skeletal_steed	nag_vmp_champion_unique_wight_king_skeletal_steed	1
nag_anc_mount_vmp_wight_king_skeletal_steed	nag_vmp_champion_unique_wight_king_barded_skeletal_steed	1
nag_anc_mount_cst_gunnery_wight_rotting_promethean	nag_cst_engineer_unique_gunnery_wight_rotting_pro	1
