ancillary	required_skill	required_skill_level
#ancillaries_required_skills_tables;0;db/ancillaries_required_skills_tables/rhox_nagash		
nag_anc_mount_mannfred_barded_nightmare	nag_skill_mount_mannfred_barded_nightmare	1
nag_anc_mount_mannfred_abyssal	nag_skill_mount_mannfred_abyssal	1
nag_anc_mount_luthor_harkon_terrorgheist	nag_skill_mount_luthor_harkon_terrorgheist	1
nag_anc_mount_arkhan_skeletal_steed	nag_skill_mount_arkhan_skeletal_steed	1
nag_anc_mount_arkhan_skeleton_chariot	nag_skill_mount_arkhan_skeleton_chariot	1
nag_anc_mount_arkhan_abyssal	nag_skill_mount_arkhan_abyssal	1
nag_anc_mount_neferata_warhorse	nag_skill_mount_neferata_warhorse	1
nag_anc_mount_neferata_hellsteed	nag_skill_mount_neferata_hellsteed	1
nag_anc_mount_neferata_abyssal	nag_skill_mount_neferata_abyssal	1
nag_anc_follower_books_of_nagash_book_one	nag_skill_unique_nagash_book_one	1
nag_anc_follower_books_of_nagash_book_two	nag_skill_unique_nagash_book_two	1
nag_anc_follower_books_of_nagash_book_three	nag_skill_unique_nagash_book_three	1
nag_anc_follower_books_of_nagash_book_four	nag_skill_unique_nagash_book_four	1
nag_anc_follower_books_of_nagash_book_five	nag_skill_unique_nagash_book_five	1
nag_anc_follower_books_of_nagash_book_six	nag_skill_unique_nagash_book_six	1
nag_anc_follower_books_of_nagash_book_seven	nag_skill_unique_nagash_book_seven	1
nag_anc_follower_books_of_nagash_book_eight	nag_skill_unique_nagash_book_eight	1
nag_anc_follower_books_of_nagash_book_nine	nag_skill_unique_nagash_book_nine	1
nag_anc_husk_talisman_books_of_nagash_book_two	nag_skill_unique_nagash_husk_book_two	1
nag_anc_husk_talisman_books_of_nagash_book_three	nag_skill_unique_nagash_husk_book_three	1
nag_anc_husk_talisman_books_of_nagash_book_eight	nag_skill_unique_nagash_husk_book_eight	1
nag_anc_mount_isabella_barded_nightmare	nag_skill_mount_isabella_barded_nightmare	1
nag_anc_mount_isabella_hellsteed	nag_skill_mount_isabella_hellsteed	1
nag_anc_mount_tomb_king_skeletal_steed	nag_lord_unique_tomb_king_skeletal_steed	1
nag_anc_mount_tomb_king_skeleton_chariot	nag_lord_unique_tomb_king_skeleton_chariot	1
nag_anc_mount_tomb_king_khemrian_warsphinx	nag_lord_unique_tomb_king_khemrian_warsphinx	1
nag_anc_mount_tomb_prince_skeletal_steed	nag_champion_unique_tomb_prince_skeletal_steed	1
nag_anc_mount_tomb_prince_skeleton_chariot	nag_champion_unique_tomb_prince_skeleton_chariot	1
nag_anc_mount_liche_priest_death_skeletal_steed	nag_wizard_unique_liche_priest_death_skeletal_steed	1
nag_anc_mount_liche_priest_light_skeletal_steed	nag_wizard_unique_liche_priest_light_skeletal_steed	1
nag_anc_mount_liche_priest_nehekhara_skeletal_steed	nag_wizard_unique_liche_priest_nehekhara_skeletal_steed	1
nag_anc_mount_liche_priest_shadow_skeletal_steed	nag_wizard_unique_liche_priest_shadow_skeletal_steed	1
nag_anc_mount_liche_priest_undeath_skeletal_steed	nag_wizard_unique_liche_priest_undeath_skeletal_steed	1
nag_anc_mount_vmp_vampire_shadow_barded_nightmare	nag_dignitary_shadow_unique_vampire_barded_nightmare	1
nag_anc_mount_vmp_vampire_shadow_hellsteed	nag_dignitary_shadow_unique_vampire_hellsteed	1
nag_anc_mount_vmp_vampire_barded_nightmare	nag_dignitary_unique_vampire_barded_nightmare	1
nag_anc_mount_vmp_vampire_hellsteed	nag_dignitary_unique_vampire_hellsteed	1
nag_anc_mount_vmp_wight_king_barded_skeletal_steed	nag_vmp_champion_unique_wight_king_skeletal_steed	1
nag_anc_mount_vmp_wight_king_skeletal_steed	nag_vmp_champion_unique_wight_king_barded_skeletal_steed	1
nag_anc_mount_cst_gunnery_wight_rotting_promethean	nag_cst_engineer_unique_gunnery_wight_rotting_pro	1
nag_anc_mount_vmp_vampire_lord_barded_nightmare	nag_lord_unique_vampire_lord_barded_nightmare	1
nag_anc_mount_vmp_vampire_lord_hellsteed	nag_lord_unique_vampire_lord_hellsteed	1
nag_anc_mount_vmp_vampire_lord_zombie_dragon	nag_lord_unique_vampire_lord_zombie_dragon	1
nag_anc_mount_vmp_master_necromancer_corpse_cart	nag_lord_unique_master_necromancer_corpse_cart	1
nag_anc_mount_vmp_master_necromancer_corpse_cart_balefire	nag_lord_unique_master_necromancer_corpse_cart_balefire	1
nag_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone	nag_lord_unique_master_necromancer_corpse_cart_unholy_lodestone	1
nag_anc_mount_vmp_master_necromancer_barded_nightmare	nag_lord_unique_vmp_master_necromancer_barded_nightmare	1
nag_anc_mount_vmp_master_necromancer_hellsteed	nag_lord_unique_vmp_master_necromancer_hellsteed	1
