ancillary	agent
#ancillary_to_included_agents_tables;0;db/ancillary_to_included_agents_tables/nagash	
nag_anc_mount_mannfred_abyssal	general
nag_anc_mount_arkhan_abyssal	general
nag_anc_mount_neferata_abyssal	general
nag_anc_mount_mannfred_barded_nightmare	general
nag_anc_mount_neferata_warhorse	general
nag_anc_mount_luthor_harkon_terrorgheist	general
nag_anc_mount_arkhan_skeletal_steed	general
nag_anc_mount_arkhan_skeleton_chariot	general
nag_anc_mount_isabella_barded_nightmare	dignitary
nag_anc_mount_isabella_hellsteed	dignitary
