key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;16;db/unit_abilities_tables/nagash_spells											
wh_main_lore_nagash_raise_the_dead	true	wh_main_lore_nagash_raise_the_dead		wh_type_area_of_regeneration		wh_main_anc_group_common	true	false	lore		false
wh_main_spell_nagash_dark_riders	true	nagash_dark_riders	wh_main_spell_nagash_dark_riders_upgraded	wh_type_augment	spell_previews/vampire/wh_main_spell_vampires_raise_dead	wh_main_anc_group_uncommon	true	false	spell		false
wh_main_spell_nagash_dark_riders_upgraded	true	nagash_dark_riders		wh_type_augment	spell_previews/vampire/wh_main_spell_vampires_raise_dead	wh_main_anc_group_uncommon	true	false	spell		false
wh_main_spell_nagash_hand_of_dust	true	nagash_hand_of_dust		wh_type_magic_missile	spell_previews/dark/wh2_main_spell_dark_magic_doombolt	wh_main_anc_group_rare	true	false	spell		false
wh_main_spell_nagash_breath_of_darkness	true	nagash_breath_of_darkness	wh_main_spell_nagash_breath_of_darkness_upgraded	wh_type_regeneration	spell_previews/vampire/wh_main_spell_vampires_invocation_of_nehek	wh_main_anc_group_common	true	false	spell		false
wh_main_spell_nagash_breath_of_darkness_upgraded	true	nagash_breath_of_darkness		wh_type_area_of_regeneration	spell_previews/vampire/wh_main_spell_vampires_invocation_of_nehek	wh_main_anc_group_common	true	false	spell		false
wh_main_spell_nagash_harbinger	true	nagash_harbinger	wh_main_spell_nagash_harbinger_upgraded	wh_type_augment		wh_main_anc_group_unique	true	false	lord		false
wh_main_spell_nagash_grave_call_hidden_dummy	false	nagash_grave_call		wh_type_augment	spell_previews/vampire/wh_main_spell_vampires_raise_dead	wh_main_anc_group_uncommon	false	true	spell		false
wh_main_spell_nagash_grave_call_secondary_hidden_01	false	nagash_grave_call		wh_type_augment	spell_previews/vampire/wh_main_spell_vampires_raise_dead	wh_main_anc_group_uncommon	false	true	spell		false
wh_main_spell_nagash_grave_call_secondary_hidden_02	false	nagash_grave_call		wh_type_augment	spell_previews/vampire/wh_main_spell_vampires_raise_dead	wh_main_anc_group_uncommon	false	true	spell		false
wh_main_spell_nagash_soul_stealer	true	nagash_soul_stealer		wh_type_regeneration	spell_previews/vampire/wh_main_spell_vampires_invocation_of_nehek	wh_main_anc_group_common	true	false	spell		false
wh_main_spell_nagash_become_construct	false	wh_magic_item_passive_armour		wh_type_ward_save		wh_main_anc_group_unique	true	true	item		false
wh_main_spell_nagash_grave_call_master	true	nagash_grave_call	wh_main_spell_nagash_grave_call_master_upgraded	wh_type_augment	spell_previews/vampire/wh_dlc04_spell_vampire_command_of_the_unliving	wh_main_anc_group_uncommon	true	false	spell		false
wh_main_spell_nagash_grave_call_master_upgraded	true	nagash_grave_call		wh_type_augment	spell_previews/vampire/wh_dlc04_spell_vampire_command_of_the_unliving	wh_main_anc_group_uncommon	true	false	spell		false
wh_main_spell_nagash_abyssal_swarm	true	nagash_abyssal_swarm	wh_main_spell_nagash_abyssal_swarm_upgrade	wh_type_wind	spell_previews/metal/wh_main_spell_metal_gehennas_golden_hounds	wh_main_anc_group_rare	true	false	spell		false
wh_main_spell_nagash_abyssal_swarm_upgrade	true	nagash_abyssal_swarm		wh_type_wind	spell_previews/high/wh2_main_spell_high_magic_tempest	wh_main_anc_group_rare	true	false	spell		false
wh_main_spell_nagash_harbinger_upgraded	true	nagash_harbinger		wh_type_augment		wh_main_anc_group_unique	true	false	lord		false
wh_main_spell_nagash_floating_vandus_catus	false	wh2_dlc11_lord_passive_magical_void		wh_type_hex		wh_main_anc_group_uncommon	false	false	lord		false
