key	armour_value	audio_type
#unit_armour_types_tables;6;db/unit_armour_types_tables/rhox_nagash		
plate_0	0	plate
plate_5	5	plate
plate_10	10	plate
plate_15	15	plate
plate_20	20	plate
plate_25	25	plate
plate_30	30	plate
plate_35	35	plate
plate_40	40	plate
plate_45	45	plate
plate_50	50	plate
plate_55	55	plate
plate_60	60	plate
plate_65	65	plate
plate_70	70	plate
plate_75	75	plate
plate_80	80	plate
plate_85	85	plate
plate_90	90	plate
plate_95	95	plate
plate_100	100	plate
plate_105	105	plate
plate_110	110	plate
plate_115	115	plate
plate_120	120	plate
plate_125	125	plate
plate_130	130	plate
plate_135	135	plate
plate_140	140	plate
plate_145	145	plate
plate_150	150	plate
mail_0	0	chainmail
mail_5	5	chainmail
mail_10	10	chainmail
mail_15	15	chainmail
mail_20	20	chainmail
mail_25	25	chainmail
mail_30	30	chainmail
mail_35	35	chainmail
mail_40	40	chainmail
mail_45	45	chainmail
mail_50	50	chainmail
mail_55	55	chainmail
mail_60	60	chainmail
mail_65	65	chainmail
mail_70	70	chainmail
mail_75	75	chainmail
mail_80	80	chainmail
mail_85	85	chainmail
mail_90	90	chainmail
mail_95	95	chainmail
mail_100	100	chainmail
mail_105	105	chainmail
mail_110	110	chainmail
mail_115	115	chainmail
mail_120	120	chainmail
mail_125	125	chainmail
mail_130	130	chainmail
mail_135	135	chainmail
mail_140	140	chainmail
mail_145	145	chainmail
mail_150	150	chainmail
leather_0	0	leather
leather_5	5	leather
leather_10	10	leather
leather_15	15	leather
leather_20	20	leather
leather_25	25	leather
leather_30	30	leather
leather_35	35	leather
leather_40	40	leather
leather_45	45	leather
leather_50	50	leather
leather_55	55	leather
leather_60	60	leather
leather_65	65	leather
leather_70	70	leather
leather_75	75	leather
leather_80	80	leather
leather_85	85	leather
leather_90	90	leather
leather_95	95	leather
leather_100	100	leather
leather_105	105	leather
leather_110	110	leather
leather_115	115	leather
leather_120	120	leather
leather_125	125	leather
leather_130	130	leather
leather_135	135	leather
leather_140	140	leather
leather_145	145	leather
leather_150	150	leather
bone_0	0	bone
bone_5	5	bone
bone_10	10	bone
bone_15	15	bone
bone_20	20	bone
bone_25	25	bone
bone_30	30	bone
bone_35	35	bone
bone_40	40	bone
bone_45	45	bone
bone_50	50	bone
bone_55	55	bone
bone_60	60	bone
bone_65	65	bone
bone_70	70	bone
bone_75	75	bone
bone_80	80	bone
bone_85	85	bone
bone_90	90	bone
bone_95	95	bone
bone_100	100	bone
bone_105	105	bone
bone_110	110	bone
bone_115	115	bone
bone_120	120	bone
bone_125	125	bone
bone_130	130	bone
bone_135	135	bone
bone_140	140	bone
bone_145	145	bone
bone_150	150	bone
body_0	0	body
body_5	5	body
body_10	10	body
body_15	15	body
body_20	20	body
body_25	25	body
body_30	30	body
body_35	35	body
body_40	40	body
body_45	45	body
body_50	50	body
body_55	55	body
body_60	60	body
body_65	65	body
body_70	70	body
body_75	75	body
body_80	80	body
body_85	85	body
body_90	90	body
body_95	95	body
body_100	100	body
body_105	105	body
body_110	110	body
body_115	115	body
body_120	120	body
body_125	125	body
body_130	130	body
body_135	135	body
body_140	140	body
body_145	145	body
body_150	150	body
