event	group	target	flavour_text	image	secondary_detail	layout	layout_data	sound_event	context_located	override_icon	instant_open
#event_feed_message_events_tables;0;db/event_feed_message_events_tables/rhox_nagash											
faction_campaign_victory_objective_complete	nag_event_feed	event_feed_target_mission_faction	wh_event_feed_string_all_null	mixer_nag_nagash/Legions_of_Nagash_-_Short_Victory_1	wh_event_feed_string_faction_campaign_victory_objective_complete_description	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
allied_foreign_slot_added	nag_event_feed	event_feed_target_allied_faction	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_added_secondary_detail	faction	event_feed_layout_data_allied_foreign_slot_added	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
allied_foreign_slot_added	nag_event_feed	event_feed_target_faction	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_added_yours_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
allied_foreign_slot_invalidated_diplomacy_changed	nag_event_feed	event_feed_target_allied_faction	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_diplomacy_changed_secondary_detail	faction	event_feed_layout_data_allied_foreign_slot_added	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
allied_foreign_slot_invalidated_diplomacy_changed	nag_event_feed	event_feed_target_faction	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_diplomacy_changed_yours_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
allied_foreign_slot_invalidated_region_owner_changed	nag_event_feed	event_feed_target_allied_faction	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_region_owner_changed_secondary_detail	faction	event_feed_layout_data_allied_foreign_slot_added	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
allied_foreign_slot_invalidated_region_owner_changed	nag_event_feed	event_feed_target_faction	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_region_owner_changed_yours_secondary_detail	standard	event_feed_none	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
allied_foreign_slot_invalidated_region_owner_died	nag_event_feed	event_feed_target_allied_faction	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_allied_foreign_slot_invalidated_region_owner_died_secondary_detail	faction	event_feed_layout_data_allied_foreign_slot_added	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
army_loaning_time_expired	nag_event_feed	event_feed_target_agent_faction	wh_event_feed_string_all_null	mixer_nag_nagash/diplomacy	wh3_main_event_feed_string_army_loaning_time_expired_secondary_detail	hostile_action	event_feed_location_data_loaned_army_returned_after_alliance_broke	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
character_ancillary_gained	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/army_morale_up	wh_event_feed_string_character_ancillary_gained_secondary_detail	trait_ancillary_gained	event_feed_layout_data_ancillary_gained	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_character		false
character_ancillary_lost_stolen	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/army_morale_down	wh_event_feed_string_character_ancillary_lost_secondary_detail	trait_ancillary_gained	event_feed_layout_data_ancillary_gained	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_character		false
character_ancillary_lost	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/army_morale_down	wh_event_feed_string_character_ancillary_lost_secondary_detail	trait_ancillary_gained	event_feed_layout_data_ancillary_gained	UI_CAM_POPUP_Message_Event_Negative	event_feed_context_location_character		false
character_dies_battle	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/funeral	wh_event_feed_string_character_dies_battle_secondary_detail	hostile_action	event_feed_layout_data_character_dies_battle	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
character_dies_battle	nag_event_feed	event_feed_target_opponent	wh_event_feed_string_all_null	mixer_nag_nagash/funeral	wh_event_feed_string_character_dies_battle_secondary_detail_theirs	hostile_action	event_feed_layout_data_character_dies_battle	UI_CAM_POPUP_Message_Event_Positive	event_feed_none		false
character_dies_in_action	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/funeral	wh_event_feed_string_character_dies_action_description	hostile_action	event_feed_layout_data_character_dies_in_action	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
character_dies_suspicious	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/funeral	wh_event_feed_string_character_dies_hostile_secondary_detail	hostile_action	event_feed_layout_data_character_dies_in_action	UI_CAM_POPUP_Message_Event_Negative	event_feed_none		false
character_rank_gained	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/army_morale_up	wh_event_feed_string_character_rank_gained_secondary_detail	hostile_action	event_feed_layout_data_character_rank_gained	UI_CAM_POPUP_Message_Event_Positive	event_feed_context_location_character		false
character_ready_for_duty_starting_general	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/land_victory	wh_event_feed_string_character_ready_for_duty_starting_general_secondary_detail_male	hostile_action	event_feed_layout_data_character_ready_for_duty	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
character_ready_for_duty	nag_event_feed	event_feed_target_character_faction	wh_event_feed_string_all_null	mixer_nag_nagash/army_morale_up	wh_event_feed_string_character_ready_for_duty_secondary_detail_male	hostile_action	event_feed_layout_data_character_ready_for_duty	UI_CAM_POPUP_Message_Event_Neutral	event_feed_none		false
