agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/rhox_nagash	
nag_nagash_boss	nag_anc_armour_morikhane_the_black_armour
nag_nagash_boss	nag_anc_weapon_the_mortis_blade
nag_nagash_boss	nag_anc_talisman_books_of_nagash_book_one
nag_nagash_boss	nag_anc_talisman_books_of_nagash_book_two
nag_nagash_boss	nag_anc_talisman_books_of_nagash_book_three
nag_nagash_boss	nag_anc_talisman_books_of_nagash_book_four
nag_nagash_boss	nag_anc_talisman_books_of_nagash_book_five
nag_nagash_boss	nag_anc_talisman_books_of_nagash_book_six
nag_nagash_boss	nag_anc_talisman_books_of_nagash_book_seven
nag_nagash_boss	nag_anc_talisman_books_of_nagash_book_eight
nag_nagash_boss	nag_anc_talisman_books_of_nagash_book_nine
nag_nagash_boss	nag_anc_arcane_item_alakanash_staff_of_power
nag_nagash_boss	nag_anc_enchanted_item_crown_of_nagash
nag_nagash_husk	nag_anc_arcane_item_alakanash_staff_of_power
nag_nagash_husk	nag_anc_husk_talisman_books_of_nagash_book_two
nag_nagash_husk	nag_anc_husk_talisman_books_of_nagash_book_three
nag_nagash_husk	nag_anc_husk_talisman_books_of_nagash_book_eight
nag_mortarch_mannfred	nag_anc_armour_armour_of_templehof
nag_mortarch_mannfred	nag_anc_weapon_sword_of_unholy_power
nag_mortarch_mannfred	nag_anc_mount_mannfred_barded_nightmare
nag_mortarch_mannfred	nag_anc_mount_mannfred_abyssal
nag_mortarch_vlad	nag_anc_talisman_the_carstein_ring
nag_mortarch_vlad	nag_anc_weapon_blood_drinker
nag_mortarch_isabella	nag_anc_enchanted_item_blood_chalice_of_bathori
nag_mortarch_isabella	nag_anc_mount_isabella_barded_nightmare
nag_mortarch_isabella	nag_anc_mount_isabella_hellsteed
nag_mortarch_luthor	nag_anc_enchanted_item_slann_gold
nag_mortarch_luthor	nag_anc_mount_luthor_harkon_terrorgheist
nag_mortarch_arkhan	nag_anc_mount_arkhan_skeletal_steed
nag_mortarch_arkhan	nag_anc_mount_arkhan_skeleton_chariot
nag_mortarch_arkhan	nag_anc_arcane_item_staff_of_nagash
nag_mortarch_arkhan	nag_anc_weapon_the_tomb_blade_of_arkhan
nag_mortarch_arkhan	nag_anc_mount_arkhan_abyssal
nag_mortarch_neferata	nag_anc_mount_neferata_warhorse
nag_mortarch_neferata	nag_anc_mount_neferata_abyssal
nag_mortarch_neferata	nag_anc_weapon_dagger_of_jet
nag_mortarch_neferata	nag_anc_arcane_item_staff_of_pain
nag_mortarch_krell	nag_anc_weapon_chaos_tomb_blade
nag_mortarch_krell	nag_anc_armour_armour_of_the_barrows
nag_mortarch_krell	nag_anc_weapon_black_axe_of_krell
nag_traitor_king	nag_anc_mount_tomb_king_khemrian_warsphinx
nag_traitor_king	nag_anc_mount_tomb_king_skeletal_steed
nag_traitor_king	nag_anc_mount_tomb_king_skeleton_chariot
nag_tomb_prince	nag_anc_mount_tomb_prince_skeletal_steed
nag_tomb_prince	nag_anc_mount_tomb_prince_skeleton_chariot
nag_liche_priest_death	nag_anc_mount_liche_priest_death_skeletal_steed
nag_liche_priest_light	nag_anc_mount_liche_priest_light_skeletal_steed
nag_liche_priest_nehekhara	nag_anc_mount_liche_priest_nehekhara_skeletal_steed
nag_liche_priest_shadow	nag_anc_mount_liche_priest_shadow_skeletal_steed
nag_liche_priest_undeath	nag_anc_mount_liche_priest_undeath_skeletal_steed
nag_vampire_shadow	nag_anc_mount_vmp_vampire_shadow_barded_nightmare
nag_vampire_shadow	nag_anc_mount_vmp_vampire_shadow_hellsteed
nag_vampire	nag_anc_mount_vmp_vampire_barded_nightmare
nag_vampire	nag_anc_mount_vmp_vampire_hellsteed
nag_wight_king	nag_anc_mount_vmp_wight_king_barded_skeletal_steed
nag_wight_king	nag_anc_mount_vmp_wight_king_skeletal_steed
nag_gunnery_wight	nag_anc_mount_cst_gunnery_wight_rotting_promethean
nag_mortarch_dieter	mixu_vmp_dieter_helsnicht_mount_barded_nightmare
nag_mortarch_dieter	mixu_vmp_dieter_helsnicht_mount_manticore
nag_mortarch_dieter	mixu_vmp_dieter_helsnicht_arcane_item_staff_of_flaming_death
nag_mortarch_dieter	mixu_vmp_dieter_helsnicht_weapon_chaos_runesword
nag_mortarch_azhag	nag_anc_armour_azhags_ard_armour
nag_mortarch_azhag	nag_anc_enchanted_item_the_crown_of_sorcery
nag_mortarch_azhag	nag_anc_weapon_slaggas_slashas
nag_mortarch_azhag	wh_main_anc_mount_grn_azhag_skullmuncha
nag_lahmia_neferata	nag_anc_mount_neferata_warhorse
nag_lahmia_neferata	nag_anc_weapon_dagger_of_jet
nag_lahmia_neferata	nag_anc_arcane_item_staff_of_pain
nag_vampire_lord	nag_anc_mount_vmp_vampire_lord_barded_nightmare
nag_vampire_lord	nag_anc_mount_vmp_vampire_lord_hellsteed
nag_vampire_lord	nag_anc_mount_vmp_vampire_lord_zombie_dragon
nag_master_necromancer	nag_anc_mount_vmp_master_necromancer_barded_nightmare
nag_master_necromancer	nag_anc_mount_vmp_master_necromancer_hellsteed
nag_master_necromancer	nag_anc_mount_vmp_master_necromancer_corpse_cart
nag_master_necromancer	nag_anc_mount_vmp_master_necromancer_corpse_cart_balefire
nag_master_necromancer	nag_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone
