ancillaries_included_agent_subtypes_tables	0
agent_subtype	ancillary
nag_nagash_boss	nag_anc_armour_morikhane_the_black_armour
nag_nagash_boss	nag_anc_weapon_the_mortis_balde
nag_nagash_boss	nag_anc_talisman_nine_books_of_nagash
nag_nagash_boss	nag_anc_arcane_item_alakanash_staff_of_power
nag_nagash_boss	nag_anc_enchanted_item_crown_of_nagash
nag_nagash_husk	nag_anc_arcane_item_alakanash_staff_of_power
nag_mortarch_mannfred	nag_anc_armour_armour_of_templehof
nag_mortarch_mannfred	nag_anc_weapon_sword_of_unholy_power
nag_mortarch_mannfred	nag_anc_mount_mannfred_barded_nightmare
nag_mortarch_mannfred	nag_anc_mount_mannfred_abyssal
nag_mortarch_vlad	nag_anc_talisman_the_carstein_ring
nag_mortarch_vlad	nag_anc_weapon_blood_drinker
nag_isabella	nag_anc_enchanted_item_blood_chalice_of_bathori
nag_isabella	wh_pro02_anc_mount_vmp_isabella_barded_nightmare
nag_isabella	wh_pro02_anc_mount_vmp_isabella_hellsteed
nag_mortarch_luthor	nag_anc_enchanted_item_slann_gold
nag_mortarch_luthor	nag_anc_mount_luthor_harkon_terrorgheist
nag_mortarch_arkhan	nag_anc_mount_arkhan_skeletal_steed
nag_mortarch_arkhan	nag_anc_mount_arkhan_skeleton_chariot
nag_mortarch_arkhan	nag_anc_arcane_item_staff_of_nagash
nag_mortarch_arkhan	nag_anc_weapon_the_tomb_blade_of_arkhan
nag_mortarch_arkhan	nag_anc_mount_arkhan_abyssal
nag_mortarch_neferata	nag_anc_mount_neferata_abyssal
nag_mortarch_neferata	nag_anc_weapon_dagger_of_jet
nag_mortarch_neferata	nag_anc_arcane_item_staff_of_pain
nag_mortarch_krell	nag_anc_weapon_chaos_tomb_blade
nag_mortarch_krell	nag_anc_armour_armour_of_the_barrows
nag_mortarch_krell	nag_anc_weapon_black_axe_of_krell
nag_traitor_king	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
nag_traitor_king	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
nag_traitor_king	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
nag_tomb_prince	wh2_dlc09_anc_mount_tmb_tomb_prince_skeletal_steed
nag_tomb_prince	wh2_dlc09_anc_mount_tmb_tomb_prince_skeleton_chariot
nag_liche_priest_death	wh2_dlc09_anc_mount_tmb_liche_priest_death_skeletal_steed
nag_liche_priest_light	wh2_dlc09_anc_mount_tmb_liche_priest_light_skeletal_steed
nag_liche_priest_nehekhara	wh2_dlc09_anc_mount_tmb_liche_priest_nehekhara_skeletal_steed
nag_liche_priest_shadow	wh2_dlc09_anc_mount_tmb_liche_priest_shadow_skeletal_steed
nag_vampire	wh_main_anc_mount_vmp_vampire_barded_nightmare
nag_vampire	wh_main_anc_mount_vmp_vampire_hellsteed
nag_wight_king	wh_main_anc_mount_vmp_wight_king_barded_skeletal_steed
nag_wight_king	wh_main_anc_mount_vmp_wight_king_skeletal_steed
nag_gunnery_wight	wh2_dlc11_anc_mount_cst_gunnery_wight_rotting_promethean
