key	group	initial_unit_count	pool	faction_requirement	subculture_requirement	tech_requirement
#mercenary_pool_to_groups_junctions_tables;1;db/mercenary_pool_to_groups_junctions_tables/rhox_nagash						
365884116	nag_thrall_handgunners	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884117	nag_thrall_crossbowmen	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884118	nag_blood_beasts	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884119	nag_doomed_legion	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884120	nag_bone_colossus	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884121	nag_virion_plaguecart	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884122	nag_revenants	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884123	nag_shade_haunts	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884124	burning_dead_ror	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884127	nag_vanilla_vmp_inf_skeleton_warriors_0	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884128	nag_vanilla_vmp_inf_crypt_ghouls	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884129	nag_vanilla_vmp_inf_skeleton_warriors_1	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884130	nag_vanilla_vmp_inf_zombie	2	wh_main_vmp_province_pool		mixer_nag_nagash	
365884131	nag_vanilla_vmp_mon_dire_wolves	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884132	nag_vanilla_vmp_cav_black_knights_0	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884133	nag_vanilla_vmp_cav_black_knights_3	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884134	nag_vanilla_vmp_cav_hexwraiths	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884135	nag_vanilla_vmp_inf_cairn_wraiths	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884136	nag_vanilla_vmp_inf_grave_guard_0	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884137	nag_vanilla_vmp_inf_grave_guard_1	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884138	nag_vanilla_vmp_mon_crypt_horrors	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884139	nag_vanilla_vmp_mon_vargheists	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884140	nag_vanilla_vmp_mon_varghulf	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884141	nag_vanilla_vmp_inf_crypt_ghouls	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884145	nag_vanilla_vmp_mon_fell_bats	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884146	nag_vanilla_vmp_cav_blood_knights_0	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884147	nag_vanilla_vmp_veh_corpse_cart_1	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884148	nag_vanilla_vmp_veh_corpse_cart_2	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884150	nag_vanilla_cst_inf_zombie_gunnery_mob_0	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884151	nag_vanilla_cst_inf_zombie_gunnery_mob_1	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884152	nag_vanilla_cst_inf_zombie_deckhands_mob_1	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884153	nag_vanilla_cst_inf_zombie_deckhands_mob_0	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884154	nag_vanilla_cst_mon_bloated_corpse_0	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884155	nag_vanilla_tmb_inf_skeleton_archers_0	1	wh_main_vmp_province_pool		mixer_nag_nagash	
365884156	nag_vanilla_tmb_inf_skeleton_spearmen_0	1	wh_main_vmp_province_pool		mixer_nag_nagash	
365884157	nag_vanilla_tmb_inf_skeleton_warriors_0	1	wh_main_vmp_province_pool		mixer_nag_nagash	
365884158	nag_vanilla_tmb_inf_nehekhara_warriors_0	0	wh_main_vmp_province_pool		mixer_nag_nagash	
365884159	rhox_nagash_lahmia_emp_art_helstorm_rocket_battery	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884160	rhox_nagash_lahmia_emp_art_helblaster_volley_gun	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884161	rhox_nagash_lahmia_brt_cav_questing_knights_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884162	rhox_nagash_lahmia_brt_cav_knights_of_the_realm	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884163	rhox_nagash_lahmia_cth_inf_dragon_guard_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884164	rhox_nagash_lahmia_cth_inf_dragon_guard_crossbowmen_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884165	rhox_nagash_lahmia_ksl_veh_heavy_war_sled_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884166	rhox_nagash_lahmia_ksl_cav_war_bear_riders_1	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884167	rhox_nagash_lahmia_nor_mon_war_mammoth_1	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884168	rhox_nagash_lahmia_nor_inf_marauder_berserkers_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884169	rhox_nagash_lahmia_hef_inf_swordmasters_of_hoeth_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884170	rhox_nagash_lahmia_hef_inf_white_lions_of_chrace_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884171	rhox_nagash_lahmia_def_inf_shades_2	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884172	rhox_nagash_lahmia_def_cav_cold_one_knights_1	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884173	rhox_nagash_lahmia_wef_inf_waywatchers_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884174	rhox_nagash_lahmia_wef_inf_wardancers_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884175	rhox_nagash_lahmia_dwf_inf_dwarf_warrior_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884176	rhox_nagash_lahmia_dwf_art_flame_cannon	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884177	rhox_nagash_lahmia_chd_inf_chaos_dwarf_blunderbusses	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884178	rhox_nagash_lahmia_chd_veh_dreadquake_mortar	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884179	rhox_nagash_lahmia_ogr_cav_crushers_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884180	rhox_nagash_lahmia_ogr_inf_ironguts_0	0	rhox_nagash_lahmia_levy	wh3_main_vmp_lahmian_sisterhood		
365884181	nag_throne_guard	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884182	nag_doom_knights	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
365884183	nag_druthor	0	wh2_dlc09_tmb_units_of_renown_pool	mixer_nag_nagash		
