key	group	initial_unit_count	pool	faction_requirement	subculture_requirement	tech_requirement
#mercenary_pool_to_groups_junctions_tables;1;db/mercenary_pool_to_groups_junctions_tables/nagash						
365884120	nag_bone_colossus	0	wh2_dlc09_tmb_units_of_renown_pool	nag_nagash		
365884121	nag_virion_plaguecart	0	wh2_dlc09_tmb_units_of_renown_pool	nag_nagash		
365884122	nag_revenants	0	wh2_dlc09_tmb_units_of_renown_pool	nag_nagash		
365884123	nag_shade_haunts	0	wh2_dlc09_tmb_units_of_renown_pool	nag_nagash		
365884124	nag_vanilla_vmp_inf_skeleton_warriors_0	1	wh_main_vmp_province_pool		nag_nagash	
365884125	nag_vanilla_vmp_inf_skeleton_warriors_1	1	wh_main_vmp_province_pool		nag_nagash	
365884126	nag_vanilla_vmp_inf_zombie	2	wh_main_vmp_province_pool		nag_nagash	
365884127	nag_vanilla_vmp_inf_skeleton_warriors_0	1	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884128	nag_vanilla_vmp_inf_crypt_ghouls	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884129	nag_vanilla_vmp_inf_skeleton_warriors_1	1	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884130	nag_vanilla_vmp_inf_zombie	2	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884131	nag_vanilla_vmp_mon_dire_wolves	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884132	nag_vanilla_vmp_cav_black_knights_0	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884133	nag_vanilla_vmp_cav_black_knights_3	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884134	nag_vanilla_vmp_cav_hexwraiths	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884135	nag_vanilla_vmp_inf_cairn_wraiths	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884136	nag_vanilla_vmp_inf_grave_guard_0	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884137	nag_vanilla_vmp_inf_grave_guard_1	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884138	nag_vanilla_vmp_mon_crypt_horrors	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884139	nag_vanilla_vmp_mon_vargheists	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884140	nag_vanilla_vmp_mon_varghulf	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884141	nag_vanilla_vmp_inf_crypt_ghouls	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884142	nag_vanilla_vmp_inf_skeleton_warriors_0	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884143	nag_vanilla_vmp_inf_skeleton_warriors_1	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884144	nag_vanilla_vmp_mon_dire_wolves	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884145	nag_vanilla_vmp_mon_fell_bats	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884146	nag_vanilla_vmp_cav_blood_knights_0	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884147	nag_vanilla_vmp_veh_corpse_cart_1	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
365884148	nag_vanilla_vmp_veh_corpse_cart_2	0	wh_main_vmp_vampire_merc_pool		nag_nagash	
