key	building_level	position_index	icon_name	mp_available_early	mp_available_late	info_pic	unique_index	is_civil	is_engineering	is_military
#technologies_tables;6;db/technologies_tables/rhox_nagash										
nag_location_nagashizzar	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766531	false	false	true
nag_location_mourkain	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766532	false	false	true
nag_location_lahmia	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766533	false	false	true
nag_location_khemri	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766534	false	false	true
nag_location_awakening	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766535	false	false	true
nag_location_drakenhof	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766536	false	false	true
nag_location_quintex	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766537	false	false	true
nag_nagash_ultimate_preprartion	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766593	false	false	true
nag_nagash_ultimate	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766538	false	false	true
nag_mortarch_arkhan_unlock	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766539	false	false	true
nag_arkhan_archai	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766540	false	false	true
nag_arkhan_proclamation	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766541	false	false	true
nag_mortarch_arkhan_event_1	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766542	false	false	true
nag_mortarch_arkhan_event_2	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766543	false	false	true
nag_mortarch_arkhan_event_3	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766544	false	false	true
nag_arkhan_battle_1	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766545	false	false	true
nag_arkhan_battle_2	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766546	false	false	true
nag_arkhan_battle_3	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766547	false	false	true
nag_mortarch_luthor_unlock	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766548	false	false	true
nag_luthor_archai	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766549	false	false	true
nag_luthor_proclamation	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766550	false	false	true
nag_mortarch_luthor_event_1	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766551	false	false	true
nag_mortarch_luthor_event_2	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766552	false	false	true
nag_mortarch_luthor_event_3	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766553	false	false	true
nag_luthor_battle_1	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766554	false	false	true
nag_luthor_battle_2	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766555	false	false	true
nag_luthor_battle_3	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766556	false	false	true
nag_mortarch_mannfred_unlock	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766557	false	false	true
nag_mannfred_archai	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766558	false	false	true
nag_mannfred_proclamation	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766559	false	false	true
nag_mortarch_mannfred_event_1	wh_main_chs_port_ruin	1	wh_main_chs_skulls_for_the_skull_throne	false	false	"placeholder.tga"	1486766560	false	false	true
