battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index
#land_units_to_battle_personalities_junctions_tables;1;db/land_units_to_battle_personalities_junctions_tables/rhox_nagash				
nag_mortis_engine_banshee1	nag_mortis_engine	autonomous_rider	ap_banshee_0	-1
nag_mortis_engine_banshee2	nag_mortis_engine	autonomous_rider	ap_banshee_1	-1
nag_mortis_engine_banshee3	nag_mortis_engine	autonomous_rider	ap_banshee_2	-1
nag_mortis_engine_cairn_wraith1	nag_mortis_engine	autonomous_rider	ap_cairn_wraith_0	-1
nag_mortis_engine_cairn_wraith2	nag_mortis_engine	autonomous_rider	ap_cairn_wraith_1	-1
nag_mortis_engine_horse1	nag_mortis_engine	autonomous_rider	ap_draughtposition_0	-1
nag_mortis_engine_horse2	nag_mortis_engine	autonomous_rider	ap_draughtposition_1	-1
nag_mortis_engine_horse3	nag_mortis_engine	autonomous_rider	ap_draughtposition_2	-1
nag_mortis_engine_knight01	nag_mortis_engine	autonomous_rider	ap_riderposition_0	-1
nag_mortis_engine_knight02	nag_mortis_engine	autonomous_rider	ap_riderposition_1	-1
nag_mortis_engine_knight03	nag_mortis_engine	autonomous_rider	ap_riderposition_2	-1
nag_mortis_engine_rider1	nag_mortis_engine	autonomous_rider	ap_crewposition_0	-1
nag_mortis_engine_skeleton1	nag_mortis_engine	autonomous_rider	ap_skeleton_0	-1
nag_mortis_engine_skeleton2	nag_mortis_engine	autonomous_rider	ap_skeleton_1	-1
nag_mortis_engine_skeleton3	nag_mortis_engine	autonomous_rider	ap_skeleton_2	-1
nag_mortis_engine_skeleton4	nag_mortis_engine	autonomous_rider	ap_skeleton_3	-1
nag_mortis_engine_skeleton5	nag_mortis_engine	autonomous_rider	ap_skeleton_4	-1
nag_mortis_engine_skeleton6	nag_mortis_engine	autonomous_rider	ap_skeleton_5	-1
nag_spirit_host_crew_banshee1	nag_spirit_hosts	autonomous_rider		-1
nag_spirit_host_crew_banshee2	nag_spirit_hosts	autonomous_rider		-1
nag_spirit_host_crew_banshee3	nag_spirit_hosts	autonomous_rider		-1
nag_spectre_swarm_crew_banshee1	nag_spectre_swarm	autonomous_rider	ap_banshee_0	-1
nag_spectre_swarm_crew_banshee2	nag_spectre_swarm	autonomous_rider	ap_banshee_1	-1
nag_spectre_swarm_crew_banshee3	nag_spectre_swarm	autonomous_rider	ap_banshee_2	-1
nag_spectre_swarm_crew_cairn_wraith1	nag_spectre_swarm	autonomous_rider	ap_cairn_wraith_0	-1
nag_spectre_swarm_crew_cairn_wraith2	nag_spectre_swarm	autonomous_rider	ap_cairn_wraith_1	-1
nag_shade_haunts_crew_banshee1	nag_shade_haunts	autonomous_rider	ap_banshee_0	-1
nag_shade_haunts_crew_banshee2	nag_shade_haunts	autonomous_rider	ap_banshee_1	-1
nag_shade_haunts_crew_banshee3	nag_shade_haunts	autonomous_rider	ap_banshee_2	-1
