character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables;2;db/campaign_mount_animation_set_overrides_tables/nagash			
cam_lord_hu1_cst_luthor_cutlass_and_pistol	nag_mortarch_luthor_terrorgheist	cam_lord_hu1_cst_luthor_bi2_terrorgheist_wb_cutlass_and_pistol	0
cam_hu1_empire_staff_and_sword	nag_mortarch_mannfred_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	nag_mortarch_mannfred_abyssal	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_lord_hu1_arkhan_staff_and_sword	nag_mortarch_arkhan_warhorse	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_lord_hu1_arkhan_staff_and_sword	nag_mortarch_arkhan_chariot	cam_lord_hu1_arkhan_chariot_staff_and_sword	0
cam_lord_hu1_arkhan_staff_and_sword	nag_mortarch_arkhan_abyssal	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_def_staff_and_sword	nag_mortarch_neferata_warhorse	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_lord_hu1b_def_staff_and_sword	nag_mortarch_neferata_abyssal	cam_hu1b_bretonnian_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_sword_and_shield	nag_cha_tomb_king_1	cam_lord_hu1_tomb_hr1_tomb_steed_sword_and_shield	0
cam_hu1_empire_sword_and_shield	nag_cha_tomb_king_2	cam_hu1_tomb_sword_and_shield_chariot	0
cam_hu1_empire_sword_and_shield	nag_cha_tomb_king_3	cam_hu1_tomb_sword_and_shield_chariot	0
cam_lord_hu1_tomb_halberd_and_shield	nag_cha_tomb_prince_1	cam_lord_hu1_tomb_hr1_tomb_steed_halberd_and_shield	0
cam_lord_hu1_tomb_halberd_and_shield	nag_cha_tomb_prince_2	cam_lord_hu1_tomb_halberd_and_shield_wm_chariot01	0
cam_lord_hu1_liche_priest_staff_and_sword	nag_cha_liche_priest_death_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	44
cam_lord_hu1_liche_priest_staff_and_sword	nag_cha_liche_priest_light_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	44
cam_lord_hu1_liche_priest_staff_and_sword	nag_cha_liche_priest_nehekhara_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	44
cam_lord_hu1_liche_priest_staff_and_sword	nag_cha_liche_priest_shadow_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	44
cam_lord_hu1_liche_priest_staff_and_sword	nag_cha_liche_priest_undeath_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	44
