id	culture	faction	remove	set	subculture
#faction_set_items_tables;1;db/faction_set_items_tables/rhox_nagash					
7804202200			false	rhox_nagash_undead_faction	wh2_dlc09_sc_tmb_tomb_kings
7804202201			false	rhox_nagash_undead_faction	wh2_dlc11_sc_cst_vampire_coast
7804202202			false	rhox_nagash_undead_faction	wh_main_sc_vmp_vampire_counts
7804202203			false	rhox_nagash_undead_faction	mixer_vmp_jade_vampires
7804202204		wh2_dlc09_tmb_followers_of_nagash	true	rhox_nagash_undead_faction	
7804202205		wh_main_vmp_schwartzhafen	true	rhox_nagash_undead_faction	
7804202206		wh_main_vmp_vampire_counts	true	rhox_nagash_undead_faction	
7804202207		wh2_dlc11_cst_vampire_coast	true	rhox_nagash_undead_faction	
7804202208		mixer_vmp_helsnicht	true	rhox_nagash_undead_faction	
7804202209		wh2_dlc09_tmb_exiles_of_nehek	true	rhox_nagash_undead_faction	
7804202210		wh2_dlc09_tmb_khemri	true	rhox_nagash_undead_faction	
7804202211		wh2_dlc09_tmb_lybaras	true	rhox_nagash_undead_faction	
7804202212		mixer_nag_nagash	false	rhox_nagash_faction_set	
7804202213			false	rhox_nagash_undead_faction	wh_main_sc_vmp_jade_vampires
7804202214	mixer_nag_nagash		false	nag_anc_set_exclusive_nagash	
7804202215			false	rhox_nagash_undead_faction	jiangshi_subculture
780420215		mixer_nag_nagash	false	anc_set_multi_kislev_norsca_bretonnia_chaos_dwarfs_empire_vampire_counts	
780420216		mixer_nag_nagash	false	anc_set_multi_tomb_kings_vampire_coast	
780420218			false	rhox_nagash_lahmia_target	wh2_main_sc_def_dark_elves
780420219			false	rhox_nagash_lahmia_target	wh2_main_sc_hef_high_elves
780420220			false	rhox_nagash_lahmia_target	wh3_dlc23_sc_chd_chaos_dwarfs
780420221			false	rhox_nagash_lahmia_target	wh3_main_sc_cth_cathay
780420222			false	rhox_nagash_lahmia_target	wh3_main_sc_ksl_kislev
780420223			false	rhox_nagash_lahmia_target	wh3_main_sc_ogr_ogre_kingdoms
780420224			false	rhox_nagash_lahmia_target	wh_dlc05_sc_wef_wood_elves
780420225			false	rhox_nagash_lahmia_target	wh_dlc08_sc_nor_norsca
780420226			false	rhox_nagash_lahmia_target	wh_main_sc_brt_bretonnia
780420227			false	rhox_nagash_lahmia_target	wh_main_sc_dwf_dwarfs
780420228			false	rhox_nagash_lahmia_target	wh_main_sc_emp_empire
780420229			false	rhox_nagash_lahmia_target	wh_main_sc_teb_teb
780420230			false	rhox_nagash_lahmia_target	ovn_sc_alb_albion
780420231			false	rhox_nagash_lahmia_target	ovn_sc_arb_araby
780420232			false	rhox_nagash_lahmia_target	mixer_teb_southern_realms
780420233			false	rhox_nagash_lahmia_target	mixer_nur_rotbloods
780420234			false	rhox_nagash_lahmia_target	mixer_sc_hng_hung
780420236		wh3_main_vmp_lahmian_sisterhood	false	rhox_nagash_lahmia_faction_set	
