key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/rhox_nagash_caps				
nag_effect_unit_cap_nagashi_guard	false	-1	-1	
nag_effect_unit_cap_nagashi_guard_halb	false	-1	-1	
nag_effect_unit_cap_bone_golems	false	-1	-1	
nag_effect_unit_cap_morghasts	false	-1	-1	
nag_effect_unit_cap_sand_crawlies	false	-1	-1	
nag_effect_unit_cap_carrion_riders	false	-1	-1	
nag_effect_unit_cap_mortis_engine	false	-1	-1	
nag_effect_unit_cap_bone_thrower	false	-1	-1	
nag_effect_unit_cap_nehekhara_warriors_0	false	-1	-1	
nag_effect_unit_cap_tomb_guard_0	false	-1	-1	
nag_effect_unit_cap_tomb_guard_1	false	-1	-1	
nag_effect_unit_cap_skeleton_horsemen_0	false	-1	-1	
nag_effect_unit_cap_skeleton_horsemen_archers_0	false	-1	-1	
nag_effect_unit_cap_nehekhara_horsemen_0	false	-1	-1	
nag_effect_unit_cap_necropolis_knights_0	false	-1	-1	
nag_effect_unit_cap_necropolis_knights_1	false	-1	-1	
nag_effect_unit_cap_skeleton_archer_chariot_0	false	-1	-1	
nag_effect_unit_cap_skeleton_chariot_0	false	-1	-1	
nag_effect_unit_cap_ushabti_0	false	-1	-1	
nag_effect_unit_cap_ushabti_1	false	-1	-1	
nag_effect_unit_cap_sepulchral_stalkers_0	false	-1	-1	
nag_effect_unit_cap_tomb_scorpion_0	false	-1	-1	
nag_effect_unit_cap_khemrian_warsphinx_0	false	-1	-1	
nag_effect_unit_cap_necrosphinx_0	false	-1	-1	
nag_effect_unit_cap_bone_giant_0	false	-1	-1	
nag_effect_unit_cap_screaming_skull_catapult_0	false	-1	-1	
nag_effect_unit_cap_casket_of_souls_0	false	-1	-1	
nag_effect_unit_cap_crypt_ghouls	false	-1	-1	
nag_effect_unit_cap_cairn_wraiths	false	-1	-1	
nag_effect_unit_cap_grave_guard_0	false	-1	-1	
nag_effect_unit_cap_grave_guard_1	false	-1	-1	
nag_effect_unit_cap_black_knights_0	false	-1	-1	
nag_effect_unit_cap_black_knights_3	false	-1	-1	
nag_effect_unit_cap_hexwraiths	false	-1	-1	
nag_effect_unit_cap_blood_knights_0	false	-1	-1	
nag_effect_unit_cap_corpse_cart_1	false	-1	-1	
nag_effect_unit_cap_corpse_cart_2	false	-1	-1	
nag_effect_unit_cap_vargheists	false	-1	-1	
nag_effect_unit_cap_crypt_horrors	false	-1	-1	
nag_effect_unit_cap_varghulf	false	-1	-1	
nag_effect_unit_cap_zombie_gunnery_mob_1	false	-1	-1	
nag_effect_unit_cap_deck_gunners_0	false	-1	-1	
nag_effect_unit_cap_depth_guard_0	false	-1	-1	
nag_effect_unit_cap_bloated_corpse_0	false	-1	-1	
nag_effect_unit_cap_carronade	false	-1	-1	
nag_effect_unit_cap_necrofex_colossus_0	false	-1	-1	
nag_effect_unit_cap_terrorgheist	false	-1	-1	
nag_effect_unit_cap_spectre_swarm	false	-1	-1	
nag_effect_unit_cap_spirit_hosts	false	-1	-1	
nag_effect_unit_cap_warp_ghouls	false	-1	-1	
nag_effect_unit_cap_skeleton_orcs	false	-1	-1	
nag_effect_unit_cap_skeleton_giant	false	-1	-1	
nag_effect_unit_cap_skeleton_goblin_range	false	-1	-1	
nag_effect_unit_cap_skeleton_goblin_melee	false	-1	-1	
nag_effect_unit_cap_skeleton_troll_1h	false	-1	-1	
nag_effect_unit_cap_skeleton_troll_2h	false	-1	-1	
nag_effect_unit_cap_nagash_ovn_dk_inf_skeleton_javelinmen_no_caps	false	-1	-1	
nag_effect_unit_cap_nagash_ovn_dk_inf_skeleton_hoplites	false	-1	-1	
nag_effect_unit_cap_nagash_ovn_dk_inf_skeleton_pikemen	false	-1	-1	
nag_effect_unit_cap_nagash_ovn_dk_inf_tomb_guardian	false	-1	-1	
nag_effect_unit_cap_nagash_nagash_ovn_dk_inf_tomb_guardian_peltasts	false	-1	-1	
nag_effect_unit_cap_nagash_ovn_dk_cav_royal_guard_lancers	false	-1	-1	
nag_effect_unit_cap_nagash_ovn_dk_mon_skeleton_elephant	false	-1	-1	
nag_effect_unit_cap_nag_thrall_crossbowmen	false	-1	-1	
nag_effect_unit_cap_nag_thrall_handgunners	false	-1	-1	
nag_effect_unit_cap_nag_bone_colossus	false	-1	-1	
nag_effect_unit_cap_nag_nagashi_knights	false	-1	-1	
