key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/nagash				
nag_bats_unit_set	false	-1	-1	
nag_morghasts_unit_set	false	-1	-1	
nag_ethereal_unit_set	false	-1	-1	
nag_enemy_undead_unit_set	false	-1	-1	
nag_golems_unit_set	false	-1	-1	
nag_scorpion_unit_set	false	-1	-1	
nag_warsphinx_unit_set	false	-1	-1	
nag_black_knights_unit_set	false	-1	-1	
nag_ushabti_unit_set	false	-1	-1	
nag_grave_nagashi_guard_unit_set	false	-1	-1	
nag_warhounds_unit_set	false	-1	-1	
nag_characters	false	-1	-1	
nag_all_units_unit_set	false	-1	-1	
nag_army_ranged	false	-1	-1	
nag_army_infantry	false	-1	-1	
nag_army_cavalry_chariots	false	-1	-1	
nag_army_warbeasts_monstrous_inf	false	-1	-1	
nag_army_magical_spirit	false	-1	-1	
nag_army_monsters_constructs	false	-1	-1	
nag_army_count_units	false	-1	-1	
nag_army_nehek_units	false	-1	-1	
nag_army_coast_units	false	-1	-1	
nag_army_nagashizzar_units	false	-1	-1	
nag_nehekharan_warriors_horsemen_unit_set	false	-1	-1	
nag_nehekharan_warriors_horsemen_plus_unit_set	false	-1	-1	
nag_arty_unit_set	false	-1	-1	
nag_gunnery_carronade_unit_set	false	-1	-1	
nag_traitor_foot	false	-1	-1	
nag_traitor_steed	false	-1	-1	
nag_cavalry	false	-1	-1	
nag_skeletons	false	-1	-1	
nag_chariots	false	-1	-1	
nag_ghouls_zombies	false	-1	-1	
nag_vlad_to_isabella	false	-1	-1	
nag_isabella_to_vlad	false	-1	-1	
nag_vampiric	false	-1	-1	
nag_crypt_ghouls	false	-1	-1	
nag_female_vampires	false	-1	-1	
nag_army_sneaky_sand	false	-1	-1	
nag_army_speed_scorpion_crawler	false	-1	-1	
nag_beasts_unit_set	false	-1	-1	
nag_constructs_unit_set	false	-1	-1	
nag_carrion	false	-1	-1	
nag_powder	false	-1	-1	
nag_skeletons_basic	false	-1	-1	
nag_arkhan_unit_set	false	-1	-1	
nag_luthor_harkon	false	-1	-1	
nag_mannfred_unit_set	false	-1	-1	
nag_krell_unit_set	false	-1	-1	
nag_neferata_unit_set	false	-1	-1	
nag_vlad_unit_set	false	-1	-1	
nag_army_count_units_vet	true	7	9	
nag_army_nehek_units_vet	true	7	9	
nag_army_coast_units_vet	true	7	9	
nag_army_nagashizzar_units_vet	true	7	9	
nag_nagashi_guard	false	-1	-1	
nag_vanilla_vmp_inf_zombie	false	-1	-1	
nag_liche_priests	false	-1	-1	
