key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/nagash_caps				
nag_effect_unit_cap_nagashi_guard	false	-1	-1	
nag_effect_unit_cap_nagashi_guard_halb	false	-1	-1	
nag_effect_unit_cap_bone_golems	false	-1	-1	
nag_effect_unit_cap_morghasts	false	-1	-1	
nag_effect_unit_cap_sand_crawlies	false	-1	-1	
nag_effect_unit_cap_carrion_riders	false	-1	-1	
nag_effect_unit_cap_mortis_engine	false	-1	-1	
nag_effect_unit_cap_bone_thrower	false	-1	-1	
nag_effect_unit_cap_nehekhara_warriors_0	false	-1	-1	
nag_effect_unit_cap_tomb_guard_0	false	-1	-1	
nag_effect_unit_cap_tomb_guard_1	false	-1	-1	
nag_effect_unit_cap_skeleton_horsemen_0	false	-1	-1	
nag_effect_unit_cap_skeleton_horsemen_archers_0	false	-1	-1	
nag_effect_unit_cap_nehekhara_horsemen_0	false	-1	-1	
nag_effect_unit_cap_necropolis_knights_0	false	-1	-1	
nag_effect_unit_cap_necropolis_knights_1	false	-1	-1	
nag_effect_unit_cap_skeleton_archer_chariot_0	false	-1	-1	
nag_effect_unit_cap_skeleton_chariot_0	false	-1	-1	
nag_effect_unit_cap_ushabti_0	false	-1	-1	
nag_effect_unit_cap_ushabti_1	false	-1	-1	
nag_effect_unit_cap_sepulchral_stalkers_0	false	-1	-1	
nag_effect_unit_cap_tomb_scorpion_0	false	-1	-1	
nag_effect_unit_cap_khemrian_warsphinx_0	false	-1	-1	
nag_effect_unit_cap_necrosphinx_0	false	-1	-1	
nag_effect_unit_cap_bone_giant_0	false	-1	-1	
nag_effect_unit_cap_screaming_skull_catapult_0	false	-1	-1	
nag_effect_unit_cap_casket_of_souls_0	false	-1	-1	
nag_effect_unit_cap_crypt_ghouls	false	-1	-1	
nag_effect_unit_cap_cairn_wraiths	false	-1	-1	
nag_effect_unit_cap_grave_guard_0	false	-1	-1	
nag_effect_unit_cap_grave_guard_1	false	-1	-1	
nag_effect_unit_cap_black_knights_0	false	-1	-1	
nag_effect_unit_cap_black_knights_3	false	-1	-1	
nag_effect_unit_cap_hexwraiths	false	-1	-1	
nag_effect_unit_cap_blood_knights_0	false	-1	-1	
nag_effect_unit_cap_corpse_cart_1	false	-1	-1	
nag_effect_unit_cap_corpse_cart_2	false	-1	-1	
nag_effect_unit_cap_vargheists	false	-1	-1	
nag_effect_unit_cap_zombie_gunnery_mob_1	false	-1	-1	
nag_effect_unit_cap_deck_gunners_0	false	-1	-1	
nag_effect_unit_cap_depth_guard_0	false	-1	-1	
nag_effect_unit_cap_bloated_corpse_0	false	-1	-1	
nag_effect_unit_cap_terrorgheist	false	-1	-1	
