key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/rhox_nagash				
nag_bats_unit_set	false	-1	-1	
nag_morghasts_unit_set	false	-1	-1	
nag_ethereal_unit_set	false	-1	-1	
nag_enemy_undead_unit_set	false	-1	-1	
nag_golems_unit_set	false	-1	-1	
nag_scorpion_unit_set	false	-1	-1	
nag_warsphinx_unit_set	false	-1	-1	
nag_black_knights_unit_set	false	-1	-1	
nag_ushabti_unit_set	false	-1	-1	
nag_grave_nagashi_guard_unit_set	false	-1	-1	
nag_warhounds_unit_set	false	-1	-1	
nag_characters	false	-1	-1	
nag_all_units_unit_set	false	-1	-1	
nag_army_ranged	false	-1	-1	
nag_army_infantry	false	-1	-1	
nag_army_cavalry_chariots	false	-1	-1	
nag_army_warbeasts_monstrous_inf	false	-1	-1	
nag_army_magical_spirit	false	-1	-1	
nag_army_monsters_constructs	false	-1	-1	
nag_army_count_units	false	-1	-1	
nag_army_nehek_units	false	-1	-1	
nag_army_coast_units	false	-1	-1	
nag_army_nagashizzar_units	false	-1	-1	
nag_nehekharan_warriors_horsemen_unit_set	false	-1	-1	
nag_nehekharan_warriors_horsemen_plus_unit_set	false	-1	-1	
nag_arty_unit_set	false	-1	-1	
nag_gunnery_carronade_unit_set	false	-1	-1	
nag_traitor_foot	false	-1	-1	
nag_traitor_steed	false	-1	-1	
nag_cavalry	false	-1	-1	
nag_skeletons	false	-1	-1	
nag_chariots	false	-1	-1	
nag_ghouls_zombies	false	-1	-1	
nag_vlad_to_isabella	false	-1	-1	
nag_isabella_to_vlad	false	-1	-1	
nag_vampiric	false	-1	-1	
nag_crypt_ghouls	false	-1	-1	
nag_female_vampires	false	-1	-1	
nag_army_sneaky_sand	false	-1	-1	
nag_army_speed_scorpion_crawler	false	-1	-1	
nag_beasts_unit_set	false	-1	-1	
nag_constructs_unit_set	false	-1	-1	
nag_carrion	false	-1	-1	
nag_powder	false	-1	-1	
nag_skeletons_basic	false	-1	-1	
nag_arkhan_unit_set	false	-1	-1	
nag_luthor_harkon	false	-1	-1	
nag_mannfred_unit_set	false	-1	-1	
nag_krell_unit_set	false	-1	-1	
nag_neferata_unit_set	false	-1	-1	
nag_vlad_unit_set	false	-1	-1	
nag_army_count_units_vet	true	7	9	
nag_army_nehek_units_vet	true	7	9	
nag_army_coast_units_vet	true	7	9	
nag_army_nagashizzar_units_vet	true	7	9	
nag_nagashi_guard	false	-1	-1	
nag_vanilla_vmp_inf_zombie	false	-1	-1	
nag_liche_priests	false	-1	-1	
nag_frost_spirits	false	-1	-1	
nag_skeletons_plus	false	-1	-1	
nag_mortarch_unit_set	false	-1	-1	
nag_zombie	false	-1	-1	
nag_zombies	false	-1	-1	
nag_wolves_hex	false	-1	-1	
nag_effect_unit_cap_nag_undead_chariot_unit	false	-1	-1	
nag_army_ranged_azhag	false	-1	-1	
nag_army_infantry_azhag	false	-1	-1	
nag_army_warbeasts_monstrous_inf_azhag	false	-1	-1	
nag_army_monsters_constructs_azhag	false	-1	-1	
nag_army_nagashizzar_units_vet_azhag	true	7	9	
nag_army_nagashizzar_units_azhag	false	-1	-1	
nag_undead_green	false	-1	-1	
nag_undead_green_morghast	false	-1	-1	
nag_arkhan_tomb_chariots	false	-1	-1	
nag_tomb_guard	false	-1	-1	
nag_tech_sepulchral_stalkers	false	-1	-1	
nag_tech_cav_necropolis_knights_0	false	-1	-1	
nag_tech_cav_necropolis_knights_1	false	-1	-1	
nag_tech_necropolis_knights	false	-1	-1	
nag_tech_tmb_horsemen	false	-1	-1	
nag_tech_chariots	false	-1	-1	
nag_tech_nehekhara_warriors_0	false	-1	-1	
nag_tech_casket_of_souls	false	-1	-1	
nag_tech_stalker_necropolis_knight	false	-1	-1	
nag_tech_blood_knights	false	-1	-1	
nag_tech_mortis	false	-1	-1	
nag_tech_dire_wolves_fell_bats	false	-1	-1	
nag_tech_vampire_agents	false	-1	-1	
nag_tech_blood_knights_mortis	false	-1	-1	
nag_tech_graveguard	false	-1	-1	
nag_tech_nagashi_guard	false	-1	-1	
nag_tech_tomb_guard	false	-1	-1	
nag_ghouls_horrros	false	-1	-1	
nag_crypt_horrors	false	-1	-1	
nag_monstrous_inf	false	-1	-1	
nag_monstrous_inf_hidden	false	-1	-1	
nag_infantry	false	-1	-1	
nag_tech_spellcaster_lords	false	-1	-1	
nag_beasts_crypt	false	-1	-1	
nag_thrall_units	false	-1	-1	
nag_tech_azhag_skeletal_infantry	false	-1	-1	
mixu_cst_luthor_harkon	false	-1	-1	
nag_burning_dead	false	-1	-1	renown
nag_blood_beasts	false	-1	-1	renown
nag_dk_units	false	-1	-1	
nag_dk_elephant	false	-1	-1	
nag_dk_cavarly	false	-1	-1	
nag_dk_infatry	false	-1	-1	
nag_dk_missile	false	-1	-1	
nag_dk_inf_cav	false	-1	-1	
nag_army_count_units_vet_ror	false	-1	-1	
nag_army_nehek_units_vet_ror	false	-1	-1	
nag_army_coast_units_vet_ror	false	-1	-1	
nag_army_nagashizzar_units_vet_ror	false	-1	-1	
nag_army_nagashizzar_units_vet_azhag_ror	false	-1	-1	
nag_banshee_unit_set	false	-1	-1	
nag_kalledria_ghoul_unit_set	false	-1	-1	
