type	ui_icon
#ancillary_types_tables;0;db/ancillary_types_tables/rhox_nagash	
nag_anc_mount_mannfred_abyssal	ui/campaign ui/mounts/mount_skullmuncha.png
nag_anc_mount_arkhan_abyssal	ui/campaign ui/mounts/mount_skullmuncha.png
nag_anc_mount_neferata_abyssal	ui/campaign ui/mounts/mount_skullmuncha.png
nag_anc_mount_mannfred_barded_nightmare	ui/campaign ui/mounts/mount_barded_nightmare.png
nag_anc_mount_neferata_warhorse	ui/campaign ui/mounts/mount_barded_nightmare.png
nag_anc_mount_luthor_harkon_terrorgheist	ui/campaign ui/mounts/mount_terrorgheist.png
nag_anc_mount_arkhan_skeletal_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
nag_anc_mount_arkhan_skeleton_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
nag_anc_follower_hat_makers_maker	ui/campaign ui/ancillaries/nag_follower_big_hatter.png
nag_anc_follower_death_doctor	ui/campaign ui/ancillaries/nag_follower_death_doctor.png
nag_anc_follower_keeper_of_tomes	ui/campaign ui/ancillaries/nag_follower_keeper_of_tomes.png
nag_anc_follower_warpstone_hunter	ui/campaign ui/ancillaries/nag_follower_warpstone_hunter.png
nag_anc_follower_warlock	ui/campaign ui/ancillaries/nag_follower_warlock.png
nag_anc_follower_corpse_caravan	ui/campaign ui/ancillaries/nag_follower_corpse_caravan.png
nag_anc_follower_haunted_hostler	ui/campaign ui/ancillaries/nag_follower_hostler.png
nag_anc_follower_carrion	ui/campaign ui/ancillaries/nag_follower_carrion.png
nag_anc_follower_death_cultist	ui/campaign ui/ancillaries/nag_follower_cultist.png
nag_anc_follower_ghoul_scavanger	ui/campaign ui/ancillaries/nag_follower_ghoul.png
nag_anc_follower_siren	ui/campaign ui/ancillaries/nag_follower_siren.png
nag_anc_follower_poltergeist	ui/campaign ui/ancillaries/nag_follower_spirit.png
nag_anc_follower_necromancers_apprentice	ui/campaign ui/ancillaries/nag_follower_necromancer.png
nag_anc_follower_lich	ui/campaign ui/ancillaries/nag_follower_lich.png
nag_anc_follower_handmaiden	ui/campaign ui/ancillaries/nag_follower_handmaiden.png
nag_anc_follower_fan	ui/campaign ui/ancillaries/nag_follower_fan.png
nag_anc_follower_embalmer	ui/campaign ui/ancillaries/nag_follower_mummy.png
nag_anc_follower_blood_bag	ui/campaign ui/ancillaries/nag_follower_blood_bag.png
nag_anc_follower_powder_monkey	ui/campaign ui/ancillaries/nag_follower_sailor.png
nag_anc_follower_captain_deceased	ui/campaign ui/ancillaries/nag_follower_captain.png
nag_anc_follower_cursed_necrotect	ui/campaign ui/ancillaries/nag_follower_necrotect.png
nag_anc_follower_ushabti_bodyguard	ui/campaign ui/ancillaries/nag_follower_ushabti.png
nag_anc_follower_the_ravenous_dead	ui/campaign ui/ancillaries/nag_follower_ravenous_dead.png
nag_anc_follower_undead_bard	ui/campaign ui/ancillaries/nag_follower_bard.png
nag_anc_follower_black_cat	ui/campaign ui/ancillaries/nag_follower_black_cat.png
nag_anc_follower_books_of_nagash_book_one	ui/campaign ui/skills/skill_book_1.png
nag_anc_follower_books_of_nagash_book_two	ui/campaign ui/skills/skill_book_2.png
nag_anc_follower_books_of_nagash_book_three	ui/campaign ui/skills/skill_book_3.png
nag_anc_follower_books_of_nagash_book_four	ui/campaign ui/skills/skill_book_4.png
nag_anc_follower_books_of_nagash_book_five	ui/campaign ui/skills/skill_book_5.png
nag_anc_follower_books_of_nagash_book_six	ui/campaign ui/skills/skill_book_6.png
nag_anc_follower_books_of_nagash_book_seven	ui/campaign ui/skills/skill_book_7.png
nag_anc_follower_books_of_nagash_book_eight	ui/campaign ui/skills/skill_book_8.png
nag_anc_follower_books_of_nagash_book_nine	ui/campaign ui/skills/skill_book_9.png
