building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/jvj_nagash_buildings_outpost			
nag_outpost_primary_main		wh_main_set_settlement_major	false
nag_outpost_primary_main_coast		wh_main_set_settlement_major	false
nag_outpostnorsca_primary_main		wh_main_set_settlement_major	false
nag_outpostnorsca_primary_main_coast		wh_main_set_settlement_major	false
nag_outpost_secondary_main		wh_main_set_settlement_minor	false
nag_outpost_secondary_main_coast		wh_main_set_settlement_minor	false
nag_outpostnorsca_secondary_main		wh_main_set_settlement_minor	false
nag_outpostnorsca_secondary_main_coast		wh_main_set_settlement_minor	false
nag_outpost_primary_research		nag_outpost_primary_outpost	false
nag_outpost_primary_arcane		nag_outpost_primary_outpost	false
nag_outpost_primary_support		nag_outpost_primary_outpost	false
nag_outpost_primary_nehek		nag_outpost_primary_outpost	false
nag_outpost_primary_nagashizzar		nag_outpost_primary_outpost	false
nag_outpost_primary_coast		nag_outpost_primary_outpost	false
nag_outpost_primary_count		nag_outpost_primary_outpost	false
nag_outpost_primary_warpstone		nag_outpost_primary_outpost	false
nag_outpost_secondary_fields		nag_outpost_secondary_outpost	false
nag_outpost_secondary_corruption		nag_outpost_secondary_outpost	false
nag_outpost_secondary_syphon		nag_outpost_secondary_outpost	false
nag_outpost_secondary_energy		nag_outpost_secondary_outpost	false
nag_outpost_main_port		wh_main_set_port	false
