building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/rhox_nagash_copied_landmark			
rhox_nagash_special_black_tower_of_arkhan		wh2_main_set_landmark	false
rhox_nagash_special_pyramid_alcadizaar		wh2_main_set_landmark	false
rhox_nagash_special_pyramid_amenemhetum		wh2_main_set_landmark	false
rhox_nagash_special_pyramid_khatep		wh2_main_set_landmark	false
rhox_nagash_special_pyramid_phar		wh2_main_set_landmark	false
rhox_nagash_special_pyramid_settra		wh2_main_set_landmark	false
rhox_nagash_special_pyramid_tutankhanut		wh2_main_set_landmark	false
rhox_nagash_special_college_of_magic_vampires		wh2_main_set_landmark	false
rhox_nagash_special_blood_keep		wh2_main_set_landmark	false
rhox_nagash_special_castle_drachenfels		wh2_main_set_landmark	false
rhox_nagash_special_mousillon_merovech		wh2_main_set_landmark	false
rhox_nagash_special_ghrond_convent_of_sorcery_vmp		wh2_main_set_landmark	false
rhox_nagash_special_ogham_stones		wh2_main_set_landmark	false
rhox_nagash_special_standing_stones_others		wh2_main_set_landmark	false
