building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/jvj_nagash_buildings_horde			
		nag_bpyramid_new_horde	false
nag_bpyramid_main		nag_bpyramid_settlement	false
nag_bpyramid_main_obelisk		nag_bpyramid_settlement_support	false
nag_bpyramid_ew1_barracks		nag_bpyramid_ew_recruitment	false
nag_bpyramid_ww1_stables		nag_bpyramid_ww_recruitment	false
nag_bpyramid_ew2_mortuary		nag_bpyramid_ew_military_support	false
nag_bpyramid_ww2_warmachines		nag_bpyramid_ww_military_support	false
nag_bpyramid_ew3_growth		nag_bpyramid_ew_infrastructure	false
nag_bpyramid_ww3_industry		nag_bpyramid_ww_infrastructure	false
nag_bpyramid_ew4_other		nag_bpyramid_ew_infrastructure	false
nag_bpyramid_ww4_extra		nag_bpyramid_ww_infrastructure	false
nag_bpyramid_hidden		nag_bpyramid_hidden	false
nag_arkhan_horde_special		nag_horde_settlement	false
nag_vlad_horde_special		nag_horde_settlement	false
nag_neffy_horde_special		nag_horde_settlement	false
nag_manny_horde_special		nag_horde_settlement	false
nag_krell_horde_special		nag_horde_settlement	false
nag_luthor_horde_special		nag_horde_settlement	false
nag_arkhan_horde_landmark		nag_horde_unique	false
nag_vlad_horde_landmark		nag_horde_unique	false
nag_neffy_horde_landmark		nag_horde_unique	false
nag_manny_horde_landmark		nag_horde_unique	false
nag_krell_horde_landmark		nag_horde_unique	false
nag_luthor_horde_landmark		nag_horde_unique	false
nag_horde_military1_barracks		nag_horde_recruitment	false
nag_horde_military2_stables		nag_horde_recruitment	false
nag_horde_military3_warmachines		nag_horde_recruitment	false
nag_horde_military4_monsters		nag_horde_military_support	false
nag_horde_support1_smith		nag_horde_military_support	false
nag_horde_support2_worship		nag_horde_military_support	false
nag_horde_support3_wizards		nag_horde_military_support	false
nag_horde_infrastructure1_growth		nag_horde_infrastructure	false
nag_horde_infrastructure2_industry		nag_horde_infrastructure	false
nag_horde_infrastructure3_energy		nag_horde_infrastructure	false
nag_horde_infrastructure4_other		nag_horde_infrastructure	false
nag_nagash_horde_special		nag_subhorde_settlement	false
nag_subhorde_main		nag_subhorde_settlement	false
nag_nagash_horde_landmark		nag_subhorde_unique	false
nag_subhorde_military0_guard		nag_subhorde_recruitment	false
nag_subhorde_military1_barracks		nag_subhorde_recruitment	false
nag_subhorde_military2_stables		nag_subhorde_recruitment	false
nag_subhorde_military3_warmachines		nag_subhorde_recruitment	false
nag_subhorde_military4_monsters		nag_subhorde_military_support	false
nag_subhorde_support1_smith		nag_subhorde_military_support	false
nag_subhorde_support2_worship		nag_subhorde_military_support	false
nag_subhorde_infrastructure1_growth		nag_subhorde_infrastructure	false
nag_subhorde_infrastructure2_industry		nag_subhorde_infrastructure	false
