building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables	0	db/building_set_to_building_junctions_tables/jvj_nagash_buildings_special
	nag_settlement_growth_1	wh2_dlc09_set_tomb_kings_basic_infra	false
	nag_settlement_growth_2	wh2_dlc09_set_tomb_kings_basic_infra	false
	nag_settlement_growth_3	wh2_dlc09_set_tomb_kings_basic_infra	false
	nag_settlement_income_1	wh2_dlc09_set_tomb_kings_basic_infra	false
	nag_settlement_income_2	wh2_dlc09_set_tomb_kings_basic_infra	false
	nag_settlement_income_3	wh2_dlc09_set_tomb_kings_basic_infra	false
	nag_settlement_cavalry_1	wh2_dlc09_set_tomb_kings_cavalry	false
	nag_settlement_cavalry_2	wh2_dlc09_set_tomb_kings_cavalry	false
	nag_settlement_cavalry_3	wh2_dlc09_set_tomb_kings_cavalry	false
	nag_settlement_cavalry_4	wh2_dlc09_set_tomb_kings_cavalry	false
	nag_settlement_chariots_1	wh2_dlc09_set_tomb_kings_chariots	false
	nag_settlement_chariots_2	wh2_dlc09_set_tomb_kings_chariots	false
	nag_settlement_chariots_3	wh2_dlc09_set_tomb_kings_chariots	false
	nag_settlement_hierotitan_1	wh2_dlc09_set_tomb_kings_constructs	false
	nag_settlement_necrosphinx_1	wh2_dlc09_set_tomb_kings_constructs	false
	nag_settlement_scorpions_1	wh2_dlc09_set_tomb_kings_constructs	false
	nag_settlement_ushabti_1	wh2_dlc09_set_tomb_kings_constructs	false
	nag_settlement_ushabti_2	wh2_dlc09_set_tomb_kings_constructs	false
	nag_settlement_warsphinx_1	wh2_dlc09_set_tomb_kings_constructs	false
nag_settlement_defence_major		wh2_dlc09_set_tomb_kings_defence	false
	nag_settlement_citadel_1	wh2_dlc09_set_tomb_kings_economy	false
	nag_settlement_estate_1	wh2_dlc09_set_tomb_kings_economy	false
	nag_settlement_growth_1	wh2_dlc09_set_tomb_kings_economy	false
	nag_settlement_growth_2	wh2_dlc09_set_tomb_kings_economy	false
	nag_settlement_growth_3	wh2_dlc09_set_tomb_kings_economy	false
	nag_settlement_income_1	wh2_dlc09_set_tomb_kings_economy	false
	nag_settlement_income_2	wh2_dlc09_set_tomb_kings_economy	false
	nag_settlement_income_3	wh2_dlc09_set_tomb_kings_economy	false
	nag_settlement_citadel_1	wh2_dlc09_set_tomb_kings_estate_citadel	false
	nag_settlement_estate_1	wh2_dlc09_set_tomb_kings_estate_citadel	false
	nag_settlement_defence_major_1	wh2_dlc09_set_tomb_kings_garrison	false
	nag_settlement_defence_major_2	wh2_dlc09_set_tomb_kings_garrison	false
