key	mission_type	localised_title	localised_description	ui_image	ui_icon	generate	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	quest_mission_final	trigger_radius	quest_character	sticky_by_default	localised_mission_completed_text	can_be_manually_cancelled
#missions_tables;0;db/missions_tables/rhox_nagash																		
nagash_intro_1	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	false
nagash_intro_2	HAVE_AT_LEAST_X_MONEY			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	false
nagash_intro_3	OWN_N_UNITS			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	false
nagash_intro_4	CAPTURE_REGIONS			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	false
nagash_intro_5	MOVE_TO_REGION			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	false
nag_nagash_capture_settlement_black_pyramid	CAPTURE_REGIONS			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_nagash_capture_settlement_khemri	CAPTURE_REGIONS			tmb/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_nagash_capture_settlement_mourkain	CAPTURE_REGIONS			tmb/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_nagash_capture_settlement_drakenhof	CAPTURE_REGIONS			tmb/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_nagash_capture_settlement_lahmia	CAPTURE_REGIONS			tmb/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_nagash_capture_settlement_awakening	MOVE_TO_REGION			tmb/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_nagash_capture_settlement_quintex	CAPTURE_REGIONS			tmb/generic	rom_event_mission.png	false	false	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_luthor_unlock	MOVE_TO_PROVINCE			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_neferata_unlock	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_krell_unlock	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_vlad_unlock	HAVE_CHARACTER_WITHIN_RANGE_OF_POSITION			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_mannfred_unlock	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_arkhan_event_1	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_arkhan_event_2	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_OF_SUBCULTURE			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_arkhan_event_3	ACHIEVE_CHARACTER_RANK			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_luthor_event_1	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_luthor_event_2	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_luthor_event_3	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_mannfred_event_1	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_mannfred_event_2	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_mannfred_event_3	ACHIEVE_CHARACTER_RANK			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_krell_event_1	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_krell_event_2	RAZE_OR_SACK_N_DIFFERENT_SETTLEMENTS_INCLUDING			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_krell_event_3	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_neferata_event_1	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_neferata_event_2	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_neferata_event_3	ACHIEVE_CHARACTER_RANK			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
nag_mortarch_vlad_event_1	SCRIPTED			tmb/generic	rom_event_mission.png	false	true	Military		0	0	false	false	0.0000		false	Success! You have achieved one of your goals.	true
