key	generate	localised_description	localised_title	mission_type	ui_icon	ui_image	prioritised	event_category	set_piece_battle	location_x	location_y	quest_mission	trigger_radius	quest_character	quest_mission_final	sticky_by_default
#missions_tables;6;db/missions_tables/nagash_generated																
nag_assassinate_character_agent_brt	true	The living send their champion to end us, but we will end this breather.	Errant Fool	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_bst	true	The Beastmen's gor thinks to frustrate us. End the creature.	Bone Horn	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_chs	true	The northern Gods task their Champions to come against us.	False Gods	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_def	true	The Witch King's minions are abroad - one in particular must be silenced.	Khaine's Critters	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_dwf	true	Dwarfs, vile little things who tend to stick their noses where they don't belong. Silence this creature.	Little Trouble in Big Mountains	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_emp	true	Men, nothing more than fuel for the fire; add another corpse to the pyre.	A Walking Corpse	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_grn	true	The Greenskins are nothing more than noisome beasts, and now one of their number acts against us. Kill it.	Orc Bane	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_hef	true	The Asur are cowards. They do not send their hosts against us, but merely mouthed agitators instead. Kill their agent.	Elven Agitator	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_lzd	true	Accursed reptiles send an agent to interfere with our plans! End this creature's pathetic existence.	Lizard Scum	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_skv	true	Skaven foes try and undermine us; this will not happen again. Find their verminous agent and slay it.	Rataliation	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_tmb	true	Insolent Fools! They refuse to bow the knee; their souls are forfeit and will be mine!	They Will Serve	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_vmp	true	My children, you are so vein to defy my word, I gave you life, and I can take it just as easily.	Dead-Headed Step Child	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_assassinate_character_agent_wef	true	The Elves and their tree-creatures interfere in our expansion by sending an agent against us. Find the threat and destroy it.	Elf Interference	ASSASSINATE_CHARACTER	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_capture_regions_brt	true	They think their Lady can save them; we will purge and seed their lands.	Damsel in Distress	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_capture_regions_def	true	The ice dunes of the Dark Elves are a new realm to add to our own. The land of the dead will stretch to all corners.	Claim the Glaciers	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_capture_regions_dwf	true	The mountain realms of the Dwarfs are valuable to us, for we need what lies in the stone. Claim it.	Demand the Mountains	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_capture_regions_emp	true	The men of the north think themselves safe from the dead. Take their land and disabuse them of such a notion.	Dead Man's Folly	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_capture_regions_grn	true	These filthy creatures are nothing but a hindrance. Purify them from this region and claim it as our own.	Green Scum	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_capture_regions_hef	true	The High Elves' arrogance will be their undoing; after all, we are truly immortal, not these fleshy things. Take their realm as punishment!	High Elf Arrogance	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
nag_capture_regions_lzd	true	The reptiles view their borders with intransigence. They must make way as Undeath is Ascendant. Claim this realm for the Undead.	Cold-Blooded	CAPTURE_REGIONS	rom_event_mission.png	tmb/generic	false	Military		0	0	false	0.0		false	false
