bonus_value_id	effect	special_ability_group
#effect_bonus_value_special_ability_group_junctions_tables;0;db/effect_bonus_value_special_ability_group_junctions_tables/rhox_nagash		
target_intercept_range_mod	nag_effect_double_spell_range_mortarch_of_night	wh_main_lore_vampires
target_intercept_range_mod	nag_effect_double_spell_range_mortarch_of_night	wh_main_lore_vampires_upgraded
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_main_lore_undeath
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_main_lore_undeath
cost_percentage_mod	wh2_dlc16_effect_magic_cost_all_lores_enemy	wh2_main_lore_undeath
target_intercept_range_mod	wh3_main_effect_spell_targeting_range_all	wh2_main_lore_undeath
recharge_rate_percentage_mod	wh2_dlc12_effect_magic_cooldown_all_lores	wh2_main_lore_undeath_upgraded
cost_percentage_mod	wh2_dlc14_effect_magic_cost_all_lores_percentage	wh2_main_lore_undeath_upgraded
cost_percentage_mod	wh2_dlc16_effect_magic_cost_all_lores_enemy	wh2_main_lore_undeath_upgraded
target_intercept_range_mod	wh3_main_effect_spell_targeting_range_all	wh2_main_lore_undeath_upgraded
cost_percentage_mod	wh3_main_effect_wom_costs_overcast_percentage	wh2_main_lore_undeath_upgraded
