key	num_instances
#building_instances_tables;0;db/building_instances_tables/jvj_nagash	
nag_outpost_primary_main	1
nag_outpost_secondary_main	1
nag_outpost_special_nagashizzar	1
nag_outpost_special_mourkain	1
nag_outpost_special_lahmia	1
nag_outpost_special_khemri	1
nag_outpost_special_awakening	1
nag_outpost_special_drakenhof	1
nag_outpost_special_quintex	1
nag_outpost_main_port	1
nag_outpost_primary_research	1
nag_outpost_primary_arcane	1
nag_outpost_primary_support	1
nag_outpost_primary_nehek	1
nag_outpost_primary_nagashizzar	1
nag_outpost_primary_coast	1
nag_outpost_primary_count	1
nag_outpost_primary_warpstone	1
nag_outpost_secondary_fields	1
nag_outpost_secondary_corruption	1
nag_outpost_secondary_syphon	1
nag_outpost_secondary_energy	1
nag_settlement_cavalry	1
nag_settlement_chariots	1
nag_settlement_citadel	1
nag_settlement_walls	1
nag_settlement_estate	1
nag_settlement_growth	1
nag_settlement_hierotitan	1
nag_settlement_income	1
nag_settlement_infantry	1
nag_settlement_necrosphinx	1
nag_settlement_scorpions	1
nag_settlement_ushabti	1
nag_settlement_warsphinx	1
nag_settlement_priest	1
nag_settlement_spirit	1
nag_bpyramid_main	1
nag_bpyramid_main_obelisk	1
nag_bpyramid_ew1_barracks	1
nag_bpyramid_ww1_stables	1
nag_bpyramid_ew2_mortuary	1
nag_bpyramid_ww2_warmachines	1
nag_bpyramid_ew3_growth	1
nag_bpyramid_ww3_industry	1
nag_bpyramid_ew4_other	1
nag_bpyramid_ww4_extra	1
nag_bpyramid_hidden	1
nag_nagash_horde_special	1
nag_arkhan_horde_special	1
nag_vlad_horde_special	1
nag_neffy_horde_special	1
nag_manny_horde_special	1
nag_krell_horde_special	1
nag_luthor_horde_special	1
nag_nagash_horde_landmark	1
nag_arkhan_horde_landmark	1
nag_vlad_horde_landmark	1
nag_neffy_horde_landmark	1
nag_manny_horde_landmark	1
nag_krell_horde_landmark	1
nag_luthor_horde_landmark	1
nag_horde_military1_barracks	1
nag_horde_military2_stables	1
nag_horde_military3_warmachines	1
nag_horde_military4_monsters	1
nag_horde_support1_smith	1
nag_horde_support2_worship	1
nag_horde_support3_wizards	1
nag_horde_infrastructure1_growth	1
nag_horde_infrastructure2_industry	1
nag_horde_infrastructure3_energy	1
nag_horde_infrastructure4_other	1
nag_subhorde_main	1
nag_subhorde_military0_guard	1
nag_subhorde_military1_barracks	1
nag_subhorde_military2_stables	1
nag_subhorde_military3_warmachines	1
nag_subhorde_military4_monsters	1
nag_subhorde_support1_smith	1
nag_subhorde_support2_worship	1
nag_subhorde_infrastructure1_growth	1
nag_subhorde_infrastructure2_industry	1
nag_outpost_primary_exclusive_recruit	1
nag_outpost_special_blackpyramid	1
nag_dieter_horde_landmark	1
nag_dieter_horde_special	1
nag_azhag_horde_landmark	1
nag_azhag_horde_special	1
nag_outpost_primary_advanced	1
nag_dk_horde_landmark	1
nag_dk_horde_special	1
rhox_nagash_lahmia_cult	1
