id	mission_key	payload_key	status_key	value	target_key
#cdir_events_mission_payloads_tables;2;db/cdir_events_mission_payloads_tables/rhox_nagash_generated					
457717333	nag_assassinate_character_agent_brt	TREASURY	SUCCESS	AMOUNT[750]	default
457717253	nag_assassinate_character_agent_brt	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717334	nag_assassinate_character_agent_bst	TREASURY	SUCCESS	AMOUNT[750]	default
457717254	nag_assassinate_character_agent_bst	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717335	nag_assassinate_character_agent_chs	TREASURY	SUCCESS	AMOUNT[750]	default
457717255	nag_assassinate_character_agent_chs	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717336	nag_assassinate_character_agent_def	TREASURY	SUCCESS	AMOUNT[750]	default
457717256	nag_assassinate_character_agent_def	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717337	nag_assassinate_character_agent_dwf	TREASURY	SUCCESS	AMOUNT[750]	default
457717257	nag_assassinate_character_agent_dwf	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717258	nag_assassinate_character_agent_emp	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717338	nag_assassinate_character_agent_emp	TREASURY	SUCCESS	AMOUNT[750]	default
457717259	nag_assassinate_character_agent_grn	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717339	nag_assassinate_character_agent_grn	TREASURY	SUCCESS	AMOUNT[750]	default
457717260	nag_assassinate_character_agent_hef	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717340	nag_assassinate_character_agent_hef	TREASURY	SUCCESS	AMOUNT[750]	default
457717261	nag_assassinate_character_agent_lzd	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717341	nag_assassinate_character_agent_lzd	TREASURY	SUCCESS	AMOUNT[750]	default
457717262	nag_assassinate_character_agent_skv	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717342	nag_assassinate_character_agent_skv	TREASURY	SUCCESS	AMOUNT[750]	default
457717263	nag_assassinate_character_agent_tmb	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717343	nag_assassinate_character_agent_tmb	TREASURY	SUCCESS	AMOUNT[750]	default
457717344	nag_assassinate_character_agent_vmp	TREASURY	SUCCESS	AMOUNT[750]	default
457717264	nag_assassinate_character_agent_vmp	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717345	nag_assassinate_character_agent_wef	TREASURY	SUCCESS	AMOUNT[750]	default
457717265	nag_assassinate_character_agent_wef	ADD_ANCILLARY	SUCCESS	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
457717346	nag_capture_regions_brt	TREASURY	SUCCESS	AMOUNT[500]	default
457717347	nag_capture_regions_def	TREASURY	SUCCESS	AMOUNT[500]	default
457717348	nag_capture_regions_dwf	TREASURY	SUCCESS	AMOUNT[500]	default
457717349	nag_capture_regions_emp	TREASURY	SUCCESS	AMOUNT[500]	default
457717350	nag_capture_regions_grn	TREASURY	SUCCESS	AMOUNT[500]	default
457717351	nag_capture_regions_hef	TREASURY	SUCCESS	AMOUNT[500]	default
457717352	nag_capture_regions_lzd	TREASURY	SUCCESS	AMOUNT[500]	default
457717353	nag_capture_regions_skv	TREASURY	SUCCESS	AMOUNT[500]	default
457717354	nag_capture_regions_tmb	TREASURY	SUCCESS	AMOUNT[500]	default
457717355	nag_capture_regions_vmp	TREASURY	SUCCESS	AMOUNT[500]	default
457717356	nag_capture_regions_wef	TREASURY	SUCCESS	AMOUNT[500]	default
457717357	nag_declare_war_brt	TREASURY	SUCCESS	AMOUNT[500]	default
457717287	nag_declare_war_brt	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_bretonnia];DURATION[8];GLOBAL	default
457717358	nag_declare_war_bst	TREASURY	SUCCESS	AMOUNT[500]	default
457717288	nag_declare_war_bst	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_beastmen];DURATION[8];GLOBAL	default
457717359	nag_declare_war_chs	TREASURY	SUCCESS	AMOUNT[500]	default
457717289	nag_declare_war_chs	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_chaos];DURATION[8];GLOBAL	default
457717290	nag_declare_war_def	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_dark_elves];DURATION[8];GLOBAL	default
457717360	nag_declare_war_def	TREASURY	SUCCESS	AMOUNT[500]	default
457717361	nag_declare_war_dwf	TREASURY	SUCCESS	AMOUNT[500]	default
457717291	nag_declare_war_dwf	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_dwarfs];DURATION[8];GLOBAL	default
457717292	nag_declare_war_emp	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_empire];DURATION[8];GLOBAL	default
457717362	nag_declare_war_emp	TREASURY	SUCCESS	AMOUNT[500]	default
457717363	nag_declare_war_grn	TREASURY	SUCCESS	AMOUNT[500]	default
457717293	nag_declare_war_grn	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_greenskins];DURATION[8];GLOBAL	default
457717364	nag_declare_war_hef	TREASURY	SUCCESS	AMOUNT[500]	default
457717294	nag_declare_war_hef	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_high_elves];DURATION[8];GLOBAL	default
457717365	nag_declare_war_lzd	TREASURY	SUCCESS	AMOUNT[500]	default
457717295	nag_declare_war_lzd	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_lizardmen];DURATION[8];GLOBAL	default
457717366	nag_declare_war_skv	TREASURY	SUCCESS	AMOUNT[500]	default
457717296	nag_declare_war_skv	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_skaven];DURATION[8];GLOBAL	default
457717367	nag_declare_war_tmb	TREASURY	SUCCESS	AMOUNT[500]	default
457717297	nag_declare_war_tmb	EFFECT_BUNDLE	SUCCESS	key[nag_payload_attack_versus_tomb_kings];DURATION[8];GLOBAL	default
457717368	nag_declare_war_vmp	TREASURY	SUCCESS	AMOUNT[500]	default
